ticker
NVDA
MSFT
AAPL
AMZN
META
AVGO
GOOGL
GOOG
TSLA
BRK-B
JPM
LLY
V
NFLX
XOM
ORCL
MA
WMT
COST
JNJ
HD
ABBV
PLTR
PG
BAC
GE
CVX
UNH
CSCO
WFC
KO
AMD
PM
IBM
GS
ABT
CRM
LIN
CAT
MCD
RTX
DIS
MRK
T
NOW
PEP
UBER
C
MU
AXP
INTU
QCOM
VZ
MS
TMO
BKNG
BLK
GEV
TXN
LRCX
SCHW
BA
TJX
ADBE
ISRG
SPGI
AMAT
ANET
LOW
ACN
AMGN
APP
APH
NEE
ETN
BSX
COF
GILD
PGR
KLAC
BX
PFE
HON
PANW
INTC
UNP
SYK
DHR
ADI
MDT
CRWD
ADP
COP
CMCSA
DE
SPOT
WELL
TMUS
MO
PLD
CB
KKR
SO
CEG
CDNS
VRTX
LMT
ICE
MMC
PH
DASH
SBUX
CME
DUK
BMY
CVS
AMT
TT
HOOD
SNPS
ORLY
MSTR
NEM
MCK
MMM
NKE
RCL
GD
MDLZ
PNC
SHW
WM
MSI
CI
USB
BK
NOC
ITW
HWM
EQIX
RBLX
CRH
AJG
MCO
EMR
AON
WMB
FI
JCI
VST
ELV
TDG
COIN
HCA
SNOW
NET
CTAS
AZO
ADSK
PYPL
ECL
ZTS
CL
EOG
APD
MRVL
FCX
NSC
TRV
REGN
CSX
UPS
GLW
HLT
URI
TFC
MAR
APO
CMI
SPG
DLR
MPC
PWR
GM
AXON
AEP
ALNY
ROP
FAST
ALL
VRT
BDX
SRE
KMI
PSX
CMG
COR
ABNB
IDXX
LHX
O
AFL
PCAR
SLB
LNG
FTNT
VLO
NU
D
WDAY
FLUT
FDX
CBRE
CARR
CTVA
CVNA
ROST
AMP
BKR
DHI
OKE
RSG
F
AIG
PSA
EA
MNST
TTWO
GWW
MET
FERG
AME
EXC
EW
MPWR
DDOG
PAYX
XYZ
DELL
MSCI
WBD
KMB
XEL
VEEV
CPNG
EBAY
TGT
PEG
CCI
CPRT
YUM
RMD
KR
SYY
VMC
ROK
DAL
GRMN
ETR
HIG
MLM
CSGP
A
PRU
TRGP
NDAQ
WDC
CAH
FICO
ALAB
OTIS
MCHP
KDP
WEC
CTSH
FIS
ED
KVUE
UAL
ARES
VRSK
XYL
CCL
VICI
GEHC
HPE
IQV
WTW
DD
IR
PCG
STT
WAB
MTB
AU
NRG
EFX
HUM
ACGL
SOFI
TSCO
RJF
OXY
RDDT
FITB
NUE
LEN
KEYS
EXR
DXCM
VTR
EQT
ADM
IRM
SYF
BR
ZS
DTE
FIX
EME
AVB
GIS
HSY
TEAM
IBKR
PHM
LPLA
PSTG
EXPE
FANG
PPL
MTD
ODFL
HPQ
AEE
AWK
HUBS
TDY
INSM
LYV
NTRS
ATO
HBAN
VLTO
NTAP
BRO
PPG
CBOE
MDB
IP
EQR
RF
STE
PTC
CNP
AFRM
MKL
VRSN
CRDO
ULTA
CINF
