Date,GLW
2010-01-04,13.322806358337402
2010-01-05,13.370492935180664
2010-01-06,13.200204849243164
2010-01-07,13.329622268676758
2010-01-08,13.547574043273926
2010-01-11,13.956259727478027
2010-01-12,13.738292694091797
2010-01-13,13.833660125732422
2010-01-14,13.758727073669434
2010-01-15,13.39091968536377
2010-01-19,13.479469299316406
2010-01-20,13.465847969055176
2010-01-21,13.356870651245117
2010-01-22,12.641683578491211
2010-01-25,12.750666618347168
2010-01-26,12.702988624572754
2010-01-27,13.036738395690918
2010-01-28,12.675742149353027
2010-01-29,12.314742088317871
2010-02-01,12.369233131408691
2010-02-02,12.743852615356445
2010-02-03,12.907326698303223
2010-02-04,12.430538177490234
2010-02-05,12.294307708740234
2010-02-08,12.151274681091309
2010-02-09,12.096784591674805
2010-02-10,11.933314323425293
2010-02-11,12.226201057434082
2010-02-12,12.18532943725586
2010-02-16,12.362420082092285
2010-02-17,12.26706314086914
2010-02-18,12.253438949584961
2010-02-19,12.457784652709961
2010-02-22,12.096784591674805
2010-02-23,11.722156524658203
2010-02-24,11.954421997070312
2010-02-25,11.954421997070312
2010-02-26,12.043229103088379
2010-03-01,12.138861656188965
2010-03-02,12.029561996459961
2010-03-03,12.029561996459961
2010-03-04,11.961250305175781
2010-03-05,12.36429214477539
2010-03-08,12.53506851196289
2010-03-09,12.569228172302246
2010-03-10,12.62386703491211
2010-03-11,12.53506851196289
2010-03-12,12.323299407958984
2010-03-15,12.350624084472656
2010-03-16,12.62386703491211
2010-03-17,12.89711856842041
2010-03-18,13.143036842346191
2010-03-19,13.245503425598145
2010-03-22,13.26599407196045
2010-03-23,13.443605422973633
2010-03-24,13.293315887451172
2010-03-25,13.450431823730469
2010-03-26,13.518744468688965
2010-03-29,13.730511665344238
2010-03-30,13.778324127197266
2010-03-31,13.805646896362305
2010-04-01,13.921777725219727
2010-04-05,14.113048553466797
2010-04-06,13.969598770141602
2010-04-07,13.710016250610352
2010-04-08,13.539234161376953
2010-04-09,13.43677043914795
2010-04-12,13.648529052734375
2010-04-13,13.68269157409668
2010-04-14,13.873967170715332
2010-04-15,13.812481880187988
2010-04-16,13.593884468078613
2010-04-19,13.648529052734375
2010-04-20,13.730511665344238
2010-04-21,13.935441970825195
2010-04-22,14.133543014526367
2010-04-23,14.236006736755371
2010-04-26,14.290654182434082
2010-04-27,13.744168281555176
2010-04-28,13.710016250610352
2010-04-29,13.621212005615234
2010-04-30,13.149866104125977
2010-05-03,13.53240966796875
2010-05-04,12.938100814819336
2010-05-05,12.753658294677734
2010-05-06,11.954421997070312
2010-05-07,11.981752395629883
2010-05-10,12.576053619384766
2010-05-11,12.446259498596191
2010-05-12,12.658029556274414
2010-05-13,12.651189804077148
2010-05-14,12.268651962280273
2010-05-17,12.514570236206055
2010-05-18,12.323299407958984
2010-05-19,11.981752395629883
2010-05-20,11.48307991027832
2010-05-21,11.599206924438477
2010-05-24,11.517234802246094
2010-05-25,11.578713417053223
2010-05-26,11.53760051727295
2010-05-27,12.003495216369629
2010-05-28,11.9418306350708
2010-06-01,11.2361421585083
2010-06-02,11.530755996704102
2010-06-03,11.51705265045166
2010-06-04,11.119674682617188
2010-06-07,10.962093353271484
2010-06-08,11.681482315063477
2010-06-09,11.84591007232666
2010-06-10,12.202183723449707
2010-06-11,12.428274154663086
2010-06-14,12.585857391357422
2010-06-15,12.839354515075684
2010-06-16,12.510490417480469
2010-06-17,12.544745445251465
2010-06-18,12.489933967590332
2010-06-21,12.620109558105469
2010-06-22,12.42142105102539
2010-06-23,12.428274154663086
2010-06-24,12.119966506958008
2010-06-25,11.87331771850586
2010-06-28,11.818507194519043
2010-06-29,11.277251243591309
2010-06-30,11.064860343933105
2010-07-01,11.064860343933105
2010-07-02,11.188187599182129
2010-07-06,11.222447395324707
2010-07-07,11.702040672302246
2010-07-08,11.921277046203613
2010-07-09,11.9966402053833
2010-07-12,11.859620094299316
2010-07-13,12.147371292114258
2010-07-14,12.126823425292969
2010-07-15,12.07201099395752
2010-07-16,11.619820594787598
2010-07-19,11.633526802062988
2010-07-20,11.414278984069824
2010-07-21,11.510199546813965
2010-07-22,12.400871276855469
2010-07-23,12.339204788208008
2010-07-26,12.263838768005371
2010-07-27,12.332361221313477
2010-07-28,12.099411964416504
2010-07-29,12.441977500915527
2010-07-30,12.414569854736328
2010-08-02,13.120253562927246
2010-08-03,13.044893264770508
2010-08-04,13.18192195892334
2010-08-05,13.168212890625
2010-08-06,12.88045597076416
2010-08-09,12.97637939453125
2010-08-10,12.709176063537598
2010-08-11,12.366609573364258
2010-08-12,11.989790916442871
2010-08-13,11.55815601348877
2010-08-16,11.338913917541504
2010-08-17,11.352616310119629
2010-08-18,11.455390930175781
2010-08-19,10.982649803161621
2010-08-20,11.030608177185059
2010-08-23,10.920987129211426
2010-08-24,10.770255088806152
2010-08-25,11.085419654846191
2010-08-26,10.865494728088379
2010-08-27,10.982327461242676
2010-08-30,10.961711883544922
2010-08-31,10.776153564453125
2010-09-01,11.215997695922852
2010-09-02,11.305337905883789
2010-09-03,11.552752494812012
2010-09-07,11.580242156982422
2010-09-08,11.477152824401855
2010-09-09,11.202249526977539
2010-09-10,11.051056861877441
2010-09-13,11.552752494812012
2010-09-14,12.102554321289062
2010-09-15,11.77954387664795
2010-09-16,11.70394515991211
2010-09-17,11.683326721191406
2010-09-20,12.102554321289062
2010-09-21,12.102554321289062
2010-09-22,11.793290138244629
2010-09-23,11.958230018615723
2010-09-24,12.198769569396973
2010-09-27,12.205642700195312
2010-09-28,12.556144714355469
