Date,DORM
2010-01-04,7.567970275878906
2010-01-05,7.462727069854736
2010-01-06,7.400537490844727
2010-01-07,7.414888858795166
2010-01-08,7.615808486938477
2010-01-11,7.663646697998047
2010-01-12,7.505781173706055
2010-01-13,7.548835277557373
2010-01-14,7.596673488616943
2010-01-15,7.510564804077148
2010-01-19,7.472294330596924
2010-01-20,7.261807441711426
2010-01-21,7.295293807983398
2010-01-22,7.319212913513184
2010-01-25,7.304862022399902
2010-01-26,7.2139692306518555
2010-01-27,7.390969753265381
2010-01-28,7.295293807983398
2010-01-29,7.390969753265381
2010-02-01,7.343132019042969
2010-02-02,7.290510177612305
2010-02-03,7.31442928314209
2010-02-04,7.295293807983398
2010-02-05,7.343132019042969
2010-02-08,7.280942916870117
2010-02-09,7.410105228424072
2010-02-10,7.295293807983398
2010-02-11,7.558403015136719
2010-02-12,7.434024333953857
2010-02-16,7.558403015136719
2010-02-17,7.553619384765625
2010-02-18,7.816728115081787
2010-02-19,8.09897232055664
2010-02-22,8.328594207763672
2010-02-23,8.620407104492188
2010-02-24,8.730433464050293
2010-02-25,8.64910888671875
2010-02-26,8.634757041931152
2010-03-01,8.763919830322266
2010-03-02,8.787839889526367
2010-03-03,8.897867202758789
2010-03-04,8.983975410461426
2010-03-05,9.208813667297363
2010-03-08,9.596301078796387
2010-03-09,9.256651878356934
2010-03-10,9.208813667297363
2010-03-11,9.34276008605957
2010-03-12,9.357110977172852
2010-03-15,9.285354614257812
2010-03-16,9.37146282196045
2010-03-17,9.323624610900879
2010-03-18,9.34276008605957
2010-03-19,9.462355613708496
2010-03-22,9.586734771728516
2010-03-23,9.653707504272461
2010-03-24,9.625004768371582
2010-03-25,9.280570983886719
2010-03-26,9.294921875
2010-03-29,9.290138244628906
2010-03-30,9.385814666748047
2010-03-31,9.084434509277344
2010-04-01,9.199246406555176
2010-04-05,9.548462867736816
2010-04-06,9.524544715881348
2010-04-07,9.711112022399902
2010-04-08,9.620221138000488
2010-04-09,9.68241024017334
2010-04-12,9.548462867736816
2010-04-13,9.476706504821777
2010-04-14,9.711112022399902
2010-04-15,9.720680236816406
2010-04-16,9.687193870544434
2010-04-19,9.668058395385742
2010-04-20,9.845059394836426
2010-04-21,9.782870292663574
2010-04-22,10.141654968261719
2010-04-23,10.045978546142578
2010-04-26,10.165574073791504
2010-04-27,10.97403621673584
2010-04-28,12.069525718688965
2010-04-29,12.198688507080078
2010-04-30,12.126931190490723
2010-05-03,12.236958503723145
2010-05-04,11.854254722595215
2010-05-05,11.696390151977539
2010-05-06,10.92141342163086
2010-05-07,10.42389965057373
2010-05-10,10.97403621673584
2010-05-11,11.079278945922852
2010-05-12,11.902091979980469
2010-05-13,11.844687461853027
2010-05-14,11.342388153076172
2010-05-17,11.490686416625977
2010-05-18,11.122333526611328
2010-05-19,10.777900695800781
2010-05-20,10.266033172607422
2010-05-21,10.916629791259766
2010-05-24,10.916629791259766
2010-05-25,10.643953323364258
2010-05-26,10.916629791259766
2010-05-27,11.117549896240234
2010-05-28,10.830521583557129
2010-06-01,10.533926010131836
2010-06-02,10.830521583557129
2010-06-03,10.96925163269043
2010-06-04,10.069897651672363
2010-06-07,9.883329391479492
2010-06-08,9.452787399291992
2010-06-09,9.29970645904541
2010-06-10,9.955085754394531
2010-06-11,10.524358749389648
2010-06-14,10.600899696350098
2010-06-15,10.993170738220215
2010-06-16,10.84965705871582
2010-06-17,10.97403621673584
2010-06-18,11.237144470214844
2010-06-21,10.864007949829102
2010-06-22,10.66308879852295
2010-06-23,10.409547805786133
2010-06-24,10.337790489196777
2010-06-25,10.117735862731934
2010-06-28,10.299520492553711
2010-06-29,9.720680236816406
2010-06-30,9.7254638671875
2010-07-01,9.749382972717285
2010-07-02,9.591517448425293
2010-07-06,8.629974365234375
2010-07-07,8.91221809387207
2010-07-08,9.03181266784668
2010-07-09,9.519760131835938
2010-07-12,9.400165557861328
2010-07-13,9.830707550048828
2010-07-14,9.797221183776855
2010-07-15,9.830707550048828
2010-07-16,9.17532730102539
2010-07-19,9.34754467010498
2010-07-20,9.715896606445312
2010-07-21,9.361895561218262
2010-07-22,9.825923919677734
2010-07-23,10.352141380310059
2010-07-26,10.916629791259766
2010-07-27,10.744413375854492
2010-07-28,10.576980590820312
2010-07-29,10.907062530517578
2010-07-30,11.165388107299805
2010-08-02,11.246712684631348
2010-08-03,11.222792625427246
2010-08-04,11.490686416625977
2010-08-05,11.318469047546387
2010-08-06,11.409361839294434
2010-08-09,11.916443824768066
2010-08-10,11.543307304382324
2010-08-11,11.170171737670898
2010-08-12,10.854440689086914
2010-08-13,10.620035171508789
2010-08-16,10.997954368591309
2010-08-17,11.476334571838379
2010-08-18,11.75379467010498
2010-08-19,11.098414421081543
2010-08-20,10.945332527160645
2010-08-23,10.529142379760742
2010-08-24,10.529142379760742
2010-08-25,10.950116157531738
2010-08-26,10.787467002868652
2010-08-27,11.37109088897705
2010-08-30,10.792250633239746
2010-08-31,11.218009948730469
2010-09-01,11.605497360229492
2010-09-02,11.763362884521484
2010-09-03,12.026471138000488
2010-09-07,11.806416511535645
2010-09-08,11.95471477508545
2010-09-09,12.040822982788086
2010-09-10,11.863821983337402
2010-09-13,12.490500450134277
2010-09-14,12.653149604797363
2010-09-15,12.705770492553711
2010-09-16,12.409175872802734
2010-09-17,12.189120292663574
2010-09-20,12.466580390930176
2010-09-21,12.69620418548584
2010-09-22,12.681852340698242
2010-09-23,12.705770492553711
2010-09-24,13.652963638305664
2010-09-27,14.040451049804688
2010-09-28,13.77255916595459
