Date,NBR
2010-01-04,990.7206420898438
2010-01-05,1073.6011962890625
2010-01-06,1099.6614990234375
2010-01-07,1117.6048583984375
2010-01-08,1147.9371337890625
2010-01-11,1110.342041015625
2010-01-12,1077.4459228515625
2010-01-13,1104.361083984375
2010-01-14,1109.9149169921875
2010-01-15,1091.5443115234375
2010-01-19,1129.994140625
2010-01-20,1101.7972412109375
2010-01-21,1078.30078125
2010-01-22,1020.19873046875
2010-01-25,1039.4234619140625
2010-01-26,1033.015380859375
2010-01-27,1007.8095092773438
2010-01-28,997.1290893554688
2010-01-29,952.6983032226562
2010-02-01,1006.1006469726562
2010-02-02,1016.781005859375
2010-02-03,1012.9362182617188
2010-02-04,950.1348266601562
2010-02-05,946.717041015625
2010-02-08,919.8024291992188
2010-02-09,952.27099609375
2010-02-10,968.5052490234375
2010-02-11,996.2743530273438
2010-02-12,1006.5277099609375
2010-02-16,1019.3445434570312
2010-02-17,986.0210571289062
2010-02-18,999.6925048828125
2010-02-19,998.8375854492188
2010-02-22,962.9515380859375
2010-02-23,934.755126953125
2010-02-24,936.4640502929688
2010-02-25,939.8815307617188
2010-02-26,941.590576171875
2010-03-01,953.9800415039062
2010-03-02,974.4862060546875
2010-03-03,991.14794921875
2010-03-04,961.2423706054688
2010-03-05,961.6697387695312
2010-03-08,957.8248901367188
2010-03-09,943.7266235351562
2010-03-10,962.0970458984375
2010-03-11,961.6697387695312
2010-03-12,961.6697387695312
2010-03-15,935.6095581054688
2010-03-16,942.4448852539062
2010-03-17,926.2105712890625
2010-03-18,881.3526611328125
2010-03-19,849.3112182617188
2010-03-22,865.9729614257812
2010-03-23,828.3775024414062
2010-03-24,836.4948120117188
2010-03-25,801.462646484375
2010-03-26,809.5798950195312
2010-03-29,834.3587036132812
2010-03-30,826.6685791015625
2010-03-31,838.630859375
2010-04-01,850.1654663085938
2010-04-05,881.7798461914062
2010-04-06,883.48876953125
2010-04-07,869.8176879882812
2010-04-08,855.2924194335938
2010-04-09,848.8839111328125
2010-04-12,846.7479858398438
2010-04-13,839.912353515625
2010-04-14,850.1654663085938
2010-04-15,857.0010375976562
2010-04-16,833.9312133789062
2010-04-19,839.912353515625
2010-04-20,869.3905029296875
2010-04-21,897.5870361328125
2010-04-22,930.9100952148438
2010-04-23,965.9420166015625
2010-04-26,932.6185913085938
2010-04-27,886.479248046875
2010-04-28,915.9573364257812
2010-04-29,927.9196166992188
2010-04-30,921.5111694335938
2010-05-03,921.5111694335938
2010-05-04,892.4603881835938
2010-05-05,871.0994262695312
2010-05-06,825.814208984375
2010-05-07,807.8709106445312
2010-05-10,862.554931640625
2010-05-11,859.1372680664062
2010-05-12,874.51708984375
2010-05-13,860.4188232421875
2010-05-14,837.7763061523438
2010-05-17,823.67822265625
2010-05-18,805.3076782226562
2010-05-19,784.8010864257812
2010-05-20,737.80712890625
2010-05-21,757.4591064453125
2010-05-24,729.6900024414062
2010-05-25,734.8165893554688
2010-05-26,734.3893432617188
2010-05-27,785.6556396484375
2010-05-28,812.9976196289062
2010-06-01,797.1904907226562
