Date,STBA
2010-01-04,10.426648139953613
2010-01-05,9.918621063232422
2010-01-06,9.610175132751465
2010-01-07,10.154487609863281
2010-01-08,10.26939868927002
2010-01-11,10.04562759399414
2010-01-12,10.009339332580566
2010-01-13,10.245210647583008
2010-01-14,10.6201810836792
2010-01-15,10.61413288116455
2010-01-19,10.952818870544434
2010-01-20,10.977009773254395
2010-01-21,11.569708824157715
2010-01-22,11.51528549194336
2010-01-25,11.043536186218262
2010-01-26,10.813712120056152
2010-01-27,11.212879180908203
2010-01-28,10.99947738647461
2010-01-29,10.682416915893555
2010-02-01,10.865336418151855
2010-02-02,10.70070743560791
2010-02-03,10.243412017822266
2010-02-04,9.883675575256348
2010-02-05,9.99952220916748
2010-02-08,9.847090721130371
2010-02-09,9.889769554138184
2010-02-10,10.09708023071289
2010-02-11,10.02391242980957
2010-02-12,9.993422508239746
2010-02-16,10.182441711425781
2010-02-17,10.115372657775879
2010-02-18,10.334875106811523
2010-02-19,10.438528060913086
2010-02-22,10.670221328735352
2010-02-23,10.63973617553711
2010-02-24,10.932406425476074
2010-02-25,10.981182098388672
2010-02-26,10.80435848236084
2010-03-01,10.889726638793945
2010-03-02,10.87752914428711
2010-03-03,10.810461044311523
2010-03-04,10.920209884643555
2010-03-05,11.444576263427734
2010-03-08,11.59700870513916
2010-03-09,11.627494812011719
2010-03-10,11.779923439025879
2010-03-11,12.005520820617676
2010-03-12,11.816506385803223
2010-03-15,11.877479553222656
2010-03-16,12.05429744720459
2010-03-17,12.371357917785645
2010-03-18,12.682317733764648
2010-03-19,12.950603485107422
2010-03-22,13.127421379089355
2010-03-23,13.121329307556152
2010-03-24,12.907917976379395
2010-03-25,12.938411712646484
2010-03-26,12.76768684387207
2010-03-29,12.755489349365234
2010-03-30,12.81036376953125
2010-03-31,12.743295669555664
2010-04-01,12.889626502990723
2010-04-05,12.901823043823242
2010-04-06,13.066448211669922
2010-04-07,13.011573791503906
2010-04-08,12.96279525756836
2010-04-09,13.04206657409668
2010-04-12,13.237174987792969
2010-04-13,13.194490432739258
2010-04-14,13.694466590881348
2010-04-15,13.871282577514648
2010-04-16,13.56643009185791
2010-04-19,13.737150192260742
2010-04-20,14.127373695373535
2010-04-21,14.810273170471191
2010-04-22,15.39560317993164
2010-04-23,15.621208190917969
2010-04-26,15.230978012084961
2010-04-27,15.011481285095215
2010-04-28,15.005339622497559
2010-04-29,15.440908432006836
2010-04-30,14.753815650939941
2010-05-03,14.643396377563477
2010-05-04,13.575967788696289
2010-05-05,13.796817779541016
2010-05-06,13.330588340759277
2010-05-07,12.89502239227295
2010-05-10,13.637310028076172
2010-05-11,14.029934883117676
2010-05-12,14.612728118896484
2010-05-13,14.434823036193848
2010-05-14,14.029934883117676
2010-05-17,14.20783519744873
2010-05-18,13.88270378112793
2010-05-19,13.710932731628418
2010-05-20,13.048389434814453
2010-05-21,13.220161437988281
2010-05-24,12.876619338989258
2010-05-25,13.06065845489502
2010-05-26,12.931830406188965
2010-05-27,13.465548515319824
2010-05-28,13.232433319091797
2010-06-01,12.937962532043457
2010-06-02,13.53916072845459
2010-06-03,13.29991626739502
2010-06-04,12.44719409942627
2010-06-07,12.27542495727539
2010-06-08,12.31837272644043
2010-06-09,12.036172866821289
2010-06-10,12.361310005187988
2010-06-11,12.551484107971191
2010-06-14,12.62509536743164
2010-06-15,12.919564247131348
2010-06-16,12.968639373779297
2010-06-17,13.017723083496094
2010-06-18,12.956371307373047
2010-06-21,12.852079391479492
2010-06-22,12.655770301818848
2010-06-23,12.355177879333496
2010-06-24,12.214083671569824
2010-06-25,12.606697082519531
2010-06-28,12.533079147338867
2010-06-29,12.097515106201172
2010-06-30,12.122060775756836
2010-07-01,12.054581642150879
2010-07-02,12.005499839782715
2010-07-06,11.919612884521484
2010-07-07,12.508541107177734
2010-07-08,12.81527042388916
2010-07-09,13.072930335998535
2010-07-12,12.90116024017334
2010-07-13,13.649591445922852
2010-07-14,13.385799407958984
2010-07-15,13.207891464233398
2010-07-16,12.618964195251465
2010-07-19,12.195672035217285
2010-07-20,11.839869499206543
2010-07-21,11.490188598632812
2010-07-22,11.96256160736084
2010-07-23,12.128189086914062
2010-07-26,12.606697082519531
2010-07-27,12.723252296447754
2010-07-28,12.698533058166504
2010-07-29,12.698533058166504
2010-07-30,12.544050216674805
2010-08-02,12.581130981445312
2010-08-03,12.469904899597168
2010-08-04,12.439005851745605
2010-08-05,12.315423965454102
2010-08-06,12.185651779174805
2010-08-09,12.340133666992188
2010-08-10,12.265979766845703
2010-08-11,11.586257934570312
2010-08-12,11.685125350952148
2010-08-13,11.444132804870605
2010-08-16,11.431774139404297
2010-08-17,11.512104034423828
2010-08-18,11.580080032348633
2010-08-19,11.098085403442383
2010-08-20,11.042475700378418
2010-08-23,10.671713829040527
2010-08-24,10.684072494506836
2010-08-25,10.7891206741333
2010-08-26,10.634634971618652
2010-08-27,10.999218940734863
2010-08-30,10.424538612365723
2010-08-31,10.486337661743164
2010-09-01,10.931248664855957
2010-09-02,10.776764869689941
2010-09-03,11.042475700378418
2010-09-07,10.541947364807129
2010-09-08,10.721153259277344
2010-09-09,10.776764869689941
2010-09-10,10.671713829040527
2010-09-13,11.061014175415039
2010-09-14,10.776764869689941
2010-09-15,10.727331161499023
2010-09-16,10.566668510437012
2010-09-17,10.665535926818848
2010-09-20,11.178418159484863
2010-09-21,11.067192077636719
2010-09-22,10.752049446105957
2010-09-23,10.473977088928223
2010-09-24,11.036297798156738
2010-09-27,10.70261001586914
2010-09-28,10.708789825439453
