Date,ITRI
2010-01-04,67.80000305175781
2010-01-05,69.83000183105469
2010-01-06,71.91999816894531
2010-01-07,71.56999969482422
2010-01-08,71.66000366210938
2010-01-11,71.58000183105469
2010-01-12,69.7699966430664
2010-01-13,70.93000030517578
2010-01-14,70.88999938964844
2010-01-15,70.66000366210938
2010-01-19,72.04000091552734
2010-01-20,71.61000061035156
2010-01-21,68.08999633789062
2010-01-22,64.05000305175781
2010-01-25,65.19000244140625
2010-01-26,65.05000305175781
2010-01-27,64.02999877929688
2010-01-28,61.970001220703125
2010-01-29,61.54999923706055
2010-02-01,62.15999984741211
2010-02-02,62.81999969482422
2010-02-03,62.70000076293945
2010-02-04,60.08000183105469
2010-02-05,60.63999938964844
2010-02-08,59.709999084472656
2010-02-09,60.66999816894531
2010-02-10,60.869998931884766
2010-02-11,61.560001373291016
2010-02-12,61.34000015258789
2010-02-16,62.2400016784668
2010-02-17,62.45000076293945
2010-02-18,67.29000091552734
2010-02-19,66.88999938964844
2010-02-22,66.05999755859375
2010-02-23,65.37999725341797
2010-02-24,66.4000015258789
2010-02-25,66.88999938964844
2010-02-26,66.94999694824219
2010-03-01,67.83999633789062
2010-03-02,69.29000091552734
2010-03-03,69.41999816894531
2010-03-04,68.72000122070312
2010-03-05,70.66999816894531
2010-03-08,71.20999908447266
2010-03-09,69.83999633789062
2010-03-10,70.37000274658203
2010-03-11,69.95999908447266
2010-03-12,69.58999633789062
2010-03-15,69.4000015258789
2010-03-16,69.75
2010-03-17,70.75
2010-03-18,69.62999725341797
2010-03-19,70.06999969482422
2010-03-22,71.02999877929688
2010-03-23,71.5999984741211
2010-03-24,72.70999908447266
2010-03-25,72.69999694824219
2010-03-26,72.87000274658203
2010-03-29,74.94999694824219
2010-03-30,72.18000030517578
2010-03-31,72.56999969482422
2010-04-01,72.73999786376953
2010-04-05,74.0
2010-04-06,74.01000213623047
2010-04-07,73.44000244140625
2010-04-08,74.12999725341797
2010-04-09,74.58000183105469
2010-04-12,74.44999694824219
2010-04-13,75.27999877929688
2010-04-14,76.0999984741211
2010-04-15,75.91999816894531
2010-04-16,75.37999725341797
2010-04-19,74.62000274658203
2010-04-20,75.6500015258789
2010-04-21,76.6500015258789
2010-04-22,76.66000366210938
2010-04-23,77.31999969482422
2010-04-26,76.5
2010-04-27,75.51000213623047
2010-04-28,75.97000122070312
2010-04-29,81.1500015258789
2010-04-30,79.61000061035156
2010-05-03,80.47000122070312
2010-05-04,77.69000244140625
2010-05-05,76.94999694824219
2010-05-06,73.94000244140625
2010-05-07,71.98999786376953
2010-05-10,75.79000091552734
2010-05-11,75.5
2010-05-12,77.41000366210938
2010-05-13,76.87000274658203
