Date,MKC
2010-01-04,13.377786636352539
2010-01-05,13.340936660766602
2010-01-06,13.392536163330078
2010-01-07,13.495720863342285
2010-01-08,13.532578468322754
2010-01-11,13.643139839172363
2010-01-12,13.768439292907715
2010-01-13,13.893739700317383
2010-01-14,13.878994941711426
2010-01-15,13.853201866149902
2010-01-19,13.90848445892334
2010-01-20,13.742643356323242
2010-01-21,13.650507926940918
2010-01-22,13.55100154876709
2010-01-25,13.716839790344238
2010-01-26,13.66893482208252
2010-01-27,13.834779739379883
2010-01-28,13.43307113647461
2010-01-29,13.377786636352539
2010-02-01,13.480984687805176
2010-02-02,13.635770797729492
2010-02-03,13.44781494140625
2010-02-04,13.178781509399414
2010-02-05,13.182473182678223
2010-02-08,13.10507583618164
2010-02-09,13.211949348449707
2010-02-10,13.237751960754395
2010-02-11,13.252486228942871
2010-02-12,13.296716690063477
2010-02-16,13.480984687805176
2010-02-17,13.679985046386719
2010-02-18,13.860574722290039
2010-02-19,13.915853500366211
2010-02-22,13.808977127075195
2010-02-23,13.691045761108398
2010-02-24,13.731583595275879
2010-02-25,13.672621726989746
2010-02-26,13.676304817199707
2010-03-01,13.757378578186035
2010-03-02,13.901111602783203
2010-03-03,13.937965393066406
2010-03-04,13.967452049255371
2010-03-05,14.004305839538574
2010-03-08,13.915853500366211
2010-03-09,13.993239402770996
2010-03-10,14.041152954101562
2010-03-11,14.114862442016602
2010-03-12,14.118544578552246
2010-03-15,14.247529029846191
2010-03-16,14.23647689819336
2010-03-17,14.332298278808594
2010-03-18,14.31755542755127
2010-03-19,14.413372039794922
2010-03-22,14.52025032043457
2010-03-23,14.63449764251709
2010-03-24,14.509188652038574
2010-03-25,14.015356063842773
2010-03-26,13.86794376373291
2010-03-29,13.949018478393555
2010-03-30,14.11117935180664
2010-03-31,14.13697624206543
2010-04-01,14.218049049377441
2010-04-05,14.055893898010254
2010-04-06,14.140655517578125
2010-04-07,14.066946983337402
2010-04-08,14.156005859375
2010-04-09,14.259902000427246
2010-04-12,14.237639427185059
2010-04-13,14.252482414245605
2010-04-14,14.19682502746582
2010-04-15,14.330404281616211
2010-04-16,14.337824821472168
2010-04-19,14.38235092163086
2010-04-20,14.482535362243652
2010-04-21,14.534489631652832
2010-04-22,14.638382911682129
2010-04-23,14.653228759765625
2010-04-26,14.671781539916992
2010-04-27,14.471406936645508
2010-04-28,14.501093864440918
2010-04-29,14.757123947143555
2010-04-30,14.68291187286377
2010-05-03,14.697758674621582
2010-05-04,14.619832992553711
2010-05-05,14.634675025939941
2010-05-06,14.322981834411621
2010-05-07,14.081792831420898
2010-05-10,14.582725524902344
2010-05-11,14.593855857849121
2010-05-12,14.686631202697754
2010-05-13,14.664363861083984
2010-05-14,14.575303077697754
2010-05-17,14.701469421386719
2010-05-18,14.515933990478516
2010-05-19,14.530778884887695
2010-05-20,14.285874366760254
2010-05-21,14.378644943237305
2010-05-24,14.289588928222656
2010-05-25,14.06324577331543
2010-05-26,14.130032539367676
2010-05-27,14.393482208251953
2010-05-28,14.31185245513916
2010-06-01,14.256187438964844
2010-06-02,14.593855857849121
2010-06-03,14.731151580810547
2010-06-04,14.36380386352539
2010-06-07,14.322981834411621
2010-06-08,14.478828430175781
2010-06-09,14.467697143554688
2010-06-10,14.779390335083008
2010-06-11,14.723727226257324
2010-06-14,14.697758674621582
2010-06-15,14.93523120880127
2010-06-16,14.924102783203125
2010-06-17,15.128189086914062
2010-06-18,15.042847633361816
2010-06-21,14.805367469787598
2010-06-22,14.675487518310547
2010-06-23,14.534489631652832
2010-06-24,14.456563949584961
2010-06-25,14.460277557373047
2010-06-28,14.571592330932617
2010-06-29,14.31556224822998
2010-06-30,14.085503578186035
2010-07-01,14.107918739318848
2010-07-02,14.021990776062012
2010-07-06,14.17143726348877
2010-07-07,14.406814575195312
2010-07-08,14.283519744873047
2010-07-09,14.305943489074707
2010-07-12,14.369450569152832
2010-07-13,14.455387115478516
2010-07-14,14.597369194030762
2010-07-15,14.567474365234375
2010-07-16,14.35450553894043
2010-07-19,14.350773811340332
2010-07-20,14.533848762512207
2010-07-21,14.451655387878418
2010-07-22,14.522642135620117
2010-07-23,14.563739776611328
2010-07-26,14.728132247924805
2010-07-27,14.911208152770996
2010-07-28,14.761754989624023
2010-07-29,14.533848762512207
2010-07-30,14.694503784179688
2010-08-02,14.836483001708984
2010-08-03,14.877582550048828
2010-08-04,15.056920051574707
2010-08-05,14.80285930633545
2010-08-06,14.690774917602539
2010-08-09,14.791646003723145
2010-08-10,14.881316184997559
2010-08-11,14.765497207641602
2010-08-12,14.892524719238281
2010-08-13,14.851428031921387
2010-08-16,14.825271606445312
2010-08-17,15.049446105957031
2010-08-18,15.183951377868652
2010-08-19,15.154065132141113
2010-08-20,15.28109073638916
2010-08-23,15.142853736877441
2010-08-24,14.806591033935547
2010-08-25,14.791646003723145
2010-08-26,14.780441284179688
2010-08-27,14.982193946838379
2010-08-30,14.85516357421875
2010-08-31,14.896261215209961
2010-09-01,15.079336166381836
2010-09-02,15.139120101928711
2010-09-03,15.15031909942627
2010-09-07,15.157791137695312
2010-09-08,15.325923919677734
2010-09-09,15.284825325012207
2010-09-10,15.269883155822754
2010-09-13,15.221314430236816
2010-09-14,15.228782653808594
2010-09-15,15.299762725830078
2010-09-16,15.307247161865234
2010-09-17,15.408121109008789
2010-09-20,15.508999824523926
2010-09-21,15.456695556640625
2010-09-22,15.456695556640625
2010-09-23,15.337136268615723
2010-09-24,15.587458610534668
2010-09-27,15.49031925201416
2010-09-28,15.355814933776855
