Date,APD
2010-01-04,52.15093994140625
2010-01-05,51.71823501586914
2010-01-06,51.29179000854492
2010-01-07,50.997047424316406
2010-01-08,51.323158264160156
2010-01-11,52.26382064819336
2010-01-12,51.59908676147461
2010-01-13,52.11334991455078
2010-01-14,51.467384338378906
2010-01-15,51.90636444091797
2010-01-19,51.78721618652344
2010-01-20,51.09738540649414
2010-01-21,50.08147048950195
2010-01-22,48.95893478393555
2010-01-25,50.332305908203125
2010-01-26,49.9058723449707
2010-01-27,49.45431137084961
2010-01-28,48.3129768371582
2010-01-29,47.63571548461914
2010-02-01,48.16875457763672
2010-02-02,48.049598693847656
2010-02-03,47.77994918823242
2010-02-04,46.212154388427734
2010-02-05,43.04520797729492
2010-02-08,42.86336898803711
2010-02-09,42.61250686645508
2010-02-10,42.78184127807617
2010-02-11,42.89470672607422
2010-02-12,42.97623825073242
2010-02-16,44.15521240234375
2010-02-17,44.010986328125
2010-02-18,43.866722106933594
2010-02-19,43.67234420776367
2010-02-22,43.847930908203125
2010-02-23,43.94197463989258
2010-02-24,43.81657028198242
2010-02-25,43.25843811035156
2010-02-26,43.00759506225586
2010-03-01,43.37132263183594
2010-03-02,44.318260192871094
2010-03-03,44.72588348388672
2010-03-04,45.083343505859375
2010-03-05,46.09299850463867
2010-03-08,46.532005310058594
2010-03-09,46.55079650878906
2010-03-10,46.657405853271484
2010-03-11,46.82046127319336
2010-03-12,46.75774002075195
2010-03-15,46.4818000793457
2010-03-16,46.95841979980469
2010-03-17,46.75147247314453
2010-03-18,46.883182525634766
2010-03-19,46.68247985839844
2010-03-22,47.03993225097656
2010-03-23,47.3723258972168
2010-03-24,46.914520263671875
2010-03-25,46.21841812133789
2010-03-26,46.60722732543945
2010-03-29,46.594703674316406
2010-03-30,46.771446228027344
2010-03-31,46.68306350708008
2010-04-01,46.63258743286133
2010-04-05,46.82195281982422
2010-04-06,47.112342834472656
2010-04-07,46.75251388549805
2010-04-08,46.77774429321289
2010-04-09,47.57317352294922
2010-04-12,47.560546875
2010-04-13,47.31435012817383
2010-04-14,47.9835205078125
2010-04-15,48.45065689086914
2010-04-16,47.99612808227539
2010-04-19,47.882503509521484
2010-04-20,48.26757049560547
2010-04-21,48.40016174316406
2010-04-22,48.81049728393555
2010-04-23,50.00990295410156
2010-04-26,49.87104034423828
2010-04-27,48.87360382080078
