Date,MRK
2010-01-04,20.788480758666992
2010-01-05,20.872739791870117
2010-01-06,21.153589248657227
2010-01-07,21.187288284301758
2010-01-08,21.176054000854492
2010-01-11,21.260316848754883
2010-01-12,21.091798782348633
2010-01-13,21.866952896118164
2010-01-14,22.462350845336914
2010-01-15,22.170263290405273
2010-01-19,22.816207885742188
2010-01-20,23.0465145111084
2010-01-21,22.512893676757812
2010-01-22,21.833250045776367
2010-01-25,21.771459579467773
2010-01-26,21.670345306396484
2010-01-27,21.704051971435547
2010-01-28,21.327714920043945
2010-01-29,21.445661544799805
2010-02-01,21.513076782226562
2010-02-02,22.209579467773438
2010-02-03,21.748979568481445
2010-02-04,20.839038848876953
2010-02-05,20.63121223449707
2010-02-08,20.552579879760742
2010-02-09,20.485166549682617
2010-02-10,20.333505630493164
2010-02-11,20.71546745300293
2010-02-12,20.737930297851562
2010-02-16,21.153589248657227
2010-02-17,20.973840713500977
2010-02-18,20.945762634277344
2010-02-19,21.0580997467041
2010-02-22,20.85026741027832
2010-02-23,20.50762939453125
2010-02-24,20.743545532226562
2010-02-25,20.541332244873047
2010-02-26,20.71546745300293
2010-03-01,20.93452262878418
2010-03-02,21.00193214416504
2010-03-03,20.90082359313965
2010-03-04,20.861507415771484
2010-03-05,21.0580997467041
2010-03-08,20.97945785522461
2010-03-09,20.805335998535156
2010-03-10,20.59749984741211
2010-03-11,20.932376861572266
2010-03-12,21.09130096435547
2010-03-15,21.426170349121094
2010-03-16,21.53400993347168
2010-03-17,21.613475799560547
2010-03-18,21.823486328125
2010-03-19,21.602121353149414
2010-03-22,21.73834228515625
2010-03-23,21.851858139038086
2010-03-24,21.573745727539062
2010-03-25,21.443201065063477
2010-03-26,21.24455451965332
2010-03-29,21.505626678466797
2010-03-30,21.375091552734375
2010-03-31,21.199140548706055
2010-04-01,21.403478622436523
2010-04-05,21.221845626831055
2010-04-06,21.142383575439453
2010-04-07,20.88129997253418
2010-04-08,20.875627517700195
2010-04-09,20.983469009399414
2010-04-12,20.91535186767578
2010-04-13,20.830215454101562
2010-04-14,20.55210304260254
2010-04-15,20.45560646057129
2010-04-16,20.268306732177734
2010-04-19,20.376150131225586
2010-04-20,20.466962814331055
2010-04-21,19.717754364013672
2010-04-22,19.167200088500977
2010-04-23,20.12641143798828
2010-04-26,19.86532974243164
2010-04-27,19.570186614990234
2010-04-28,19.61558723449707
2010-04-29,20.007225036621094
2010-04-30,19.88802719116211
2010-05-03,20.018573760986328
2010-05-04,20.325063705444336
2010-05-05,20.20020294189453
2010-05-06,19.450992584228516
2010-05-07,19.008281707763672
2010-05-10,19.43964385986328
2010-05-11,19.01963233947754
2010-05-12,19.09341049194336
2010-05-13,18.906116485595703
2010-05-14,18.662057876586914
2010-05-17,18.605295181274414
2010-05-18,18.361242294311523
2010-05-19,18.51448631286621
2010-05-20,18.0604190826416
2010-05-21,18.185283660888672
2010-05-24,18.083126068115234
2010-05-25,18.196640014648438
2010-05-26,18.400968551635742
2010-05-27,19.08206558227539
2010-05-28,19.121793746948242
2010-06-01,19.03097915649414
2010-06-02,19.502065658569336
2010-06-03,19.462339401245117
2010-06-04,18.82665252685547
2010-06-07,18.906116485595703
2010-06-08,19.189905166625977
2010-06-09,19.133142471313477
2010-06-10,19.666667938232422
2010-06-11,20.00526237487793
2010-06-14,20.097089767456055
2010-06-15,20.670963287353516
2010-06-16,20.66520881652832
2010-06-17,20.57912826538086
2010-06-18,20.4700927734375
2010-06-21,20.154470443725586
2010-06-22,20.16020393371582
2010-06-23,20.326627731323242
2010-06-24,20.435665130615234
2010-06-25,20.61931037902832
2010-06-28,20.625049591064453
2010-06-29,20.33237075805664
2010-06-30,20.068376541137695
2010-07-01,19.764225006103516
2010-07-02,19.637975692749023
2010-07-06,19.884740829467773
2010-07-07,20.33237075805664
2010-07-08,20.57912826538086
2010-07-09,20.831640243530273
2010-07-12,20.711116790771484
2010-07-13,20.917722702026367
2010-07-14,20.77425765991211
2010-07-15,20.940673828125
2010-07-16,20.60782814025879
2010-07-19,20.544696807861328
2010-07-20,20.46435546875
2010-07-21,20.19463539123535
2010-07-22,20.18889617919922
2010-07-23,20.010997772216797
2010-07-26,20.24054527282715
2010-07-27,20.18889617919922
2010-07-28,19.936389923095703
2010-07-29,20.120027542114258
2010-07-30,19.77570915222168
2010-08-02,20.125768661499023
2010-08-03,19.982301712036133
2010-08-04,20.19463539123535
2010-08-05,20.125768661499023
2010-08-06,20.074127197265625
2010-08-09,20.292194366455078
2010-08-10,20.527481079101562
2010-08-11,20.022480010986328
2010-08-12,20.108552932739258
2010-08-13,20.08559799194336
2010-08-16,20.068376541137695
2010-08-17,20.39548110961914
2010-08-18,20.297937393188477
2010-08-19,19.919172286987305
2010-08-20,19.764225006103516
2010-08-23,20.068376541137695
2010-08-24,19.764225006103516
2010-08-25,19.821613311767578
2010-08-26,19.787179946899414
2010-08-27,20.08559799194336
2010-08-30,19.93065071105957
2010-08-31,20.177419662475586
2010-09-01,20.4414005279541
2010-09-02,20.286453247070312
2010-09-03,20.424184799194336
2010-09-07,20.349580764770508
2010-09-08,20.55044174194336
2010-09-09,20.705385208129883
2010-09-10,21.032489776611328
2010-09-13,21.003498077392578
2010-09-14,21.17746353149414
2010-09-15,21.17166519165039
2010-09-16,21.125282287597656
2010-09-17,21.067293167114258
2010-09-20,21.189058303833008
2010-09-21,21.293445587158203
2010-09-22,21.4326171875
2010-09-23,21.258647918701172
2010-09-24,21.652971267700195
2010-09-27,21.53119659423828
2010-09-28,21.600788116455078
