Date,GL
2010-01-04,17.243616104125977
2010-01-05,17.636566162109375
2010-01-06,17.763694763183594
2010-01-07,17.759843826293945
2010-01-08,17.7559871673584
2010-01-11,17.782955169677734
2010-01-12,17.825332641601562
2010-01-13,17.979433059692383
2010-01-14,17.983287811279297
2010-01-15,17.798370361328125
2010-01-19,18.07575035095215
2010-01-20,17.921642303466797
2010-01-21,17.54410171508789
2010-01-22,17.04328727722168
2010-01-25,17.451641082763672
2010-01-26,17.274429321289062
2010-01-27,17.640413284301758
2010-01-28,17.401561737060547
2010-01-29,17.29755210876465
2010-02-01,17.505584716796875
2010-02-02,17.798370361328125
2010-02-03,17.497875213623047
2010-02-04,17.031736373901367
2010-02-05,16.985502243041992
2010-02-08,16.966236114501953
2010-02-09,17.05869483947754
2010-02-10,17.093366622924805
2010-02-11,17.158864974975586
2010-02-12,17.09722137451172
2010-02-16,17.216644287109375
2010-02-17,17.49016761779785
2010-02-18,17.767545700073242
2010-02-19,17.92549705505371
2010-02-22,18.056486129760742
2010-02-23,17.38614845275879
2010-02-24,17.659677505493164
2010-02-25,17.840742111206055
2010-02-26,17.913942337036133
2010-03-01,18.12582778930664
2010-03-02,18.187463760375977
2010-03-03,18.672876358032227
2010-03-04,18.861650466918945
2010-03-05,19.258453369140625
2010-03-08,19.478036880493164
2010-03-09,19.43181037902832
2010-03-10,19.616737365722656
2010-03-11,19.751564025878906
2010-03-12,19.7053279876709
2010-03-15,19.840179443359375
2010-03-16,20.260087966918945
2010-03-17,20.69926643371582
2010-03-18,20.680011749267578
2010-03-19,20.487382888793945
2010-03-22,20.475826263427734
2010-03-23,20.560583114624023
2010-03-24,20.379505157470703
2010-03-25,20.32173728942871
2010-03-26,20.28705406188965
2010-03-29,20.460418701171875
2010-03-30,20.39860725402832
2010-03-31,20.67290496826172
2010-04-01,20.912437438964844
2010-04-05,21.109464645385742
2010-04-06,21.136516571044922
2010-04-07,20.839019775390625
2010-04-08,20.78880500793457
2010-04-09,20.815847396850586
2010-04-12,21.009017944335938
2010-04-13,21.132644653320312
2010-04-14,21.65420150756836
2010-04-15,21.534439086914062
2010-04-16,21.05537986755371
