Date,ITIC
2010-01-04,20.550519943237305
2010-01-05,19.88895606994629
2010-01-06,19.558177947998047
2010-01-07,19.24544334411621
2010-01-08,19.425865173339844
2010-01-11,19.79273223876953
2010-01-12,19.846864700317383
2010-01-13,20.10546875
2010-01-14,20.153581619262695
2010-01-15,20.123512268066406
2010-01-19,20.207704544067383
2010-01-20,20.243793487548828
2010-01-21,20.153581619262695
2010-01-22,20.56255340576172
2010-01-25,20.57457733154297
2010-01-26,20.718917846679688
2010-01-27,20.568565368652344
2010-01-28,21.055709838867188
2010-01-29,20.694856643676758
2010-02-01,20.51444435119629
2010-02-02,21.16998291015625
2010-02-03,20.634714126586914
2010-02-04,20.742969512939453
2010-02-05,20.556533813476562
2010-02-08,20.694856643676758
2010-02-09,20.7790584564209
2010-02-10,21.13991355895996
2010-02-11,21.091796875
2010-02-12,21.296276092529297
2010-02-16,21.109838485717773
2010-02-17,20.989559173583984
2010-02-18,21.290267944335938
2010-02-19,20.863256454467773
2010-02-22,21.07375717163086
2010-02-23,20.51444435119629
2010-02-24,20.352052688598633
2010-02-25,20.568565368652344
2010-02-26,20.761018753051758
2010-03-01,20.74898910522461
2010-03-02,20.74898910522461
2010-03-03,20.550519943237305
2010-03-04,20.845218658447266
2010-03-05,20.5324764251709
2010-03-08,20.8211612701416
2010-03-09,20.80913543701172
2010-03-10,20.74898910522461
2010-03-11,21.092500686645508
2010-03-12,21.092500686645508
2010-03-15,20.947858810424805
2010-03-16,21.827720642089844
2010-03-17,22.03864288330078
2010-03-18,21.417924880981445
2010-03-19,21.695144653320312
2010-03-22,22.62320899963379
2010-03-23,21.484216690063477
2010-03-24,21.92414093017578
2010-03-25,20.55010986328125
2010-03-26,20.544084548950195
2010-03-29,20.104156494140625
2010-03-30,21.454082489013672
2010-03-31,20.48382568359375
2010-04-01,20.2970027923584
2010-04-05,20.495874404907227
2010-04-06,20.290979385375977
2010-04-07,20.47177505493164
2010-04-08,19.93541717529297
2010-04-09,20.158397674560547
2010-04-12,20.037872314453125
2010-04-13,20.18250846862793
2010-04-14,20.194557189941406
2010-04-15,20.73090934753418
2010-04-16,20.67064666748047
2010-04-19,21.0804443359375
2010-04-20,21.0322322845459
