Date,SCSC
2010-01-04,27.290000915527344
2010-01-05,27.65999984741211
2010-01-06,27.93000030517578
2010-01-07,27.760000228881836
2010-01-08,29.3700008392334
2010-01-11,29.520000457763672
2010-01-12,29.75
2010-01-13,30.309999465942383
2010-01-14,29.920000076293945
2010-01-15,28.670000076293945
2010-01-19,29.40999984741211
2010-01-20,28.950000762939453
2010-01-21,28.18000030517578
2010-01-22,27.84000015258789
2010-01-25,27.68000030517578
2010-01-26,27.270000457763672
2010-01-27,27.469999313354492
2010-01-28,27.059999465942383
2010-01-29,28.260000228881836
2010-02-01,28.170000076293945
2010-02-02,28.170000076293945
2010-02-03,27.389999389648438
2010-02-04,25.739999771118164
2010-02-05,25.559999465942383
2010-02-08,25.5
2010-02-09,25.8700008392334
2010-02-10,25.770000457763672
2010-02-11,25.8799991607666
2010-02-12,25.670000076293945
2010-02-16,25.700000762939453
2010-02-17,25.15999984741211
2010-02-18,25.200000762939453
2010-02-19,25.440000534057617
2010-02-22,26.0
2010-02-23,26.0
2010-02-24,26.059999465942383
2010-02-25,26.25
2010-02-26,26.0
2010-03-01,27.020000457763672
2010-03-02,27.299999237060547
2010-03-03,27.420000076293945
2010-03-04,27.530000686645508
2010-03-05,28.200000762939453
2010-03-08,28.239999771118164
2010-03-09,28.65999984741211
2010-03-10,28.809999465942383
2010-03-11,28.969999313354492
2010-03-12,29.079999923706055
2010-03-15,29.1200008392334
2010-03-16,29.309999465942383
2010-03-17,29.600000381469727
2010-03-18,29.799999237060547
2010-03-19,29.829999923706055
2010-03-22,30.229999542236328
2010-03-23,30.350000381469727
2010-03-24,29.510000228881836
2010-03-25,28.969999313354492
2010-03-26,29.3799991607666
2010-03-29,29.399999618530273
2010-03-30,29.399999618530273
2010-03-31,28.780000686645508
2010-04-01,29.309999465942383
2010-04-05,29.8700008392334
2010-04-06,30.0
2010-04-07,30.229999542236328
2010-04-08,27.510000228881836
2010-04-09,27.549999237060547
2010-04-12,27.450000762939453
2010-04-13,27.260000228881836
2010-04-14,27.520000457763672
2010-04-15,27.8700008392334
2010-04-16,27.600000381469727
2010-04-19,27.520000457763672
2010-04-20,27.799999237060547
2010-04-21,28.010000228881836
