Date,FE
2010-01-04,22.772138595581055
2010-01-05,22.518951416015625
2010-01-06,22.76240348815918
2010-01-07,22.421579360961914
2010-01-08,22.304719924926758
2010-01-11,22.694236755371094
2010-01-12,22.72832679748535
2010-01-13,22.859790802001953
2010-01-14,22.820833206176758
2010-01-15,22.733196258544922
2010-01-19,22.898731231689453
2010-01-20,22.57738494873047
2010-01-21,21.978487014770508
2010-01-22,21.48672866821289
2010-01-25,21.61332130432129
2010-01-26,21.72044563293457
2010-01-27,21.53055191040039
2010-01-28,21.25789451599121
2010-01-29,21.23841667175293
2010-02-01,21.30171775817871
2010-02-02,21.472126007080078
2010-02-03,21.131927490234375
2010-02-04,20.6684627532959
2010-02-05,20.486034393310547
2010-02-08,20.209928512573242
2010-02-09,20.5797176361084
2010-02-10,20.441661834716797
2010-02-11,19.51966667175293
2010-02-12,19.322446823120117
2010-02-16,19.332311630249023
2010-02-17,19.016767501831055
2010-02-18,19.13016700744629
2010-02-19,19.573894500732422
2010-02-22,19.593626022338867
2010-02-23,19.332311630249023
2010-02-24,19.287939071655273
2010-02-25,19.26328468322754
2010-02-26,19.05620574951172
2010-03-01,19.26328468322754
2010-03-02,19.386550903320312
2010-03-03,19.18932342529297
2010-03-04,19.18932342529297
2010-03-05,19.5295352935791
2010-03-08,19.4802303314209
2010-03-09,19.455568313598633
2010-03-10,19.603483200073242
2010-03-11,19.588693618774414
2010-03-12,19.450637817382812
2010-03-15,19.568971633911133
2010-03-16,19.647857666015625
2010-03-17,19.716888427734375
2010-03-18,19.51966667175293
2010-03-19,19.61334228515625
2010-03-22,19.662656784057617
2010-03-23,19.93876075744629
2010-03-24,19.854936599731445
2010-03-25,19.23369598388672
2010-03-26,19.125232696533203
2010-03-29,19.223844528198242
2010-03-30,19.16961097717285
2010-03-31,19.273147583007812
2010-04-01,19.455568313598633
2010-04-05,19.485149383544922
2010-04-06,19.6577205657959
2010-04-07,19.485149383544922
2010-04-08,19.450637817382812
2010-04-09,19.50980567932129
2010-04-12,19.5443172454834
2010-04-13,19.352035522460938
2010-04-14,19.154815673828125
2010-04-15,19.02662467956543
2010-04-16,18.661767959594727
2010-04-19,18.50892448425293
2010-04-20,18.637117385864258
2010-04-21,18.57794761657715
2010-04-22,18.410320281982422
2010-04-23,18.494131088256836
2010-04-26,18.400455474853516
2010-04-27,18.193376541137695
2010-04-28,18.469482421875
2010-04-29,18.439899444580078
2010-04-30,18.6716251373291
2010-05-03,18.661767959594727
2010-05-04,18.277193069458008
2010-05-05,17.876821517944336
2010-05-06,17.4514102935791
2010-05-07,17.54650115966797
2010-05-10,17.98191261291504
2010-05-11,17.951889038085938
2010-05-12,18.23715591430664
2010-05-13,18.39730453491211
2010-05-14,18.38729476928711
2010-05-17,18.292205810546875
2010-05-18,17.976909637451172
2010-05-19,17.881820678710938
2010-05-20,17.371339797973633
2010-05-21,17.4564208984375
2010-05-24,17.341310501098633
2010-05-25,17.206186294555664
2010-05-26,17.231210708618164
2010-05-27,17.636587142944336
2010-05-28,17.621570587158203
2010-06-01,17.031021118164062
2010-06-02,17.426389694213867
2010-06-03,17.801746368408203
2010-06-04,17.6265811920166
2010-06-07,18.097034454345703
2010-06-08,18.252174377441406
2010-06-09,18.077009201049805
2010-06-10,18.51741600036621
2010-06-11,18.457366943359375
2010-06-14,18.607501983642578
2010-06-15,18.952823638916016
2010-06-16,18.982858657836914
2010-06-17,19.288148880004883
2010-06-18,19.253108978271484
2010-06-21,18.892770767211914
2010-06-22,18.222139358520508
2010-06-23,18.066997528076172
2010-06-24,18.051979064941406
2010-06-25,18.02194595336914
2010-06-28,18.15207290649414
2010-06-29,17.751699447631836
2010-06-30,17.631587982177734
2010-07-01,17.496461868286133
2010-07-02,17.31629180908203
2010-07-06,17.5064697265625
2010-07-07,18.031959533691406
2010-07-08,18.222139358520508
2010-07-09,18.522422790527344
2010-07-12,18.647544860839844
2010-07-13,18.752639770507812
2010-07-14,18.777667999267578
2010-07-15,18.802684783935547
2010-07-16,18.57247543334961
2010-07-19,18.84272575378418
2010-07-20,18.987865447998047
2010-07-21,18.94281768798828
2010-07-22,19.233091354370117
2010-07-23,18.937816619873047
2010-07-26,18.952823638916016
2010-07-27,19.423274993896484
2010-07-28,19.38323402404785
2010-07-29,19.05792999267578
2010-07-30,18.86774253845215
2010-08-02,19.238100051879883
2010-08-03,19.31817054748535
2010-08-04,19.21663475036621
2010-08-05,19.14554786682129
2010-08-06,19.049091339111328
2010-08-09,19.023704528808594
2010-08-10,18.952627182006836
2010-08-11,18.4296875
2010-08-12,18.160602569580078
2010-08-13,18.39922332763672
2010-08-16,18.526153564453125
2010-08-17,18.815547943115234
2010-08-18,18.719078063964844
2010-08-19,18.36368751525879
2010-08-20,18.196147918701172
2010-08-23,18.317983627319336
2010-08-24,18.251998901367188
2010-08-25,18.221534729003906
2010-08-26,18.185991287231445
2010-08-27,18.612455368041992
2010-08-30,18.44491958618164
2010-08-31,18.546459197998047
2010-09-01,19.013553619384766
2010-09-02,19.01862907409668
2010-09-03,19.18109703063965
2010-09-07,19.003398895263672
2010-09-08,18.972930908203125
2010-09-09,19.089704513549805
2010-09-10,18.9881649017334
2010-09-13,18.957700729370117
2010-09-14,18.637840270996094
2010-09-15,18.546459197998047
2010-09-16,18.39922332763672
2010-09-17,18.434768676757812
2010-09-20,18.642932891845703
2010-09-21,18.490617752075195
2010-09-22,18.820621490478516
2010-09-23,18.98308753967285
2010-09-24,19.343549728393555
2010-09-27,19.495866775512695
2010-09-28,19.465410232543945
