Date,XRX
2010-01-04,10.798242568969727
2010-01-05,10.810755729675293
2010-01-06,10.710652351379395
2010-01-07,10.760701179504395
2010-01-08,10.723163604736328
2010-01-11,10.98592758178711
2010-01-12,11.073512077331543
2010-01-13,11.19863510131836
2010-01-14,11.123559951782227
2010-01-15,11.06099796295166
2010-01-19,11.286218643188477
2010-01-20,11.123559951782227
2010-01-21,11.61154556274414
2010-01-22,11.223662376403809
2010-01-25,11.123559951782227
2010-01-26,11.086024284362793
2010-01-27,11.123559951782227
2010-01-28,11.035977363586426
2010-01-29,10.910852432250977
2010-02-01,11.223662376403809
2010-02-02,11.423861503601074
2010-02-03,11.248688697814941
2010-02-04,10.823264122009277
2010-02-05,10.598042488098145
2010-02-08,10.573016166687012
2010-02-09,10.485428810119629
2010-02-10,10.573016166687012
2010-02-11,10.960901260375977
2010-02-12,10.97341251373291
2010-02-16,11.086024284362793
2010-02-17,11.16109848022461
2010-02-18,11.473910331726074
2010-02-19,11.51145076751709
2010-02-22,11.56149959564209
2010-02-23,11.386322021484375
2010-02-24,11.574010848999023
2010-02-25,11.624058723449707
2010-02-26,11.724161148071289
2010-03-01,11.949380874633789
2010-03-02,11.886821746826172
2010-03-03,11.911846160888672
2010-03-04,11.936869621276855
2010-03-05,12.349784851074219
2010-03-08,12.399831771850586
2010-03-09,12.187119483947754
2010-03-10,12.32475757598877
2010-03-11,12.512446403503418
2010-03-12,12.374807357788086
2010-03-15,12.537466049194336
2010-03-16,12.625059127807617
2010-03-17,12.387322425842285
2010-03-18,12.337271690368652
2010-03-19,11.974408149719238
2010-03-22,12.349784851074219
2010-03-23,12.650079727172852
2010-03-24,12.337271690368652
2010-03-25,12.036969184875488
2010-03-26,12.137069702148438
2010-03-29,12.2288179397583
2010-03-30,12.178544998168945
2010-03-31,12.253948211669922
2010-04-01,12.555590629577637
2010-04-05,13.045743942260742
2010-04-06,12.907499313354492
2010-04-07,12.769247055053711
2010-04-08,13.09601879119873
2010-04-09,13.121153831481934
2010-04-12,13.183999061584473
2010-04-13,13.133723258972168
2010-04-14,13.259407043457031
2010-04-15,13.183999061584473
2010-04-16,12.970335960388184
2010-04-19,13.460493087768555
2010-04-20,13.498198509216309
2010-04-21,13.322246551513672
2010-04-22,13.133723258972168
2010-04-23,14.227153778076172
2010-04-26,14.264856338500977
2010-04-27,13.58617877960205
2010-04-28,13.95065689086914
2010-04-29,14.101472854614258
2010-04-30,13.699289321899414
2010-05-03,13.88781452178955
