Date,EPM
2010-01-04,2.46730637550354
2010-01-05,2.415529489517212
2010-01-06,2.43032169342041
2010-01-07,2.3405065536499023
2010-01-08,2.3880562782287598
2010-01-11,2.414472818374634
2010-01-12,2.4091901779174805
2010-01-13,2.4091901779174805
2010-01-14,2.398623466491699
2010-01-15,2.3616394996643066
2010-01-19,2.446171760559082
2010-01-20,2.43032169342041
2010-01-21,2.451456308364868
2010-01-22,2.440889835357666
2010-01-25,2.456739664077759
2010-01-26,2.43032169342041
2010-01-27,2.43032169342041
2010-01-28,2.4662492275238037
2010-01-29,2.393340587615967
2010-02-01,2.5571231842041016
2010-02-02,2.6205227375030518
2010-02-03,2.694488525390625
2010-02-04,2.562405824661255
2010-02-05,2.451456308364868
2010-02-08,2.407076835632324
2010-02-09,2.493723154067993
2010-02-10,2.4884393215179443
2010-02-11,2.5307059288024902
2010-02-12,2.4831559658050537
2010-02-16,2.5412724018096924
2010-02-17,2.555009126663208
2010-02-18,2.5676889419555664
2010-02-19,2.5888218879699707
2010-02-22,2.546555280685425
2010-02-23,2.5042881965637207
2010-02-24,2.477872848510742
2010-02-25,2.446171760559082
2010-02-26,2.356356382369995
2010-03-01,2.3669233322143555
2010-03-02,2.372206687927246
2010-03-03,2.377490282058716
2010-03-04,2.3669233322143555
2010-03-05,2.377490282058716
2010-03-08,2.3880562782287598
2010-03-09,2.377490282058716
2010-03-10,2.382772922515869
2010-03-11,2.3880562782287598
2010-03-12,2.4039065837860107
2010-03-15,2.3457906246185303
2010-03-16,2.351072311401367
2010-03-17,2.419755458831787
2010-03-18,2.3669233322143555
2010-03-19,2.377490282058716
2010-03-22,2.3616394996643066
2010-03-23,2.382772922515869
2010-03-24,2.425039529800415
2010-03-25,2.414472818374634
2010-03-26,2.393340587615967
2010-03-29,2.43032169342041
2010-03-30,2.43032169342041
2010-03-31,2.451456308364868
2010-04-01,2.477872848510742
2010-04-05,2.78958797454834
2010-04-06,3.0273375511169434
2010-04-07,2.8741214275360107
2010-04-08,2.868837594985962
2010-04-09,2.9375219345092773
2010-04-12,2.9216701984405518
2010-04-13,3.080169916152954
2010-04-14,3.0643205642700195
2010-04-15,3.096020221710205
2010-04-16,3.096020221710205
2010-04-19,3.1277198791503906
2010-04-20,3.196403741836548
2010-04-21,3.2756526470184326
2010-04-22,3.2016866207122803
2010-04-23,3.1647026538848877
2010-04-26,3.1382863521575928
2010-04-27,3.085453510284424
2010-04-28,3.148853302001953
2010-04-29,3.1382863521575928
2010-04-30,3.159419536590576
2010-05-03,3.169985294342041
2010-05-04,3.1435706615448
2010-05-05,3.1171534061431885
2010-05-06,2.7261886596679688
2010-05-07,2.763171672821045
2010-05-10,3.0273375511169434
2010-05-11,3.085453510284424
2010-05-12,3.059037685394287
2010-05-13,3.111870050430298
2010-05-14,3.059037685394287
2010-05-17,2.990353584289551
2010-05-18,2.8635551929473877
2010-05-19,2.747321605682373
2010-05-20,2.6205227375030518
2010-05-21,2.7209057807922363
2010-05-24,2.810720682144165
2010-05-25,2.7209057807922363
2010-05-26,2.826571226119995
2010-05-27,2.932237386703491
2010-05-28,2.9850704669952393
2010-06-01,2.9745044708251953
2010-06-02,3.0062031745910645
2010-06-03,2.9850704669952393
2010-06-04,3.0167698860168457
2010-06-07,2.990353584289551
2010-06-08,2.958652973175049
2010-06-09,2.958652973175049
2010-06-10,2.958652973175049
2010-06-11,2.979787826538086
2010-06-14,3.1065869331359863
2010-06-15,3.1382863521575928
2010-06-16,3.1065869331359863
2010-06-17,3.1013028621673584
2010-06-18,3.085453510284424
2010-06-21,3.043186902999878
2010-06-22,2.9956374168395996
2010-06-23,3.0326194763183594
2010-06-24,2.990353584289551
2010-06-25,2.8477039337158203
2010-06-28,2.895253896713257
2010-06-29,2.7261886596679688
2010-06-30,2.6469388008117676
2010-07-01,2.5782554149627686
2010-07-02,2.599388599395752
2010-07-06,2.5676889419555664
2010-07-07,2.583538293838501
2010-07-08,2.7156217098236084
2010-07-09,2.8001554012298584
2010-07-12,2.694488525390625
2010-07-13,2.7156217098236084
2010-07-14,2.705054759979248
2010-07-15,2.668071985244751
2010-07-16,2.5941057205200195
2010-07-19,2.509572744369507
2010-07-20,2.5888218879699707
2010-07-21,2.5201382637023926
2010-07-22,2.6310887336730957
2010-07-23,2.583538293838501
2010-07-26,2.7261886596679688
2010-07-27,2.8212881088256836
2010-07-28,2.662788152694702
2010-07-29,2.673354387283325
2010-07-30,2.9850704669952393
2010-08-02,3.0062031745910645
2010-08-03,2.895253896713257
2010-08-04,2.8794047832489014
2010-08-05,2.8054373264312744
2010-08-06,2.7261886596679688
2010-08-09,2.7156217098236084
2010-08-10,2.6416549682617188
2010-08-11,2.451456308364868
2010-08-12,2.377490282058716
2010-08-13,2.3299400806427
2010-08-16,2.377490282058716
2010-08-17,2.43032169342041
2010-08-18,2.398623466491699
2010-08-19,2.3246567249298096
2010-08-20,2.3246567249298096
2010-08-23,2.3352229595184326
2010-08-24,2.2401230335235596
2010-08-25,2.2559733390808105
2010-08-26,2.2929575443267822
2010-08-27,2.393340587615967
2010-08-30,2.493723154067993
2010-08-31,2.5307059288024902
2010-09-01,2.6205227375030518
2010-09-02,2.705054759979248
2010-09-03,2.668071985244751
2010-09-07,2.5676889419555664
2010-09-08,2.6152381896972656
2010-09-09,2.9005374908447266
2010-09-10,2.9480879306793213
2010-09-13,2.9216701984405518
2010-09-14,2.9428048133850098
2010-09-15,3.0114879608154297
2010-09-16,3.0379035472869873
2010-09-17,3.0273375511169434
2010-09-20,3.1330032348632812
