Date,CNXN
2010-01-04,5.90416145324707
2010-01-05,5.759371757507324
2010-01-06,5.493926525115967
2010-01-07,5.180217266082764
2010-01-08,5.558276653289795
2010-01-11,5.461751937866211
2010-01-12,5.260656356811523
2010-01-13,5.204349040985107
2010-01-14,5.333049297332764
2010-01-15,5.349137306213379
2010-01-19,5.614583492279053
2010-01-20,5.284786701202393
2010-01-21,5.775459289550781
2010-01-22,5.292830467224121
2010-01-25,5.2365241050720215
2010-01-26,5.1560869216918945
2010-01-27,5.164130687713623
2010-01-28,5.1560869216918945
2010-01-29,5.148042678833008
2010-02-01,5.083691596984863
2010-02-02,5.107823848724365
2010-02-03,5.0273847579956055
2010-02-04,4.938902854919434
2010-02-05,4.979121685028076
2010-02-08,4.890641212463379
2010-02-09,5.019341468811035
2010-02-10,5.067604064941406
2010-02-11,5.019341468811035
2010-02-12,5.0434722900390625
2010-02-16,5.003254413604736
2010-02-17,5.0434722900390625
2010-02-18,5.0273847579956055
2010-02-19,5.035428524017334
2010-02-22,5.300875186920166
2010-02-23,5.0434722900390625
2010-02-24,5.107823848724365
2010-02-25,5.051515579223633
2010-02-26,5.051515579223633
2010-03-01,5.2767415046691895
2010-03-02,5.204349040985107
2010-03-03,5.292830467224121
2010-03-04,5.32500696182251
2010-03-05,5.526101589202881
2010-03-08,5.493926525115967
2010-03-09,5.56632137298584
2010-03-10,5.5984954833984375
2010-03-11,5.614583492279053
2010-03-12,5.574363708496094
2010-03-15,5.357180595397949
2010-03-16,5.188260555267334
2010-03-17,5.292830467224121
2010-03-18,5.172173976898193
2010-03-19,4.987166404724121
2010-03-22,5.1158671379089355
2010-03-23,5.107823848724365
2010-03-24,5.0434722900390625
2010-03-25,5.051515579223633
2010-03-26,4.963033676147461
2010-03-29,4.963033676147461
2010-03-30,4.979121685028076
2010-03-31,4.987166404724121
2010-04-01,5.011297225952148
2010-04-05,5.139998435974121
2010-04-06,5.220437049865723
2010-04-07,5.244568347930908
2010-04-08,5.228479385375977
2010-04-09,5.300875186920166
2010-04-12,5.212392807006836
2010-04-13,5.244568347930908
2010-04-14,5.445662498474121
2010-04-15,5.445662498474121
2010-04-16,5.429574966430664
2010-04-19,5.437618732452393
2010-04-20,5.469795227050781
2010-04-21,5.469795227050781
2010-04-22,5.429574966430664
2010-04-23,5.47783899307251
2010-04-26,5.646758556365967
2010-04-27,5.260656356811523
2010-04-28,5.316963195800781
2010-04-29,5.4858832359313965
2010-04-30,5.534145355224609
2010-05-03,5.63067102432251
2010-05-04,5.550233840942383
2010-05-05,5.56632137298584
2010-05-06,5.34109354019165
2010-05-07,5.365225791931152
2010-05-10,5.735240936279297
2010-05-11,5.831766605377197
2010-05-12,6.056994438171387
2010-05-13,5.928292751312256
2010-05-14,5.63067102432251
2010-05-17,5.622627258300781
2010-05-18,5.534145355224609
2010-05-19,5.510014057159424
2010-05-20,5.188260555267334
2010-05-21,5.164130687713623
