Date,FMNB
2010-01-04,2.589930295944214
2010-01-05,2.747852325439453
2010-01-06,2.589930295944214
2010-01-07,2.71626877784729
2010-01-08,2.71626877784729
2010-01-11,2.71626877784729
2010-01-12,2.6846845149993896
2010-01-13,2.6846845149993896
2010-01-14,2.9689443111419678
2010-01-15,2.9689443111419678
2010-01-19,2.9373607635498047
2010-01-20,2.71626877784729
2010-01-21,2.7794387340545654
2010-01-22,2.8552401065826416
2010-01-25,2.8552401065826416
2010-01-26,2.8426058292388916
2010-01-27,2.8426058292388916
2010-01-28,2.8426058292388916
2010-01-29,2.8426058292388916
2010-02-01,2.8426058292388916
2010-02-02,2.8426058292388916
2010-02-03,2.8426058292388916
2010-02-04,3.000527858734131
2010-02-05,2.747852325439453
2010-02-08,2.71626877784729
2010-02-09,2.71626877784729
2010-02-10,2.8426058292388916
2010-02-11,2.8426058292388916
2010-02-12,2.6215133666992188
2010-02-16,2.6846845149993896
2010-02-17,2.6846845149993896
2010-02-18,2.6783664226531982
2010-02-19,2.6846845149993896
2010-02-22,2.6846845149993896
2010-02-23,3.0321123600006104
2010-02-24,2.747852325439453
2010-02-25,2.747852325439453
2010-02-26,2.747852325439453
2010-03-01,2.747852325439453
2010-03-02,2.747852325439453
2010-03-03,2.747852325439453
2010-03-04,2.9057741165161133
2010-03-05,2.9057741165161133
2010-03-08,2.7794387340545654
2010-03-09,2.8426058292388916
2010-03-10,2.8426058292388916
2010-03-11,2.7794387340545654
2010-03-12,2.7794387340545654
2010-03-15,2.71626877784729
2010-03-16,2.8362884521484375
2010-03-17,2.8617265224456787
2010-03-18,2.893523931503296
2010-03-19,2.7981338500976562
2010-03-22,2.7981338500976562
2010-03-23,2.7981338500976562
2010-03-24,2.702742099761963
2010-03-25,2.957118034362793
2010-03-26,2.766335964202881
2010-03-29,2.766335964202881
2010-03-30,2.766335964202881
2010-03-31,2.8299286365509033
2010-04-01,2.8617265224456787
2010-04-05,2.7154605388641357
2010-04-06,2.7154605388641357
2010-04-07,2.766335964202881
2010-04-08,2.702742099761963
2010-04-09,2.645507574081421
2010-04-12,2.702742099761963
2010-04-13,2.670944929122925
2010-04-14,2.607351064682007
2010-04-15,2.613710403442383
2010-04-16,2.6391477584838867
2010-04-19,2.8235702514648438
2010-04-20,2.702742099761963
2010-04-21,2.702742099761963
