Date,NOG
2010-01-04,107.48100280761719
2010-01-05,108.93458557128906
2010-01-06,116.4591064453125
2010-01-07,112.61134338378906
2010-01-08,111.49976348876953
2010-01-11,105.34333038330078
2010-01-12,102.60713958740234
2010-01-13,102.09410095214844
2010-01-14,105.51435089111328
2010-01-15,107.05345916748047
2010-01-19,107.82301330566406
2010-01-20,105.85637664794922
2010-01-21,103.46221923828125
2010-01-22,101.83758544921875
2010-01-25,103.63322448730469
2010-01-26,99.69994354248047
2010-01-27,99.5289306640625
2010-01-28,96.62174224853516
2010-01-29,94.48409271240234
2010-02-01,93.62904357910156
2010-02-02,99.10140991210938
2010-02-03,100.72602081298828
2010-02-04,94.7406005859375
2010-02-05,95.33914947509766
2010-02-08,95.16812896728516
2010-02-09,97.8188247680664
2010-02-10,103.20569610595703
2010-02-11,105.25782775878906
2010-02-12,105.77086639404297
2010-02-16,107.82301330566406
2010-02-17,106.96795654296875
2010-02-18,106.8824462890625
2010-02-19,104.57378387451172
2010-02-22,103.46221923828125
2010-02-23,103.63322448730469
2010-02-24,103.88973999023438
2010-02-25,105.17233276367188
2010-02-26,105.68536376953125
2010-03-01,107.73750305175781
2010-03-02,111.49976348876953
2010-03-03,112.09831237792969
2010-03-04,113.03887176513672
2010-03-05,114.66350555419922
2010-03-08,115.6040267944336
2010-03-09,113.55191040039062
2010-03-10,111.15774536132812
2010-03-11,113.03887176513672
2010-03-12,111.49976348876953
2010-03-15,110.90122985839844
2010-03-16,110.730224609375
2010-03-17,113.63741302490234
2010-03-18,112.9533920288086
2010-03-19,111.0722427368164
2010-03-22,112.4403305053711
2010-03-23,114.23597717285156
2010-03-24,115.6040267944336
2010-03-25,115.0055160522461
2010-03-26,120.64891052246094
2010-03-29,126.63433074951172
2010-03-30,127.83140563964844
2010-03-31,135.52694702148438
2010-04-01,142.79495239257812
2010-04-05,148.60935974121094
2010-04-06,150.4049530029297
2010-04-07,142.6239471435547
2010-04-08,141.08485412597656
2010-04-09,146.64273071289062
2010-04-12,141.85440063476562
2010-04-13,135.01390075683594
2010-04-14,132.3632049560547
2010-04-15,143.65000915527344
2010-04-16,144.07754516601562
2010-04-19,141.93991088867188
2010-04-20,147.4122772216797
2010-04-21,145.6166534423828
2010-04-22,147.32676696777344
2010-04-23,146.38621520996094
2010-04-26,144.76158142089844
2010-04-27,142.11093139648438
2010-04-28,139.7167205810547
2010-04-29,139.8877410888672
2010-04-30,139.03268432617188
2010-05-03,147.6687774658203
2010-05-04,143.73553466796875
2010-05-05,135.52694702148438
2010-05-06,123.81262969970703
2010-05-07,117.9126968383789
2010-05-10,130.73863220214844
2010-05-11,133.3037872314453
2010-05-12,136.3820037841797
2010-05-13,130.73863220214844
2010-05-14,122.95756530761719
2010-05-17,117.0576400756836
2010-05-18,114.23597717285156
2010-05-19,111.84180450439453
2010-05-20,105.77086639404297
2010-05-21,107.48100280761719
2010-05-24,107.56651306152344
2010-05-25,109.19110870361328
2010-05-26,113.97943878173828
2010-05-27,124.92420959472656
2010-05-28,123.3851089477539
2010-06-01,114.15045166015625
2010-06-02,123.29960632324219
2010-06-03,128.94297790527344
2010-06-04,117.39967346191406
2010-06-07,112.9533920288086
2010-06-08,114.06493377685547
2010-06-09,115.26203918457031
2010-06-10,120.99092102050781
2010-06-11,123.1285629272461
2010-06-14,119.7938461303711
2010-06-15,120.81990051269531
2010-06-16,121.50397491455078
2010-06-17,119.70833587646484
2010-06-18,120.30687713623047
2010-06-21,120.99092102050781
2010-06-22,117.9126968383789
2010-06-23,117.0576400756836
2010-06-24,117.74170684814453
2010-06-25,124.32564544677734
2010-06-28,121.41846466064453
2010-06-29,111.75627899169922
2010-06-30,109.78965759277344
2010-07-01,109.70414733886719
2010-07-02,106.62593078613281
2010-07-06,105.25782775878906
2010-07-07,108.7635726928711
2010-07-08,111.0722427368164
2010-07-09,115.94608306884766
2010-07-12,116.8011474609375
2010-07-13,123.72712707519531
2010-07-14,125.6937484741211
2010-07-15,125.86475372314453
2010-07-16,121.07645416259766
2010-07-19,118.42575073242188
2010-07-20,122.95756530761719
