Date,RC
2013-02-08,4.798755168914795
2013-02-11,4.738619327545166
2013-02-12,4.726592063903809
2013-02-13,4.820403575897217
2013-02-14,4.793943881988525
2013-02-15,4.786728382110596
2013-02-19,4.839645862579346
2013-02-20,4.851673126220703
2013-02-21,4.817996025085449
2013-02-22,4.870916843414307
2013-02-25,4.834836006164551
2013-02-26,4.8107829093933105
2013-02-27,4.813187122344971
2013-02-28,4.82761812210083
2013-03-01,4.822810173034668
2013-03-04,4.798755168914795
2013-03-05,4.851673126220703
2013-03-06,4.820403575897217
2013-03-07,4.815591812133789
2013-03-08,4.856482982635498
2013-03-11,4.885348796844482
2013-03-12,4.950294494628906
2013-03-13,4.919022083282471
2013-03-14,4.931050777435303
2013-03-15,4.964725971221924
2013-03-18,4.969536781311035
2013-03-19,4.962321758270264
2013-03-20,4.9887800216674805
2013-03-21,4.99599552154541
2013-03-22,4.99118709564209
2013-03-25,4.967131614685059
2013-03-26,4.99118709564209
2013-03-27,4.969536781311035
2013-03-28,4.962321758270264
2013-04-01,4.940670967102051
2013-04-02,4.969536781311035
2013-04-03,4.952699184417725
2013-04-04,4.9719414710998535
2013-04-05,4.979159832000732
2013-04-08,5.041697978973389
2013-04-09,5.0392937660217285
2013-04-10,4.933457851409912
2013-04-11,4.959916591644287
2013-04-12,5.010427951812744
2013-04-15,4.9839701652526855
2013-04-16,5.0392937660217285
2013-04-17,4.957509994506836
2013-04-18,4.964725971221924
2013-04-19,5.0392937660217285
2013-04-22,5.022455215454102
2013-04-23,4.976753234863281
2013-04-24,4.931050777435303
2013-04-25,4.897374629974365
2013-04-26,4.943077564239502
2013-04-29,4.926238536834717
2013-04-30,4.969536781311035
2013-05-01,4.931050777435303
2013-05-02,4.9454827308654785
2013-05-03,4.899781227111816
2013-05-06,4.933457851409912
2013-05-07,4.931050777435303
2013-05-08,4.935860633850098
2013-05-09,4.875727653503418
2013-05-10,4.89256477355957
2013-05-13,4.870916843414307
2013-05-14,4.851673126220703
2013-05-15,4.808377742767334
2013-05-16,4.791539669036865
2013-05-17,4.789133548736572
2013-05-20,4.793943881988525
2013-05-21,4.743430137634277
2013-05-22,4.804243087768555
2013-05-23,4.762890338897705
2013-05-24,4.762890338897705
2013-05-28,4.633965015411377
2013-05-29,4.453958988189697
2013-05-30,4.378551483154297
2013-05-31,4.349360466003418
2013-06-03,4.308008670806885
2013-06-04,4.237464904785156
2013-06-05,4.203409194946289
2013-06-06,4.244762897491455
2013-06-07,4.334766387939453
2013-06-10,4.514773368835449
2013-06-11,4.4296345710754395
2013-06-12,4.305574893951416
2013-06-13,4.378551483154297
2013-06-14,4.359091758728027
2013-06-17,4.43693208694458
2013-06-18,4.451527118682861
2013-06-19,4.505041122436523
2013-06-20,4.339631080627441
2013-06-21,4.427201747894287
2013-06-24,4.303142547607422
