Date,WFRD
2021-01-04,5.631606578826904
2021-01-05,5.788585662841797
2021-01-06,6.009336471557617
2021-01-07,6.259521007537842
2021-01-08,6.544044494628906
2021-01-11,6.377254486083984
2021-01-12,6.642156600952148
2021-01-13,6.563666820526123
2021-01-14,6.919811725616455
2021-01-15,6.720645427703857
2021-01-19,7.309314727783203
2021-01-20,7.171958923339844
2021-01-21,7.348559379577637
2021-01-22,6.786379814147949
2021-01-25,6.377254486083984
2021-01-26,6.269332408905029
2021-01-27,6.279143333435059
2021-01-28,6.31838846206665
2021-01-29,6.6715898513793945
2021-02-01,6.377254486083984
2021-02-02,6.83837890625
2021-02-03,7.054224967956543
2021-02-04,6.6715898513793945
2021-02-05,7.407426834106445
2021-02-08,8.094206809997559
2021-02-09,8.094206809997559
2021-02-10,8.830044746398926
2021-02-11,9.05570125579834
2021-02-12,9.811161994934082
2021-02-16,11.037556648254395
2021-02-17,10.69416618347168
2021-02-18,10.517565727233887
2021-02-19,11.233778953552246
2021-02-22,11.822449684143066
2021-02-23,11.547736167907715
2021-02-24,12.901676177978516
2021-02-25,11.331892013549805
2021-02-26,11.479059219360352
2021-03-01,11.724337577819824
2021-03-02,11.449624061584473
2021-03-03,11.743959426879883
2021-03-04,12.656396865844727
2021-03-05,12.626964569091797
2021-03-08,12.558286666870117
2021-03-09,12.057916641235352
2021-03-10,11.52811336517334
2021-03-11,11.861695289611816
2021-03-12,11.13566780090332
2021-03-15,11.331892013549805
2021-03-16,11.89112663269043
2021-03-17,11.184722900390625
2021-03-18,11.282835006713867
2021-03-19,11.282835006713867
2021-03-22,11.52811336517334
2021-03-23,11.13566780090332
2021-03-24,10.782464981079102
2021-03-25,10.546998023986816
2021-03-26,10.0858736038208
2021-03-29,10.792277336120605
2021-03-30,11.0866117477417
2021-03-31,12.499419212341309
2021-04-01,12.116786003112793
2021-04-05,12.558286666870117
2021-04-06,12.494512557983398
2021-04-07,12.263951301574707
2021-04-08,12.214895248413086
2021-04-09,11.7164888381958
2021-04-12,11.704715728759766
2021-04-13,11.331892013549805
2021-04-14,11.13076114654541
2021-04-15,10.311531066894531
2021-04-16,10.546998023986816
2021-04-19,10.419453620910645
2021-04-20,10.321340560913086
2021-04-21,10.321340560913086
2021-04-22,10.027007102966309
2021-04-23,10.046628952026367
2021-04-26,10.027007102966309
2021-04-27,10.056440353393555
2021-04-28,10.22322940826416
2021-04-29,10.350775718688965
2021-04-30,10.39983081817627
2021-05-03,10.39983081817627
2021-05-04,10.301719665527344
2021-05-05,10.596055030822754
2021-05-06,11.037556648254395
2021-05-07,11.268117904663086
2021-05-10,11.479059219360352
2021-05-11,11.13566780090332
2021-05-12,10.98849868774414
2021-05-13,11.557548522949219
2021-05-14,11.52811336517334
2021-05-17,11.430002212524414
2021-05-18,11.184722900390625
2021-05-19,11.01793384552002
2021-05-20,11.0866117477417
2021-05-21,11.194535255432129
2021-05-24,11.184722900390625
2021-05-25,11.037556648254395
2021-05-26,11.0866117477417
2021-05-27,11.0061616897583
2021-05-28,11.38094711303711
2021-06-01,12.165840148925781
2021-06-02,12.568098068237305
2021-06-03,13.78468132019043
2021-06-04,14.530329704284668
2021-06-07,16.090303421020508
2021-06-08,15.305410385131836
2021-06-09,14.47146224975586
2021-06-10,14.971833229064941
2021-06-11,15.442767143249512
2021-06-14,17.169530868530273
2021-06-15,18.631393432617188
2021-06-16,18.366491317749023
2021-06-17,17.94461441040039
2021-06-18,17.552165985107422
2021-06-21,18.39592742919922
2021-06-22,18.05253791809082
2021-06-23,18.366491317749023
2021-06-24,18.601959228515625
2021-06-25,18.641206741333008
2021-06-28,18.032913208007812
2021-06-29,17.728769302368164
2021-06-30,17.85631561279297
2021-07-01,18.631393432617188
2021-07-02,18.327247619628906
2021-07-06,17.993669509887695
2021-07-07,17.56197738647461
2021-07-08,17.522733688354492
2021-07-09,17.84650421142578
2021-07-12,17.895557403564453
2021-07-13,17.92499351501465
2021-07-14,17.395185470581055
2021-07-15,16.50237274169922
2021-07-16,15.982380867004395
2021-07-19,14.942397117614746
2021-07-20,15.334844589233398
2021-07-21,16.002004623413086
2021-07-22,15.952947616577148
2021-07-23,16.129549026489258
2021-07-26,16.973308563232422
2021-07-27,15.982380867004395
2021-07-28,16.4925594329834
2021-07-29,17.454057693481445
2021-07-30,17.11066436767578
2021-08-02,16.678972244262695
2021-08-03,16.87519645690918
2021-08-04,15.854835510253906
2021-08-05,15.39371109008789
2021-08-06,15.38390064239502
2021-08-09,15.079754829406738
2021-08-10,15.374089241027832
2021-08-11,15.040510177612305
2021-08-12,14.716741561889648
2021-08-13,14.775609016418457
2021-08-16,14.363540649414062
2021-08-17,14.206561088562012
2021-08-18,14.26542854309082
2021-08-19,14.324295997619629
2021-08-20,14.255616188049316
2021-08-23,14.7952299118042
2021-08-24,14.991454124450684
2021-08-25,14.952208518981934
2021-08-26,14.981643676757812
2021-08-27,15.49182415008545
2021-08-30,15.629179954528809
2021-08-31,15.462389945983887
2021-09-01,15.217111587524414
2021-09-02,15.246543884277344
2021-09-03,15.109188079833984
2021-09-07,15.79596996307373
2021-09-08,15.825401306152344
2021-09-09,16.4925594329834
2021-09-10,16.678972244262695
2021-09-13,16.551429748535156
2021-09-14,16.678972244262695
2021-09-15,17.287267684936523
2021-09-16,17.6993350982666
2021-09-17,16.659351348876953
2021-09-20,15.786157608032227
2021-09-21,16.02162742614746
2021-09-22,16.678972244262695
2021-09-23,17.1204776763916
2021-09-24,17.66008949279785
2021-09-27,18.886484146118164
2021-09-28,19.838167190551758
