Date,QDEL
2010-01-04,13.569999694824219
2010-01-05,13.960000038146973
2010-01-06,14.039999961853027
2010-01-07,13.979999542236328
2010-01-08,14.149999618530273
2010-01-11,14.779999732971191
2010-01-12,14.680000305175781
2010-01-13,15.069999694824219
2010-01-14,15.359999656677246
2010-01-15,15.279999732971191
2010-01-19,15.569999694824219
2010-01-20,15.3100004196167
2010-01-21,14.90999984741211
2010-01-22,14.229999542236328
2010-01-25,13.920000076293945
2010-01-26,13.729999542236328
2010-01-27,13.539999961853027
2010-01-28,13.329999923706055
2010-01-29,13.279999732971191
2010-02-01,13.420000076293945
2010-02-02,13.670000076293945
2010-02-03,13.529999732971191
2010-02-04,13.239999771118164
2010-02-05,13.050000190734863
2010-02-08,12.979999542236328
2010-02-09,12.630000114440918
2010-02-10,12.800000190734863
2010-02-11,13.100000381469727
2010-02-12,13.09000015258789
2010-02-16,13.010000228881836
2010-02-17,12.869999885559082
2010-02-18,13.050000190734863
2010-02-19,13.050000190734863
2010-02-22,13.079999923706055
2010-02-23,12.890000343322754
2010-02-24,13.010000228881836
2010-02-25,13.079999923706055
2010-02-26,13.0600004196167
2010-03-01,13.130000114440918
2010-03-02,13.65999984741211
2010-03-03,13.800000190734863
2010-03-04,13.630000114440918
2010-03-05,13.779999732971191
2010-03-08,13.470000267028809
2010-03-09,13.739999771118164
2010-03-10,13.529999732971191
2010-03-11,13.600000381469727
2010-03-12,13.739999771118164
2010-03-15,13.529999732971191
2010-03-16,13.479999542236328
2010-03-17,13.09000015258789
2010-03-18,13.069999694824219
2010-03-19,12.930000305175781
2010-03-22,12.989999771118164
2010-03-23,13.510000228881836
2010-03-24,13.899999618530273
2010-03-25,13.899999618530273
2010-03-26,13.729999542236328
2010-03-29,13.949999809265137
2010-03-30,14.180000305175781
2010-03-31,14.539999961853027
2010-04-01,14.430000305175781
2010-04-05,14.25
2010-04-06,14.180000305175781
2010-04-07,14.039999961853027
2010-04-08,13.979999542236328
2010-04-09,14.319999694824219
2010-04-12,14.390000343322754
2010-04-13,14.640000343322754
2010-04-14,14.949999809265137
2010-04-15,14.84000015258789
2010-04-16,14.8100004196167
2010-04-19,14.789999961853027
2010-04-20,15.100000381469727
2010-04-21,14.970000267028809
2010-04-22,14.65999984741211
2010-04-23,14.699999809265137
2010-04-26,14.579999923706055
2010-04-27,14.609999656677246
2010-04-28,14.289999961853027
2010-04-29,14.989999771118164
2010-04-30,14.760000228881836
2010-05-03,13.5600004196167
2010-05-04,13.029999732971191
2010-05-05,12.979999542236328
2010-05-06,12.979999542236328
2010-05-07,12.920000076293945
2010-05-10,12.979999542236328
2010-05-11,13.029999732971191
2010-05-12,13.25
2010-05-13,13.359999656677246
2010-05-14,13.109999656677246
2010-05-17,13.210000038146973
2010-05-18,12.84000015258789
2010-05-19,12.710000038146973
2010-05-20,11.789999961853027
2010-05-21,11.579999923706055
2010-05-24,11.319999694824219
2010-05-25,11.050000190734863
2010-05-26,10.970000267028809
2010-05-27,11.600000381469727
2010-05-28,11.699999809265137
2010-06-01,11.15999984741211
2010-06-02,11.479999542236328
2010-06-03,11.789999961853027
2010-06-04,11.390000343322754
2010-06-07,10.84000015258789
2010-06-08,10.649999618530273
2010-06-09,10.5600004196167
2010-06-10,10.789999961853027
2010-06-11,10.90999984741211
2010-06-14,11.239999771118164
2010-06-15,12.279999732971191
2010-06-16,12.390000343322754
2010-06-17,12.270000457763672
2010-06-18,12.350000381469727
2010-06-21,12.399999618530273
2010-06-22,12.399999618530273
2010-06-23,12.4399995803833
2010-06-24,12.399999618530273
2010-06-25,12.850000381469727
2010-06-28,13.09000015258789
2010-06-29,12.65999984741211
2010-06-30,12.6899995803833
2010-07-01,12.59000015258789
2010-07-02,12.3100004196167
2010-07-06,12.399999618530273
2010-07-07,12.489999771118164
2010-07-08,12.600000381469727
2010-07-09,12.65999984741211
2010-07-12,12.600000381469727
2010-07-13,12.989999771118164
2010-07-14,12.770000457763672
2010-07-15,12.380000114440918
2010-07-16,12.09000015258789
2010-07-19,12.100000381469727
2010-07-20,12.4399995803833
2010-07-21,12.25
2010-07-22,12.0
2010-07-23,11.979999542236328
2010-07-26,12.510000228881836
2010-07-27,12.399999618530273
2010-07-28,12.369999885559082
2010-07-29,11.920000076293945
2010-07-30,12.399999618530273
2010-08-02,13.0600004196167
2010-08-03,13.050000190734863
2010-08-04,13.050000190734863
2010-08-05,13.029999732971191
2010-08-06,12.819999694824219
2010-08-09,13.109999656677246
2010-08-10,13.609999656677246
2010-08-11,12.800000190734863
2010-08-12,12.420000076293945
2010-08-13,12.130000114440918
2010-08-16,11.890000343322754
2010-08-17,12.25
2010-08-18,12.510000228881836
2010-08-19,12.15999984741211
2010-08-20,12.220000267028809
2010-08-23,11.899999618530273
2010-08-24,11.520000457763672
2010-08-25,11.600000381469727
2010-08-26,11.739999771118164
2010-08-27,12.149999618530273
2010-08-30,12.210000038146973
2010-08-31,12.09000015258789
2010-09-01,12.279999732971191
2010-09-02,12.039999961853027
2010-09-03,12.0
2010-09-07,11.569999694824219
2010-09-08,11.199999809265137
2010-09-09,11.369999885559082
2010-09-10,11.369999885559082
2010-09-13,11.899999618530273
2010-09-14,11.770000457763672
2010-09-15,11.479999542236328
2010-09-16,11.5
2010-09-17,11.680000305175781
2010-09-20,11.960000038146973
2010-09-21,11.789999961853027
2010-09-22,11.579999923706055
2010-09-23,11.149999618530273
2010-09-24,11.199999809265137
2010-09-27,11.25
2010-09-28,10.84000015258789
2010-09-29,11.029999732971191
2010-09-30,10.989999771118164
