Date,SLP
2010-01-04,1.076179027557373
2010-01-05,1.083977460861206
2010-01-06,1.107372760772705
2010-01-07,1.0605823993682861
2010-01-08,1.0605823993682861
2010-01-11,1.0527845621109009
2010-01-12,1.0605823993682861
2010-01-13,1.1697604656219482
2010-01-14,1.2477442026138306
2010-01-15,1.1853570938110352
2010-01-19,1.1541633605957031
2010-01-20,1.0917762517929077
2010-01-21,1.232147455215454
2010-01-22,1.239945888519287
2010-01-25,1.2789376974105835
2010-01-26,1.302332878112793
2010-01-27,1.302332878112793
2010-01-28,1.3179298639297485
2010-01-29,1.302332878112793
2010-02-01,1.286736011505127
2010-02-02,1.294534683227539
2010-02-03,1.27113938331604
2010-02-04,1.294534683227539
2010-02-05,1.2633411884307861
2010-02-08,1.302332878112793
2010-02-09,1.3413249254226685
2010-02-10,1.3179298639297485
2010-02-11,1.3179298639297485
2010-02-12,1.3179298639297485
2010-02-16,1.3179298639297485
2010-02-17,1.3257282972335815
2010-02-18,1.3179298639297485
2010-02-19,1.3257282972335815
2010-02-22,1.333526849746704
2010-02-23,1.286736011505127
2010-02-24,1.294534683227539
2010-02-25,1.286736011505127
2010-02-26,1.302332878112793
2010-03-01,1.302332878112793
2010-03-02,1.333526849746704
2010-03-03,1.333526849746704
2010-03-04,1.380317211151123
2010-03-05,1.4037119150161743
2010-03-08,1.3881155252456665
2010-03-09,1.3725186586380005
2010-03-10,1.3959139585494995
2010-03-11,1.4037119150161743
2010-03-12,1.3959139585494995
2010-03-15,1.380317211151123
2010-03-16,1.3647202253341675
2010-03-17,1.3959139585494995
2010-03-18,1.3491238355636597
2010-03-19,1.4193092584609985
2010-03-22,1.3959139585494995
2010-03-23,1.4115102291107178
2010-03-24,1.4037119150161743
2010-03-25,1.4037119150161743
2010-03-26,1.4193092584609985
2010-03-29,1.3725186586380005
2010-03-30,1.4037119150161743
2010-03-31,1.3725186586380005
2010-04-01,1.3647202253341675
2010-04-05,1.3725186586380005
2010-04-06,1.4115102291107178
2010-04-07,1.3881155252456665
2010-04-08,1.434905767440796
2010-04-09,1.434905767440796
2010-04-12,1.4816962480545044
2010-04-13,1.7624382972717285
2010-04-14,1.7156481742858887
2010-04-15,1.746842384338379
2010-04-16,1.8326245546340942
2010-04-19,1.9418025016784668
2010-04-20,1.9340037107467651
2010-04-21,1.8950116634368896
2010-04-22,1.871616005897522
2010-04-23,1.8560196161270142
2010-04-26,1.7936317920684814
2010-04-27,1.7936317920684814
2010-04-28,1.7624382972717285
2010-04-29,1.8092286586761475
2010-04-30,1.8872134685516357
2010-05-03,1.949601173400879
2010-05-04,1.817028284072876
2010-05-05,1.9184062480926514
2010-05-06,1.7702372074127197
2010-05-07,1.7546401023864746
2010-05-10,1.6142690181732178
2010-05-11,1.6454627513885498
2010-05-12,1.6922528743743896
2010-05-13,1.6610596179962158
2010-05-14,1.7156481742858887
2010-05-17,1.8560196161270142
2010-05-18,1.949601173400879
2010-05-19,1.871616005897522
2010-05-20,1.7312451601028442
2010-05-21,1.8482211828231812
2010-05-24,1.7936317920684814
2010-05-25,1.840422511100769
2010-05-26,1.8638179302215576
2010-05-27,1.8872134685516357
2010-05-28,1.8794151544570923
2010-06-01,1.8950116634368896
