Date,FRSH
2021-09-22,47.54999923706055
2021-09-23,47.540000915527344
2021-09-24,46.75
2021-09-27,44.04999923706055
2021-09-28,42.72999954223633
2021-09-29,42.27000045776367
2021-09-30,42.689998626708984
2021-10-01,41.88999938964844
2021-10-04,40.880001068115234
2021-10-05,40.209999084472656
2021-10-06,39.2599983215332
2021-10-07,41.290000915527344
2021-10-08,42.58000183105469
2021-10-11,42.150001525878906
2021-10-12,42.2599983215332
2021-10-13,41.27000045776367
2021-10-14,41.68000030517578
2021-10-15,41.45000076293945
2021-10-18,40.75
2021-10-19,42.93000030517578
2021-10-20,45.16999816894531
2021-10-21,45.04999923706055
2021-10-22,46.91999816894531
2021-10-25,46.65999984741211
2021-10-26,43.650001525878906
2021-10-27,44.47999954223633
2021-10-28,46.380001068115234
2021-10-29,50.25
2021-11-01,48.20000076293945
2021-11-02,50.06999969482422
2021-11-03,43.060001373291016
2021-11-04,39.59000015258789
2021-11-05,38.290000915527344
2021-11-08,40.720001220703125
2021-11-09,39.0099983215332
2021-11-10,37.95000076293945
2021-11-11,38.40999984741211
2021-11-12,37.720001220703125
2021-11-15,34.70000076293945
2021-11-16,38.970001220703125
2021-11-17,38.72999954223633
2021-11-18,38.65999984741211
2021-11-19,38.310001373291016
2021-11-22,36.0
2021-11-23,34.36000061035156
2021-11-24,35.040000915527344
2021-11-26,35.54999923706055
2021-11-29,35.63999938964844
2021-11-30,35.220001220703125
2021-12-01,30.850000381469727
2021-12-02,32.29999923706055
2021-12-03,28.459999084472656
2021-12-06,26.6200008392334
2021-12-07,28.489999771118164
2021-12-08,29.030000686645508
2021-12-09,27.3700008392334
2021-12-10,26.639999389648438
2021-12-13,25.799999237060547
2021-12-14,24.15999984741211
2021-12-15,27.030000686645508
2021-12-16,26.110000610351562
2021-12-17,27.020000457763672
2021-12-20,26.579999923706055
2021-12-21,29.450000762939453
2021-12-22,27.25
2021-12-23,27.940000534057617
2021-12-27,27.049999237060547
2021-12-28,25.049999237060547
2021-12-29,25.100000381469727
2021-12-30,26.149999618530273
2021-12-31,26.260000228881836
2022-01-03,25.6200008392334
2022-01-04,24.100000381469727
2022-01-05,21.75
2022-01-06,22.110000610351562
2022-01-07,22.799999237060547
2022-01-10,23.5
2022-01-11,24.489999771118164
2022-01-12,24.049999237060547
2022-01-13,22.549999237060547
