Date,EHAB
2022-06-23,25.0
2022-06-24,25.0
2022-06-27,24.75
2022-06-28,24.75
2022-06-29,23.75
2022-06-30,22.969999313354492
2022-07-01,22.739999771118164
2022-07-05,21.34000015258789
2022-07-06,20.510000228881836
2022-07-07,20.5
2022-07-08,19.389999389648438
2022-07-11,17.700000762939453
2022-07-12,18.799999237060547
2022-07-13,18.0
2022-07-14,17.290000915527344
2022-07-15,18.530000686645508
2022-07-18,18.540000915527344
2022-07-19,18.3700008392334
2022-07-20,18.520000457763672
2022-07-21,18.84000015258789
2022-07-22,18.68000030517578
2022-07-25,18.540000915527344
2022-07-26,17.940000534057617
2022-07-27,18.190000534057617
2022-07-28,18.25
2022-07-29,17.510000228881836
2022-08-01,17.969999313354492
2022-08-02,14.699999809265137
2022-08-03,13.5
2022-08-04,12.449999809265137
2022-08-05,12.75
2022-08-08,13.510000228881836
2022-08-09,13.109999656677246
2022-08-10,13.40999984741211
2022-08-11,13.600000381469727
2022-08-12,13.829999923706055
2022-08-15,15.899999618530273
2022-08-16,14.960000038146973
2022-08-17,14.300000190734863
2022-08-18,14.069999694824219
2022-08-19,14.5600004196167
2022-08-22,15.40999984741211
2022-08-23,15.739999771118164
2022-08-24,15.850000381469727
2022-08-25,15.319999694824219
2022-08-26,15.0
2022-08-29,15.039999961853027
2022-08-30,15.979999542236328
2022-08-31,16.600000381469727
2022-09-01,15.420000076293945
2022-09-02,15.40999984741211
2022-09-06,16.600000381469727
2022-09-07,16.260000228881836
2022-09-08,16.450000762939453
2022-09-09,16.399999618530273
2022-09-12,16.3799991607666
2022-09-13,15.680000305175781
2022-09-14,15.420000076293945
2022-09-15,15.630000114440918
2022-09-16,14.890000343322754
2022-09-19,15.84000015258789
2022-09-20,15.149999618530273
2022-09-21,14.279999732971191
2022-09-22,14.800000190734863
2022-09-23,14.680000305175781
2022-09-26,14.520000457763672
2022-09-27,14.229999542236328
2022-09-28,14.770000457763672
2022-09-29,14.59000015258789
2022-09-30,14.039999961853027
2022-10-03,13.710000038146973
2022-10-04,14.260000228881836
2022-10-05,14.520000457763672
2022-10-06,14.550000190734863
2022-10-07,14.229999542236328
2022-10-10,13.75
2022-10-11,13.470000267028809
2022-10-12,12.5
2022-10-13,12.760000228881836
2022-10-14,12.430000305175781
2022-10-17,12.819999694824219
2022-10-18,13.390000343322754
2022-10-19,13.149999618530273
2022-10-20,12.850000381469727
2022-10-21,12.850000381469727
2022-10-24,13.210000038146973
2022-10-25,13.899999618530273
2022-10-26,14.170000076293945
2022-10-27,13.100000381469727
2022-10-28,13.050000190734863
2022-10-31,12.420000076293945
2022-11-01,12.960000038146973
2022-11-02,13.670000076293945
2022-11-03,12.600000381469727
2022-11-04,12.649999618530273
2022-11-07,13.050000190734863
2022-11-08,13.0
2022-11-09,12.760000228881836
2022-11-10,12.770000457763672
2022-11-11,12.600000381469727
2022-11-14,12.59000015258789
2022-11-15,13.119999885559082
2022-11-16,12.260000228881836
2022-11-17,12.550000190734863
2022-11-18,12.84000015258789
2022-11-21,12.819999694824219
2022-11-22,13.239999771118164
2022-11-23,13.739999771118164
2022-11-25,13.199999809265137
2022-11-28,13.149999618530273
2022-11-29,13.5
2022-11-30,14.3100004196167
2022-12-01,13.920000076293945
2022-12-02,13.699999809265137
2022-12-05,13.680000305175781
2022-12-06,14.600000381469727
2022-12-07,14.59000015258789
2022-12-08,13.6899995803833
2022-12-09,13.850000381469727
2022-12-12,13.970000267028809
2022-12-13,13.920000076293945
2022-12-14,14.020000457763672
2022-12-15,14.0
2022-12-16,13.460000038146973
2022-12-19,13.300000190734863
2022-12-20,13.949999809265137
2022-12-21,13.609999656677246
2022-12-22,12.989999771118164
2022-12-23,12.6899995803833
2022-12-27,12.720000267028809
2022-12-28,13.0
2022-12-29,13.109999656677246
2022-12-30,13.15999984741211
2023-01-03,13.020000457763672
2023-01-04,12.890000343322754
2023-01-05,12.6899995803833
2023-01-06,12.600000381469727
2023-01-09,12.600000381469727
2023-01-10,12.880000114440918
2023-01-11,13.609999656677246
2023-01-12,13.270000457763672
2023-01-13,13.520000457763672
2023-01-17,13.789999961853027
2023-01-18,14.300000190734863
2023-01-19,15.0
2023-01-20,15.369999885559082
2023-01-23,15.109999656677246
2023-01-24,14.609999656677246
2023-01-25,14.90999984741211
2023-01-26,14.949999809265137
2023-01-27,15.119999885559082
2023-01-30,14.9399995803833
2023-01-31,15.359999656677246
2023-02-01,15.470000267028809
2023-02-02,16.020000457763672
2023-02-03,15.100000381469727
2023-02-06,14.40999984741211
2023-02-07,14.779999732971191
2023-02-08,14.640000343322754
2023-02-09,14.729999542236328
2023-02-10,15.220000267028809
2023-02-13,14.319999694824219
2023-02-14,14.229999542236328
2023-02-15,15.989999771118164
2023-02-16,15.739999771118164
2023-02-17,15.649999618530273
2023-02-21,15.649999618530273
2023-02-22,15.710000038146973
2023-02-23,15.770000457763672
2023-02-24,15.380000114440918
2023-02-27,15.489999771118164
2023-02-28,15.350000381469727
2023-03-01,14.850000381469727
2023-03-02,14.8100004196167
2023-03-03,14.789999961853027
2023-03-06,14.0600004196167
2023-03-07,13.90999984741211
2023-03-08,14.09000015258789
2023-03-09,13.899999618530273
2023-03-10,14.0
2023-03-13,14.0
2023-03-14,14.359999656677246
2023-03-15,14.25
2023-03-16,14.140000343322754
2023-03-17,13.529999732971191
2023-03-20,13.319999694824219
2023-03-21,13.699999809265137
2023-03-22,13.739999771118164
2023-03-23,13.34000015258789
2023-03-24,13.779999732971191
2023-03-27,13.779999732971191
