Date,MVST
2019-03-27,9.770000457763672
2019-03-28,9.739999771118164
2019-03-29,9.756999969482422
2019-04-01,9.75
2019-04-02,9.765000343322754
2019-04-03,9.8100004196167
2019-04-04,9.779999732971191
2019-04-05,9.779999732971191
2019-04-08,9.770000457763672
2019-04-09,9.770000457763672
2019-04-10,9.760000228881836
2019-04-11,9.779999732971191
2019-04-12,9.789999961853027
2019-04-15,9.850000381469727
2019-04-16,9.829999923706055
2019-04-17,9.800000190734863
2019-04-18,9.800000190734863
2019-04-22,9.8100004196167
2019-04-23,9.819999694824219
2019-04-24,9.819999694824219
2019-04-25,9.819000244140625
2019-04-26,9.8100004196167
2019-04-29,9.8100004196167
2019-04-30,9.8100004196167
2019-05-01,9.789999961853027
2019-05-02,9.789999961853027
2019-05-03,9.8100004196167
2019-05-06,9.819999694824219
2019-05-07,9.819999694824219
2019-05-08,9.800000190734863
2019-05-09,9.819999694824219
2019-05-10,9.819999694824219
2019-05-13,9.800000190734863
2019-05-14,9.805000305175781
2019-05-15,9.800000190734863
2019-05-16,9.789999961853027
2019-05-17,9.800000190734863
2019-05-20,9.800000190734863
2019-05-21,9.800000190734863
2019-05-22,9.800000190734863
2019-05-23,9.800000190734863
2019-05-24,9.789999961853027
2019-05-28,9.789999961853027
2019-05-29,9.760000228881836
2019-05-30,9.789999961853027
2019-05-31,9.789999961853027
2019-06-03,9.789999961853027
2019-06-04,9.789999961853027
2019-06-05,9.789999961853027
2019-06-06,9.779999732971191
2019-06-07,9.800000190734863
2019-06-10,9.800000190734863
2019-06-11,9.800000190734863
2019-06-12,9.789999961853027
2019-06-13,9.800000190734863
2019-06-14,9.800000190734863
2019-06-17,9.800000190734863
2019-06-18,9.800000190734863
2019-06-19,9.880000114440918
2019-06-20,9.800000190734863
2019-06-21,9.850000381469727
2019-06-24,9.800000190734863
2019-06-25,9.819999694824219
2019-06-26,9.85099983215332
2019-06-27,9.899999618530273
2019-06-28,9.880000114440918
2019-07-01,9.899999618530273
2019-07-02,10.0
2019-07-03,9.954999923706055
2019-07-05,9.954999923706055
2019-07-08,9.899999618530273
2019-07-09,9.930000305175781
2019-07-10,9.899999618530273
2019-07-11,9.899999618530273
2019-07-12,9.949999809265137
2019-07-15,9.925000190734863
2019-07-16,9.925000190734863
2019-07-17,10.0
2019-07-18,9.949999809265137
2019-07-19,9.949999809265137
2019-07-22,9.932000160217285
2019-07-23,9.895000457763672
2019-07-24,9.869999885559082
2019-07-25,9.88700008392334
2019-07-26,9.88700008392334
2019-07-29,9.85200023651123
2019-07-30,9.850000381469727
2019-07-31,9.850000381469727
2019-08-01,9.800000190734863
2019-08-02,9.899999618530273
2019-08-05,9.930000305175781
2019-08-06,9.9399995803833
2019-08-07,9.949999809265137
2019-08-08,9.949999809265137
2019-08-09,9.899999618530273
2019-08-12,9.848999977111816
2019-08-13,9.848999977111816
2019-08-14,9.848999977111816
2019-08-15,9.848999977111816
