Date,GLIBA
2025-07-11,32.5
2025-07-14,30.510000228881836
2025-07-15,30.920000076293945
2025-07-16,32.5
2025-07-17,34.79999923706055
2025-07-18,36.75
2025-07-21,37.0
2025-07-22,36.18000030517578
2025-07-23,35.16999816894531
2025-07-24,34.63999938964844
2025-07-25,34.400001525878906
2025-07-28,34.08000183105469
2025-07-29,34.54999923706055
2025-07-30,33.869998931884766
2025-07-31,33.040000915527344
2025-08-01,32.90999984741211
2025-08-04,33.209999084472656
2025-08-05,32.790000915527344
2025-08-06,34.45000076293945
2025-08-07,35.959999084472656
2025-08-08,35.52000045776367
2025-08-11,34.709999084472656
2025-08-12,34.619998931884766
2025-08-13,33.939998626708984
2025-08-14,34.279998779296875
2025-08-15,34.47999954223633
2025-08-18,35.970001220703125
2025-08-19,36.06999969482422
2025-08-20,36.540000915527344
2025-08-21,37.79999923706055
2025-08-22,38.48500061035156
2025-08-25,38.0
2025-08-26,37.66999816894531
2025-08-27,38.29499816894531
2025-08-28,38.11000061035156
2025-08-29,37.33000183105469
2025-09-02,37.09000015258789
2025-09-03,37.029998779296875
2025-09-04,36.91999816894531
2025-09-05,36.72999954223633
2025-09-08,36.380001068115234
2025-09-09,36.224998474121094
2025-09-10,36.2400016784668
2025-09-11,37.04999923706055
2025-09-12,36.16999816894531
2025-09-15,35.720001220703125
2025-09-16,35.77000045776367
2025-09-17,35.439998626708984
2025-09-18,36.08000183105469
2025-09-19,36.08000183105469
