Date,LINE
2024-07-25,78.00689697265625
2024-07-26,80.03479766845703
2024-07-29,83.03804016113281
2024-07-30,84.1292495727539
2024-07-31,84.8631591796875
2024-08-01,83.20220947265625
2024-08-02,83.03804016113281
2024-08-05,81.89854431152344
2024-08-06,82.75799560546875
2024-08-07,83.21186065673828
2024-08-08,85.52947235107422
2024-08-09,84.95008087158203
2024-08-12,82.9124984741211
2024-08-13,81.12602233886719
2024-08-14,81.23223876953125
2024-08-15,81.42537689208984
2024-08-16,81.09220886230469
2024-08-19,84.67002868652344
2024-08-20,83.3567123413086
2024-08-21,83.49190521240234
2024-08-22,81.52193450927734
2024-08-23,82.87387084960938
2024-08-26,82.53589630126953
2024-08-27,83.07666778564453
2024-08-28,81.3481216430664
2024-08-29,80.61420440673828
2024-08-30,81.01979064941406
2024-09-03,78.85669708251953
2024-09-04,80.01548767089844
2024-09-05,80.2762222290039
2024-09-06,78.22900390625
2024-09-09,79.96720886230469
2024-09-10,79.05947875976562
2024-09-11,78.95325469970703
2024-09-12,79.61956024169922
2024-09-13,80.39210510253906
2024-09-16,79.79338073730469
2024-09-17,79.57128143310547
2024-09-18,79.63888549804688
2024-09-19,79.310546875
2024-09-20,78.17105865478516
2024-09-23,77.88135528564453
2024-09-24,77.04122161865234
2024-09-25,76.26869201660156
2024-09-26,75.58306121826172
2024-09-27,75.60237884521484
2024-09-30,76.0584487915039
2024-10-01,74.45732116699219
2024-10-02,73.67131805419922
2024-10-03,74.47673034667969
2024-10-04,74.59318542480469
2024-10-07,72.84648895263672
2024-10-08,73.19583129882812
2024-10-09,72.07988739013672
2024-10-10,71.79847717285156
2024-10-11,73.04056549072266
2024-10-14,73.91390991210938
2024-10-15,74.16620635986328
2024-10-16,74.42821502685547
2024-10-17,74.16620635986328
2024-10-18,75.25303649902344
2024-10-21,74.71932983398438
2024-10-22,76.61156463623047
2024-10-23,75.79645538330078
2024-10-24,75.3888931274414
2024-10-25,73.9818344116211
2024-10-28,73.97213745117188
2024-10-29,73.84599304199219
2024-10-30,72.97264099121094
2024-10-31,71.84700012207031
2024-11-01,70.12942504882812
2024-11-04,70.39142608642578
