Date,PFSI
2013-05-09,17.378938674926758
2013-05-10,17.833879470825195
2013-05-13,17.570016860961914
2013-05-14,17.751996994018555
2013-05-15,17.933971405029297
2013-05-16,18.22513771057129
2013-05-17,18.197839736938477
2013-05-20,19.7082576751709
2013-05-21,20.42707633972168
2013-05-22,19.690061569213867
2013-05-23,20.090415954589844
2013-05-24,19.717357635498047
2013-05-28,19.58087158203125
2013-05-29,19.28061294555664
2013-05-30,19.999425888061523
2013-05-31,19.835643768310547
2013-06-03,19.235116958618164
2013-06-04,19.508081436157227
2013-06-05,19.462589263916016
2013-06-06,19.10773468017578
2013-06-07,18.63458824157715
2013-06-10,18.60729217529297
2013-06-11,18.561798095703125
2013-06-12,19.116836547851562
2013-06-13,19.135032653808594
2013-06-14,19.125932693481445
2013-06-17,19.662763595581055
2013-06-18,19.88113784790039
2013-06-19,19.835643768310547
2013-06-20,19.489887237548828
2013-06-21,19.417097091674805
2013-06-24,19.116836547851562
2013-06-25,19.198728561401367
2013-06-26,18.907556533813477
2013-06-27,19.135032653808594
2013-06-28,19.353403091430664
2013-07-01,19.307912826538086
2013-07-02,19.389793395996094
2013-07-03,19.24421501159668
2013-07-05,18.7437744140625
2013-07-08,18.57089614868164
2013-07-09,18.871158599853516
2013-07-10,18.85295867919922
2013-07-11,19.01674461364746
2013-07-12,18.507200241088867
2013-07-15,18.33432388305664
2013-07-16,18.197839736938477
2013-07-17,18.13414764404297
2013-07-18,18.152345657348633
2013-07-19,18.170541763305664
2013-07-22,18.170541763305664
2013-07-23,18.061359405517578
2013-07-24,18.061359405517578
2013-07-25,18.106847763061523
2013-07-26,17.397138595581055
2013-07-29,17.824785232543945
2013-07-30,17.70650291442871
2013-07-31,17.833879470825195
2013-08-01,18.170541763305664
2013-08-02,17.979469299316406
2013-08-05,18.0158634185791
2013-08-06,17.86117935180664
2013-08-07,17.642807006835938
2013-08-08,17.278846740722656
2013-08-09,16.47814178466797
2013-08-12,16.39625358581543
2013-08-13,16.441749572753906
2013-08-14,16.487241744995117
2013-08-15,16.032299041748047
2013-08-16,15.741127014160156
2013-08-19,15.559148788452148
2013-08-20,15.304384231567383
2013-08-21,14.749350547790527
2013-08-22,14.803943634033203
2013-08-23,14.649262428283691
2013-08-26,15.449963569641113
2013-08-27,15.213393211364746
2013-08-28,15.286181449890137
2013-08-29,15.777530670166016
2013-08-30,15.53185749053955
2013-09-03,15.377172470092773
2013-09-04,15.92310905456543
2013-09-05,15.267988204956055
2013-09-06,15.759333610534668
2013-09-09,15.959508895874023
2013-09-10,16.19607925415039
2013-09-11,16.378055572509766
2013-09-12,16.405357360839844
2013-09-13,17.1878604888916
2013-09-16,17.06047821044922
2013-09-17,17.2060604095459
2013-09-18,17.233352661132812
2013-09-19,16.914892196655273
2013-09-20,16.996789932250977
2013-09-23,17.0877742767334
2013-09-24,17.014982223510742
2013-09-25,16.978580474853516
2013-09-26,17.169662475585938
2013-09-27,17.19696044921875
2013-09-30,17.09687614440918
2013-10-01,16.905790328979492
2013-10-02,16.632827758789062
2013-10-03,16.232471466064453
2013-10-04,16.17787742614746
2013-10-07,16.086891174316406
2013-10-08,16.077795028686523
2013-10-09,16.16878318786621
2013-10-10,16.62372589111328
2013-10-11,16.414453506469727
2013-10-14,16.341659545898438
2013-10-15,15.622844696044922
2013-10-16,15.54095458984375
2013-10-17,15.422670364379883
2013-10-18,15.504559516906738
2013-10-21,14.722052574157715
2013-10-22,14.794843673706055
2013-10-23,14.931331634521484
2013-10-24,14.876734733581543
2013-10-25,14.676557540893555
2013-10-28,14.52187728881836
2013-10-29,14.612863540649414
2013-10-30,14.576470375061035
2013-10-31,14.649262428283691
2013-11-01,15.204296112060547
2013-11-04,15.222487449645996
2013-11-05,15.01321792602539
2013-11-06,15.204296112060547
2013-11-07,15.950409889221191
2013-11-08,15.604649543762207
2013-11-11,16.39625358581543
2013-11-12,15.477264404296875
2013-11-13,15.34987735748291
2013-11-14,15.01321792602539
2013-11-15,15.53185749053955
2013-11-18,15.759333610534668
2013-11-19,15.613748550415039
2013-11-20,15.568251609802246
2013-11-21,15.886714935302734
2013-11-22,15.950409889221191
2013-11-25,15.886714935302734
2013-11-26,15.67743968963623
2013-11-27,16.032299041748047
2013-11-29,16.287065505981445
2013-12-02,15.86851692199707
2013-12-03,15.823026657104492
2013-12-04,16.15058708190918
2013-12-05,15.959508895874023
2013-12-06,16.059595108032227
2013-12-09,16.19607925415039
2013-12-10,16.25067138671875
2013-12-11,16.1414852142334
2013-12-12,15.995899200439453
2013-12-13,16.1232852935791
2013-12-16,16.33256721496582
2013-12-17,16.1232852935791
2013-12-18,16.17787742614746
2013-12-19,16.223373413085938
2013-12-20,15.35897445678711
2013-12-23,15.513657569885254
2013-12-24,15.631946563720703
2013-12-26,16.077795028686523
2013-12-27,16.27796745300293
2013-12-30,16.25067138671875
2013-12-31,15.96860122680664
2014-01-02,16.132389068603516
2014-01-03,16.441749572753906
2014-01-06,16.523635864257812
2014-01-07,16.751115798950195
2014-01-08,16.860301971435547
2014-01-09,16.669221878051758
2014-01-10,15.786628723144531
2014-01-13,15.70473861694336
2014-01-14,15.70473861694336
2014-01-15,16.605527877807617
2014-01-16,16.632827758789062
2014-01-17,16.15058708190918
2014-01-21,16.17787742614746
2014-01-22,15.995899200439453
2014-01-23,15.832121849060059
2014-01-24,15.96860122680664
2014-01-27,15.213393211364746
2014-01-28,15.504559516906738
2014-01-29,15.277088165283203
2014-01-30,15.477264404296875
2014-01-31,15.449963569641113
2014-02-03,15.786628723144531
