Date,EQT
2010-01-04,21.209938049316406
2010-01-05,21.35674285888672
2010-01-06,21.441980361938477
2010-01-07,21.15311622619629
2010-01-08,20.973167419433594
2010-01-11,20.954221725463867
2010-01-12,20.679569244384766
2010-01-13,20.831104278564453
2010-01-14,21.02526092529297
2010-01-15,20.674846649169922
2010-01-19,20.977907180786133
2010-01-20,20.69377899169922
2010-01-21,20.490158081054688
2010-01-22,19.96452522277832
2010-01-25,20.310213088989258
2010-01-26,20.22023582458496
2010-01-27,20.300739288330078
2010-01-28,21.015790939331055
2010-01-29,20.84531593322754
2010-02-01,21.21940803527832
2010-02-02,21.87763786315918
2010-02-03,21.74030876159668
2010-02-04,20.4759521484375
2010-02-05,20.310213088989258
2010-02-08,20.06396484375
2010-02-09,20.371780395507812
2010-02-10,20.186147689819336
2010-02-11,20.37653160095215
2010-02-12,20.46696662902832
2010-02-16,21.057167053222656
2010-02-17,21.05242156982422
2010-02-18,21.157129287719727
2010-02-19,21.47603416442871
2010-02-22,21.166656494140625
2010-02-23,20.78586769104004
2010-02-24,20.966737747192383
2010-02-25,20.938182830810547
2010-02-26,20.828706741333008
2010-03-01,21.380840301513672
2010-03-02,21.775901794433594
2010-03-03,21.990093231201172
2010-03-04,21.89964485168457
2010-03-05,22.527938842773438
2010-03-08,22.4184627532959
2010-03-09,22.546977996826172
2010-03-10,21.2666072845459
2010-03-11,20.857269287109375
2010-03-12,20.89533805847168
2010-03-15,20.704952239990234
2010-03-16,20.800148010253906
2010-03-17,20.762073516845703
2010-03-18,20.352733612060547
2010-03-19,19.85772132873535
2010-03-22,19.672077178955078
2010-03-23,19.862472534179688
2010-03-24,19.757761001586914
2010-03-25,19.424579620361328
2010-03-26,19.177072525024414
2010-03-29,19.61496925354004
2010-03-30,19.567371368408203
2010-03-31,19.515010833740234
2010-04-01,20.029064178466797
2010-04-05,20.60024070739746
2010-04-06,20.652587890625
2010-04-07,20.6621150970459
2010-04-08,20.6763973236084
2010-04-09,21.328481674194336
2010-04-12,21.37607765197754
2010-04-13,21.2666072845459
2010-04-14,21.35704231262207
2010-04-15,21.257078170776367
2010-04-16,20.828706741333008
2010-04-19,20.790620803833008
2010-04-20,20.933414459228516
2010-04-21,20.781116485595703
2010-04-22,21.114295959472656
2010-04-23,21.704496383666992
2010-04-26,21.714017868041992
2010-04-27,20.83822250366211
2010-04-28,21.161884307861328
2010-04-29,20.842988967895508
2010-04-30,20.7001953125
2010-05-03,21.180931091308594
2010-05-04,20.89058494567871
2010-05-05,20.24477767944336
2010-05-06,19.455461502075195
2010-05-07,19.02971839904785
2010-05-10,20.14910316467285
2010-05-11,20.153886795043945
2010-05-12,20.527021408081055
2010-05-13,20.402637481689453
2010-05-14,20.22565460205078
2010-05-17,19.704214096069336
2010-05-18,19.37891960144043
2010-05-19,18.929248809814453
2010-05-20,18.03468894958496
2010-05-21,18.34563446044922
2010-05-24,17.785938262939453
2010-05-25,17.6232967376709
2010-05-26,17.88161277770996
2010-05-27,18.603960037231445
2010-05-28,18.747472763061523
2010-06-01,18.09688377380371
2010-06-02,18.91968536376953
2010-06-03,19.50808334350586
2010-06-04,18.226037979125977
2010-06-07,18.202125549316406
2010-06-08,18.484365463256836
2010-06-09,18.336071014404297
2010-06-10,19.34065055847168
2010-06-11,19.479385375976562
2010-06-14,19.517654418945312
2010-06-15,19.814245223999023
