Date,HUM
2010-01-04,40.363006591796875
2010-01-05,40.34532165527344
2010-01-06,40.62809753417969
2010-01-07,42.519004821777344
2010-01-08,41.97999572753906
2010-01-11,41.48518371582031
2010-01-12,40.80482482910156
2010-01-13,41.55587387084961
2010-01-14,42.43064880371094
2010-01-15,42.86362075805664
2010-01-19,45.89435958862305
2010-01-20,45.302345275878906
2010-01-21,45.74415969848633
2010-01-22,45.06377029418945
2010-01-25,43.7913932800293
2010-01-26,42.65153503417969
2010-01-27,43.31425094604492
2010-01-28,43.11100387573242
2010-01-29,42.96080780029297
2010-02-01,43.04033660888672
2010-02-02,44.445255279541016
2010-02-03,43.278907775878906
2010-02-04,41.67958450317383
2010-02-05,41.54704284667969
2010-02-08,41.308475494384766
2010-02-09,42.3422966003418
2010-02-10,41.61772155761719
2010-02-11,41.37031173706055
2010-02-12,40.601585388183594
2010-02-16,40.65459442138672
2010-02-17,41.21125793457031
2010-02-18,40.82247543334961
2010-02-19,40.071414947509766
2010-02-22,42.29808807373047
2010-02-23,41.37031173706055
2010-02-24,41.4498291015625
2010-02-25,41.64423370361328
2010-02-26,41.820960998535156
2010-03-01,41.9534912109375
2010-03-02,41.962337493896484
2010-03-03,41.962337493896484
2010-03-04,41.63539505004883
2010-03-05,42.536678314208984
2010-03-08,42.36879348754883
2010-03-09,42.35995864868164
2010-03-10,42.69572448730469
2010-03-11,43.29658126831055
2010-03-12,42.38646697998047
2010-03-15,41.9711799621582
2010-03-16,42.14789962768555
2010-03-17,42.616188049316406
2010-03-18,44.25971603393555
2010-03-19,44.180179595947266
2010-03-22,43.579315185546875
2010-03-23,43.31425094604492
2010-03-24,42.32460403442383
2010-03-25,42.29808807373047
2010-03-26,41.70608901977539
2010-03-29,41.90931701660156
2010-03-30,41.82978057861328
2010-03-31,41.326133728027344
2010-04-01,41.45867156982422
2010-04-05,41.62656021118164
2010-04-06,42.262752532958984
2010-04-07,41.078731536865234
2010-04-08,40.919673919677734
2010-04-09,39.87701416015625
2010-04-12,39.329185485839844
2010-04-13,38.949249267578125
2010-04-14,38.87855911254883
2010-04-15,38.87855911254883
2010-04-16,38.81671142578125
2010-04-19,39.46171951293945
2010-04-20,39.91236114501953
2010-04-21,39.276180267333984
2010-04-22,39.30269241333008
2010-04-23,40.230464935302734
2010-04-26,38.48977279663086
2010-04-27,38.498592376708984
2010-04-28,40.37183380126953
2010-04-29,41.697242736816406
2010-04-30,40.39835739135742
2010-05-03,40.963863372802734
2010-05-04,40.51322555541992
2010-05-05,41.14942932128906
2010-05-06,40.283485412597656
2010-05-07,39.187828063964844
2010-05-10,40.601585388183594
2010-05-11,40.292320251464844
2010-05-12,40.636932373046875
2010-05-13,40.469032287597656
2010-05-14,40.42487716674805
2010-05-17,40.54857635498047
2010-05-18,40.82247543334961
2010-05-19,40.857826232910156
2010-05-20,39.178985595703125
2010-05-21,39.50590515136719
2010-05-24,39.594276428222656
2010-05-25,39.064117431640625
2010-05-26,39.3557014465332
2010-05-27,40.38951873779297
2010-05-28,40.6899528503418
2010-06-01,40.22163009643555
2010-06-02,41.90931701660156
2010-06-03,42.616188049316406
2010-06-04,41.873966217041016
2010-06-07,41.167083740234375
2010-06-08,41.20243453979492
2010-06-09,41.38798904418945
2010-06-10,41.7679443359375
2010-06-11,42.36879348754883
2010-06-14,42.50132751464844
2010-06-15,43.278907775878906
2010-06-16,43.146366119384766
2010-06-17,43.729549407958984
2010-06-18,43.51747131347656
2010-06-21,43.526309967041016
2010-06-22,42.77524185180664
2010-06-23,42.97847366333008
2010-06-24,42.3422966003418
2010-06-25,42.50132751464844
2010-06-28,42.46599578857422
2010-06-29,40.6192512512207
2010-06-30,40.354164123535156
2010-07-01,39.39987564086914
2010-07-02,39.178985595703125
2010-07-06,39.28501510620117
2010-07-07,40.10676956176758
2010-07-08,40.592735290527344
2010-07-09,40.82247543334961
2010-07-12,40.575077056884766
2010-07-13,40.963863372802734
2010-07-14,41.42333984375
2010-07-15,41.396827697753906
2010-07-16,40.34532165527344
2010-07-19,41.10523986816406
2010-07-20,41.08757019042969
2010-07-21,40.38951873779297
2010-07-22,40.93736267089844
2010-07-23,40.66341781616211
2010-07-26,41.4498291015625
2010-07-27,41.20243453979492
2010-07-28,40.416015625
2010-07-29,40.79597473144531
2010-07-30,41.54704284667969
2010-08-02,43.05800247192383
2010-08-03,43.19936752319336
2010-08-04,43.932769775390625
2010-08-05,44.15367126464844
2010-08-06,44.71918487548828
2010-08-09,44.807533264160156
2010-08-10,44.781028747558594
2010-08-11,43.23471450805664
2010-08-12,43.57048416137695
2010-08-13,43.588165283203125
2010-08-16,43.29658126831055
2010-08-17,43.88858413696289
2010-08-18,44.286197662353516
2010-08-19,43.128700256347656
2010-08-20,42.86362075805664
2010-08-23,42.85478210449219
2010-08-24,42.139060974121094
2010-08-25,43.00498962402344
2010-08-26,42.69572448730469
2010-08-27,43.24354934692383
2010-08-30,42.39531326293945
2010-08-31,42.227413177490234
2010-09-01,43.78255081176758
2010-09-02,44.012290954589844
2010-09-03,45.13447570800781
2010-09-07,44.95775604248047
2010-09-08,44.93123245239258
2010-09-09,45.80601501464844
2010-09-10,46.63658905029297
2010-09-13,46.4775505065918
2010-09-14,46.000396728515625
2010-09-15,45.76182556152344
2010-09-16,45.45256805419922
2010-09-17,44.50710678100586
2010-09-20,45.04610824584961
2010-09-21,45.06377029418945
2010-09-22,44.39222717285156
2010-09-23,44.162513732910156
2010-09-24,44.40107345581055
2010-09-27,44.20669174194336
2010-09-28,44.70151901245117
