Date,SWBI
2010-01-04,2.6841883659362793
2010-01-05,2.7101211547851562
2010-01-06,2.8851773738861084
2010-01-07,2.917595624923706
2010-01-08,2.8916609287261963
2010-01-11,2.865727186203003
2010-01-12,2.787924289703369
2010-01-13,2.7944071292877197
2010-01-14,2.787924289703369
2010-01-15,2.7230889797210693
2010-01-19,2.7684733867645264
2010-01-20,2.7036380767822266
2010-01-21,2.638803005218506
2010-01-22,2.599900960922241
2010-01-25,2.599900960922241
2010-01-26,2.560999870300293
2010-01-27,2.5869345664978027
2010-01-28,2.6063849925994873
2010-01-29,2.5674827098846436
2010-02-01,2.5804505348205566
2010-02-02,2.6841883659362793
2010-02-03,2.7490234375
2010-02-04,2.6063849925994873
2010-02-05,2.5934174060821533
2010-02-08,2.671220541000366
2010-02-09,2.6452863216400146
2010-02-10,2.6517693996429443
2010-02-11,2.7101211547851562
2010-02-12,2.736055612564087
2010-02-16,2.8203415870666504
2010-02-17,2.8203415870666504
2010-02-18,2.787924289703369
2010-02-19,2.787924289703369
2010-02-22,2.7749571800231934
2010-02-23,2.72957181930542
2010-02-24,2.7230889797210693
2010-02-25,2.736055612564087
2010-02-26,2.7684733867645264
2010-03-01,2.7555065155029297
2010-03-02,2.7555065155029297
2010-03-03,2.8722102642059326
2010-03-04,3.1056172847747803
2010-03-05,3.073200225830078
2010-03-08,3.1639695167541504
2010-03-09,3.0472660064697266
2010-03-10,3.0602328777313232
2010-03-11,3.0667169094085693
2010-03-12,2.6841883659362793
2010-03-15,2.599900960922241
2010-03-16,2.5934174060821533
2010-03-17,2.5674827098846436
2010-03-18,2.560999870300293
2010-03-19,2.50264835357666
2010-03-22,2.548032522201538
2010-03-23,2.5415496826171875
2010-03-24,2.496164321899414
2010-03-25,2.5091311931610107
2010-03-26,2.515615463256836
2010-03-29,2.535065174102783
2010-03-30,2.5220987796783447
2010-03-31,2.457263946533203
2010-04-01,2.50264835357666
2010-04-05,2.5804505348205566
2010-04-06,2.677704095840454
2010-04-07,2.638803005218506
2010-04-08,2.612868070602417
2010-04-09,2.573967695236206
2010-04-12,2.6193525791168213
2010-04-13,2.6582531929016113
2010-04-14,2.7555065155029297
2010-04-15,2.7230889797210693
2010-04-16,2.7101211547851562
2010-04-19,2.677704095840454
2010-04-20,2.677704095840454
2010-04-21,2.6841883659362793
2010-04-22,2.7230889797210693
2010-04-23,2.7101211547851562
2010-04-26,2.690670967102051
2010-04-27,2.671220541000366
2010-04-28,2.846275568008423
2010-04-29,2.7619898319244385
2010-04-30,2.8981447219848633
2010-05-03,2.9759469032287598
2010-05-04,2.859243154525757
2010-05-05,2.787924289703369
2010-05-06,2.6971540451049805
2010-05-07,2.736055612564087
2010-05-10,2.72957181930542
