Date,JPM
2010-01-04,28.690948486328125
2010-01-05,29.246692657470703
2010-01-06,29.407386779785156
2010-01-07,29.98992347717285
2010-01-08,29.91625213623047
2010-01-11,29.81583595275879
2010-01-12,29.119478225708008
2010-01-13,29.628353118896484
2010-01-14,29.92295265197754
2010-01-15,29.246692657470703
2010-01-19,28.9788761138916
2010-01-20,29.059223175048828
2010-01-21,27.144256591796875
2010-01-22,26.220251083374023
2010-01-25,26.253726959228516
2010-01-26,25.7381591796875
2010-01-27,26.334075927734375
2010-01-28,26.434513092041016
2010-01-29,26.072948455810547
2010-02-01,26.534955978393555
2010-02-02,27.150949478149414
2010-02-03,26.976856231689453
2010-02-04,25.677900314331055
2010-02-05,25.644428253173828
2010-02-08,25.242691040039062
2010-02-09,25.704687118530273
2010-02-10,26.02608299255371
2010-02-11,26.126514434814453
2010-02-12,26.079641342163086
2010-02-16,26.829557418823242
2010-02-17,26.80948257446289
2010-02-18,27.057212829589844
2010-02-19,26.802778244018555
2010-02-22,27.351825714111328
2010-02-23,26.702341079711914
2010-02-24,27.351825714111328
2010-02-25,27.21121597290039
2010-02-26,28.101734161376953
2010-03-01,28.00798988342285
2010-03-02,27.86739730834961
2010-03-03,27.80712890625
2010-03-04,28.06825065612793
2010-03-05,28.664167404174805
2010-03-08,28.516870498657227
2010-03-09,28.403026580810547
2010-03-10,28.744516372680664
2010-03-11,28.911909103393555
2010-03-12,28.89181900024414
2010-03-15,28.83827018737793
2010-03-16,28.952083587646484
2010-03-17,29.320356369018555
2010-03-18,29.21990966796875
2010-03-19,29.092679977416992
2010-03-22,29.286867141723633
2010-03-23,29.84931182861328
2010-03-24,30.090343475341797
2010-03-25,30.090343475341797
2010-03-26,30.143909454345703
2010-03-29,30.03678321838379
2010-03-30,29.84931182861328
2010-03-31,29.963119506835938
2010-04-01,30.284868240356445
2010-04-05,30.392127990722656
2010-04-06,30.727298736572266
2010-04-07,30.37873077392578
2010-04-08,30.673662185668945
2010-04-09,30.821130752563477
2010-04-12,30.928382873535156
2010-04-13,30.747400283813477
2010-04-14,31.99419403076172
2010-04-15,32.04781723022461
2010-04-16,30.53289794921875
2010-04-19,30.4256534576416
2010-04-20,30.754106521606445
2010-04-21,30.398832321166992
2010-04-22,29.989952087402344
2010-04-23,30.124013900756836
2010-04-26,29.420177459716797
2010-04-27,28.428112030029297
2010-04-28,29.131946563720703
2010-04-29,29.493906021118164
2010-04-30,28.54205894470215
2010-05-03,29.17885971069336
2010-05-04,28.468334197998047
2010-05-05,28.575586318969727
2010-05-06,27.355606079101562
2010-05-07,27.322084426879883
2010-05-10,28.11977195739746
2010-05-11,27.85163116455078
2010-05-12,27.94547462463379
2010-05-13,27.355606079101562
2010-05-14,26.738916397094727
2010-05-17,26.705394744873047
2010-05-18,26.155738830566406
2010-05-19,26.39704704284668
2010-05-20,25.358064651489258
2010-05-21,26.84615707397461
2010-05-24,25.887611389160156
2010-05-25,26.10211181640625
2010-05-26,25.994857788085938
2010-05-27,27.094173431396484
2010-05-28,26.531118392944336
2010-06-01,25.833984375
