Date,NBBK
2023-12-28,13.714219093322754
2023-12-29,13.395515441894531
2024-01-02,13.534948348999023
2024-01-03,13.495110511779785
2024-01-04,13.554866790771484
2024-01-05,13.524988174438477
2024-01-08,13.534948348999023
2024-01-09,13.544907569885254
2024-01-10,13.813814163208008
2024-01-11,13.883529663085938
2024-01-12,13.913409233093262
2024-01-16,13.883529663085938
2024-01-17,13.9532470703125
2024-01-18,14.032922744750977
2024-01-19,14.341666221618652
2024-01-22,14.5209379196167
2024-01-23,14.610572814941406
2024-01-24,14.730087280273438
2024-01-25,14.670330047607422
2024-01-26,14.620532989501953
2024-01-29,14.610572814941406
2024-01-30,14.600613594055176
2024-01-31,13.933327674865723
2024-02-01,14.112598419189453
2024-02-02,13.694299697875977
2024-02-05,13.793895721435547
2024-02-06,14.032922744750977
2024-02-07,13.863611221313477
2024-02-08,13.993084907531738
2024-02-09,13.973165512084961
2024-02-12,14.142477035522461
2024-02-13,13.923367500305176
2024-02-14,14.052841186523438
2024-02-15,13.973165512084961
2024-02-16,13.923367500305176
2024-02-20,14.1823148727417
2024-02-21,13.973165512084961
2024-02-22,13.6743803024292
2024-02-23,13.754056930541992
2024-02-26,13.684340476989746
2024-02-27,13.833733558654785
2024-02-28,13.913409233093262
2024-02-29,13.943286895751953
2024-03-01,13.96320629119873
2024-03-04,13.943286895751953
2024-03-05,13.873571395874023
2024-03-06,13.8436918258667
2024-03-07,13.853652000427246
2024-03-08,13.704259872436523
2024-03-11,13.923367500305176
2024-03-12,13.803853988647461
2024-03-13,13.883529663085938
2024-03-14,13.883529663085938
2024-03-15,13.913409233093262
2024-03-18,13.584746360778809
2024-03-19,13.574786186218262
2024-03-20,13.554866790771484
2024-03-21,13.634542465209961
2024-03-22,13.724178314208984
2024-03-25,13.574786186218262
2024-03-26,13.524988174438477
2024-03-27,13.714219093322754
2024-03-28,13.60466480255127
2024-04-01,13.544907569885254
2024-04-02,13.355677604675293
2024-04-03,13.4453125
2024-04-04,13.495110511779785
2024-04-05,13.43535327911377
2024-04-08,13.554866790771484
2024-04-09,13.694299697875977
2024-04-10,13.295920372009277
2024-04-11,13.345717430114746
2024-04-12,13.26604175567627
2024-04-15,13.405474662780762
2024-04-16,13.465231895446777
2024-04-17,13.425393104553223
2024-04-18,13.395515441894531
2024-04-19,13.544907569885254
2024-04-22,13.833733558654785
2024-04-23,13.9532470703125
2024-04-24,14.132516860961914
2024-04-25,14.53089714050293
2024-04-26,14.461181640625
2024-04-29,14.610572814941406
2024-04-30,14.560775756835938
2024-05-01,14.55081558227539
2024-05-02,14.55081558227539
