Date,MET
2010-01-04,20.19700050354004
2010-01-05,20.664379119873047
2010-01-06,20.875795364379883
2010-01-07,21.17069435119629
2010-01-08,21.28196144104004
2010-01-11,21.421062469482422
2010-01-12,21.42662811279297
2010-01-13,21.098360061645508
2010-01-14,21.298656463623047
2010-01-15,21.059412002563477
2010-01-19,21.89398956298828
2010-01-20,21.5323429107666
2010-01-21,20.781213760375977
2010-01-22,20.096847534179688
2010-01-25,20.258207321166992
2010-01-26,19.879858016967773
2010-01-27,20.252643585205078
2010-01-28,19.824228286743164
2010-01-29,19.651742935180664
2010-02-01,19.996702194213867
2010-02-02,20.235950469970703
2010-02-03,19.36241912841797
2010-02-04,19.323471069335938
2010-02-05,19.295650482177734
2010-02-08,18.717002868652344
2010-02-09,19.557151794433594
2010-02-10,19.43474578857422
2010-02-11,19.217750549316406
2010-02-12,19.273387908935547
2010-02-16,19.507078170776367
2010-02-17,19.401365280151367
2010-02-18,19.390233993530273
2010-02-19,19.490388870239258
2010-02-22,19.623924255371094
2010-02-23,19.384674072265625
2010-02-24,19.801965713500977
2010-02-25,19.941068649291992
2010-02-26,20.247081756591797
2010-03-01,20.330541610717773
2010-03-02,20.469635009765625
2010-03-03,20.447372436523438
2010-03-04,21.204063415527344
2010-03-05,21.654747009277344
2010-03-08,22.756397247314453
2010-03-09,22.706329345703125
2010-03-10,23.24601936340332
2010-03-11,23.54648780822754
2010-03-12,23.429645538330078
2010-03-15,23.507535934448242
2010-03-16,23.752342224121094
2010-03-17,23.941518783569336
2010-03-18,23.61880874633789
2010-03-19,23.27384376525879
2010-03-22,23.212650299072266
2010-03-23,23.46302604675293
2010-03-24,23.32391929626465
2010-03-25,23.429645538330078
2010-03-26,23.513099670410156
2010-03-29,23.92483139038086
2010-03-30,23.85249137878418
2010-03-31,24.113998413085938
2010-04-01,24.486787796020508
2010-04-05,25.009794235229492
2010-04-06,24.94858169555664
2010-04-07,24.525728225708008
2010-04-08,25.31580924987793
2010-04-09,25.18783187866211
2010-04-12,25.388137817382812
2010-04-13,25.293546676635742
2010-04-14,25.833253860473633
2010-04-15,25.744230270385742
2010-04-16,25.24347686767578
2010-04-19,25.58287239074707
2010-04-20,26.12256622314453
2010-04-21,25.75535774230957
2010-04-22,25.972341537475586
2010-04-23,26.206039428710938
2010-04-26,26.06136703491211
2010-04-27,24.648130416870117
2010-04-28,24.43113899230957
2010-04-29,25.3825740814209
2010-04-30,25.360313415527344
2010-05-03,25.460464477539062
2010-05-04,24.7482852935791
2010-05-05,24.42000961303711
2010-05-06,23.451902389526367
2010-05-07,22.650691986083984
2010-05-10,24.542421340942383
2010-05-11,24.05279541015625
2010-05-12,24.39219856262207
2010-05-13,23.963768005371094
2010-05-14,22.990089416503906
2010-05-17,23.25714874267578
2010-05-18,22.761966705322266
2010-05-19,22.544971466064453
2010-05-20,21.076101303100586
2010-05-21,21.96632194519043
2010-05-24,21.482269287109375
2010-05-25,21.816104888916016
2010-05-26,21.83835792541504
2010-05-27,23.034597396850586
2010-05-28,22.528291702270508
2010-06-01,22.166629791259766
2010-06-02,23.13475227355957
2010-06-03,23.017919540405273
2010-06-04,21.409934997558594
2010-06-07,21.070533752441406
2010-06-08,21.64362144470215
2010-06-09,21.626928329467773
2010-06-10,22.63399887084961
2010-06-11,22.867685317993164
2010-06-14,22.83986473083496
2010-06-15,23.190393447875977
2010-06-16,22.812049865722656
2010-06-17,22.828731536865234
2010-06-18,22.806474685668945
2010-06-21,22.9344482421875
2010-06-22,22.567232131958008
2010-06-23,22.339111328125
2010-06-24,21.921815872192383
2010-06-25,22.81761360168457
2010-06-28,22.277912139892578
2010-06-29,21.243022918701172
2010-06-30,21.00934410095215
2010-07-01,20.797910690307617
2010-07-02,20.697757720947266
2010-07-06,20.775653839111328
2010-07-07,21.476703643798828
2010-07-08,21.94407081604004
2010-07-09,22.31128692626953
2010-07-12,22.016403198242188
2010-07-13,22.773094177246094
2010-07-14,22.244522094726562
2010-07-15,21.74933624267578
2010-07-16,21.031585693359375
2010-07-19,20.820167541503906
2010-07-20,21.037160873413086
2010-07-21,20.5252742767334
2010-07-22,21.86061668395996
2010-07-23,21.99970817565918
2010-07-26,22.166629791259766
2010-07-27,22.049785614013672
2010-07-28,21.866180419921875
2010-07-29,22.36693000793457
2010-07-30,23.401819229125977
2010-08-02,23.774593353271484
2010-08-03,23.190393447875977
2010-08-04,23.190393447875977
2010-08-05,23.284976959228516
2010-08-06,23.045730590820312
2010-08-09,23.54648780822754
2010-08-10,23.602121353149414
2010-08-11,22.6173095703125
2010-08-12,22.17776107788086
2010-08-13,22.010835647583008
2010-08-16,21.604671478271484
2010-08-17,21.832801818847656
2010-08-18,21.955196380615234
2010-08-19,21.115049362182617
2010-08-20,20.74226188659668
2010-08-23,20.664379119873047
2010-08-24,20.302719116210938
2010-08-25,20.558656692504883
2010-08-26,20.319414138793945
2010-08-27,21.042724609375
2010-08-30,20.625431060791016
2010-08-31,20.948135375976562
2010-09-01,21.99970817565918
2010-09-02,22.327983856201172
2010-09-03,23.067983627319336
2010-09-07,22.316864013671875
2010-09-08,22.60061264038086
2010-09-09,22.73413848876953
2010-09-10,22.528291702270508
2010-09-13,22.97895622253418
2010-09-14,22.789791107177734
2010-09-15,22.63399887084961
2010-09-16,22.47264862060547
2010-09-17,22.34467315673828
2010-09-20,23.079105377197266
2010-09-21,22.867685317993164
2010-09-22,21.9162540435791
2010-09-23,21.064970016479492
2010-09-24,21.782718658447266
2010-09-27,21.57685661315918
2010-09-28,21.866180419921875
