Date,WS
2023-11-28,24.10402488708496
2023-11-29,24.10402488708496
2023-11-30,26.514427185058594
2023-12-01,21.404375076293945
2023-12-04,23.332693099975586
2023-12-05,22.66742515563965
2023-12-06,23.564090728759766
2023-12-07,24.557178497314453
2023-12-08,25.145315170288086
2023-12-11,23.25555992126465
2023-12-12,22.947032928466797
2023-12-13,23.55445098876953
2023-12-14,25.849153518676758
2023-12-15,29.36834144592285
2023-12-18,28.47167205810547
2023-12-19,30.130029678344727
2023-12-20,28.89590072631836
2023-12-21,28.915189743041992
2023-12-22,29.46475601196289
2023-12-26,33.04179763793945
2023-12-27,30.515695571899414
2023-12-28,28.51024055480957
2023-12-29,27.092924118041992
2024-01-02,25.92629051208496
2024-01-03,26.58191680908203
2024-01-04,26.456575393676758
2024-01-05,24.03653335571289
2024-01-08,25.280298233032227
2024-01-09,25.57918930053711
2024-01-10,26.148046493530273
2024-01-11,26.716896057128906
2024-01-12,26.96758270263672
2024-01-16,27.03507423400879
2024-01-17,26.98686408996582
2024-01-18,27.63285255432129
2024-01-19,26.82295799255371
2024-01-22,28.963396072387695
2024-01-23,29.24300193786621
2024-01-24,28.413822174072266
2024-01-25,28.327049255371094
2024-01-26,28.519880294799805
2024-01-29,29.194795608520508
2024-01-30,29.54189109802246
2024-01-31,28.876623153686523
2024-02-01,29.34906005859375
2024-02-02,28.915189743041992
2024-02-05,28.847698211669922
2024-02-06,29.339418411254883
2024-02-07,29.030885696411133
2024-02-08,32.31867980957031
2024-02-09,28.953752517700195
2024-02-12,28.924827575683594
2024-02-13,28.4620304107666
2024-02-14,29.763648986816406
2024-02-15,31.258092880249023
2024-02-16,30.93028450012207
2024-02-20,29.725080490112305
2024-02-21,29.23335838317871
2024-02-22,29.744367599487305
2024-02-23,29.223716735839844
2024-02-26,29.281570434570312
2024-02-27,30.380712509155273
2024-02-28,29.0790958404541
2024-02-29,30.525333404541016
2024-03-01,29.956480026245117
2024-03-04,30.361427307128906
2024-03-05,30.322860717773438
2024-03-06,30.033611297607422
2024-03-07,31.229171752929688
2024-03-08,30.853153228759766
2024-03-11,29.011600494384766
2024-03-12,29.406911849975586
2024-03-13,29.46506118774414
2024-03-14,29.329368591308594
2024-03-15,29.12582778930664
2024-03-18,28.389204025268555
2024-03-19,29.009519577026367
2024-03-20,30.618465423583984
2024-03-21,30.938316345214844
2024-03-22,34.2822151184082
2024-03-25,33.28389358520508
2024-03-26,33.913902282714844
2024-03-27,35.222381591796875
2024-03-28,34.7474479675293
2024-04-01,35.01884841918945
2024-04-02,33.671592712402344
2024-04-03,35.29022979736328
2024-04-04,34.60206985473633
2024-04-05,34.7474479675293
2024-04-08,35.03822708129883
2024-04-09,35.19330596923828
2024-04-10,33.79758834838867
2024-04-11,34.09805679321289
2024-04-12,33.739437103271484
2024-04-15,31.859098434448242
2024-04-16,31.859098434448242
2024-04-17,31.68463897705078
2024-04-18,31.70401954650879
2024-04-19,31.888179779052734
2024-04-22,31.897869110107422
2024-04-23,31.75248146057129
2024-04-24,31.57802391052246
2024-04-25,29.89153289794922
2024-04-26,30.250154495239258
2024-04-29,30.65723419189453
2024-04-30,29.84307289123535
2024-05-01,29.2518310546875
2024-05-02,31.17093849182129
2024-05-03,32.31464767456055
2024-05-06,32.208030700683594
2024-05-07,31.55863380432129
2024-05-08,30.715391159057617
2024-05-09,31.10308837890625
2024-05-10,30.967395782470703
2024-05-13,30.754159927368164
2024-05-14,32.2274169921875
2024-05-15,32.954349517822266
2024-05-16,33.40989303588867
2024-05-17,32.4697265625
2024-05-20,33.06096649169922
2024-05-21,32.77019119262695
2024-05-22,32.489112854003906
2024-05-23,31.587711334228516
2024-05-24,32.14986801147461
2024-05-28,32.96403884887695
2024-05-29,31.713712692260742
2024-05-30,31.985103607177734
2024-05-31,31.97541046142578
2024-06-03,32.26618576049805
2024-06-04,30.259845733642578
2024-06-05,31.015859603881836
2024-06-06,30.57969856262207
2024-06-07,30.647546768188477
2024-06-10,30.37615394592285
2024-06-11,30.18230438232422
2024-06-12,29.89153289794922
2024-06-13,29.581375122070312
2024-06-14,28.93830108642578
2024-06-17,29.708036422729492
2024-06-18,29.84444808959961
2024-06-20,30.010087966918945
2024-06-21,30.87726402282715
2024-06-24,29.990604400634766
2024-06-25,29.8834228515625
2024-06-26,30.127012252807617
2024-06-27,31.85161590576172
2024-06-28,32.50443649291992
2024-07-01,31.802902221679688
2024-07-02,31.325469970703125
2024-07-03,31.598285675048828
2024-07-05,31.335208892822266
2024-07-08,31.520339965820312
2024-07-09,30.906496047973633
2024-07-10,31.89059066772461
2024-07-11,33.21571350097656
2024-07-12,33.975711822509766
2024-07-15,34.83313751220703
2024-07-16,36.29467010498047
2024-07-17,36.46031188964844
2024-07-18,35.71006393432617
2024-07-19,35.485958099365234
2024-07-22,35.797752380371094
2024-07-23,35.87569808959961
2024-07-24,34.755191802978516
2024-07-25,36.27518081665039
2024-07-26,38.633121490478516
2024-07-29,38.22389221191406
2024-07-30,37.512611389160156
2024-07-31,38.84747314453125
2024-08-01,35.89518737792969
2024-08-02,33.7613525390625
2024-08-05,32.631099700927734
2024-08-06,33.137760162353516
2024-08-07,32.027000427246094
2024-08-08,33.09878921508789
2024-08-09,32.962379455566406
2024-08-12,32.18289566040039
2024-08-13,32.52392578125
2024-08-14,31.783414840698242
2024-08-15,32.855201721191406
2024-08-16,32.825965881347656
2024-08-19,32.942893981933594
2024-08-20,31.880849838256836
2024-08-21,33.03058624267578
2024-08-22,32.66033172607422
2024-08-23,33.965965270996094
