Date,CECO
2010-01-04,3.47627854347229
2010-01-05,3.4502055644989014
2010-01-06,3.4415156841278076
2010-01-07,3.6153295040130615
2010-01-08,3.6066391468048096
2010-01-11,3.4588963985443115
2010-01-12,3.5284221172332764
2010-01-13,3.5371134281158447
2010-01-14,3.5110411643981934
2010-01-15,3.4328246116638184
2010-01-19,3.398061990737915
2010-01-20,3.398061990737915
2010-01-21,3.371990203857422
2010-01-22,3.2763924598693848
2010-01-25,3.302464246749878
2010-01-26,3.302464246749878
2010-01-27,3.1634128093719482
2010-01-28,3.3546082973480225
2010-01-29,3.2590105533599854
2010-02-01,3.3198459148406982
2010-02-02,3.2329390048980713
2010-02-03,3.2416293621063232
2010-02-04,3.1807947158813477
2010-02-05,3.2416293621063232
2010-02-08,3.293773651123047
2010-02-09,3.2590105533599854
2010-02-10,3.2416293621063232
2010-02-11,3.2677018642425537
2010-02-12,3.2850828170776367
2010-02-16,3.4588963985443115
2010-02-17,3.3198459148406982
2010-02-18,3.398061990737915
2010-02-19,3.32853627204895
2010-02-22,3.4415156841278076
2010-02-23,3.3546082973480225
2010-02-24,3.389371633529663
2010-02-25,3.293773651123047
2010-02-26,3.206867218017578
2010-03-01,3.2416293621063232
2010-03-02,3.0851969718933105
2010-03-03,3.137340784072876
2010-03-04,3.137340784072876
2010-03-05,3.1807947158813477
2010-03-08,3.21555757522583
2010-03-09,3.1894853115081787
2010-03-10,3.146031379699707
2010-03-11,2.8766205310821533
2010-03-12,3.015671491622925
2010-03-15,3.0504343509674072
2010-03-16,3.05912446975708
2010-03-17,3.0938875675201416
2010-03-18,3.033052682876587
2010-03-19,3.137340784072876
2010-03-22,3.0069804191589355
2010-03-23,2.980909585952759
2010-03-24,3.0678153038024902
2010-03-25,2.9895992279052734
2010-03-26,3.0765061378479004
2010-03-29,3.0851969718933105
2010-03-30,3.137340784072876
2010-03-31,3.102578639984131
2010-04-01,3.3459177017211914
2010-04-05,3.380680561065674
2010-04-06,3.3198459148406982
2010-04-07,3.754380226135254
2010-04-08,3.658782720565796
2010-04-09,4.084626197814941
2010-04-12,4.049863815307617
2010-04-13,4.727738380432129
2010-04-14,4.579996109008789
2010-04-15,4.649522304534912
2010-04-16,4.614760398864746
2010-04-19,4.745119571685791
2010-04-20,4.736428737640381
2010-04-21,4.849407196044922
2010-04-22,4.805954456329346
2010-04-23,4.736428737640381
2010-04-26,4.354039192199707
2010-04-27,4.301894664764404
2010-04-28,4.501779556274414
2010-04-29,4.571305751800537
2010-04-30,4.62345027923584
2010-05-03,4.666904926300049
2010-05-04,4.614760398864746
2010-05-05,4.658212661743164
2010-05-06,4.553924560546875
2010-05-07,4.527852535247803
2010-05-10,4.649522304534912
2010-05-11,4.4148736000061035
2010-05-12,4.562616348266602
2010-05-13,4.597377777099609
2010-05-14,4.406183242797852
2010-05-17,4.249748706817627
2010-05-18,4.493088722229004
2010-05-19,4.397491931915283
2010-05-20,4.223679065704346
2010-05-21,4.449635982513428
2010-05-24,4.119389533996582
2010-05-25,4.197605609893799
2010-05-26,4.345348358154297
2010-05-27,4.345348358154297
2010-05-28,4.449635982513428
2010-06-01,4.493088722229004
2010-06-02,4.380110740661621
2010-06-03,4.371419906616211
2010-06-04,4.197605609893799
2010-06-07,4.145461082458496
2010-06-08,3.910813570022583
2010-06-09,3.9977200031280518
2010-06-10,4.145461082458496
2010-06-11,4.119389533996582
2010-06-14,4.258440971374512
2010-06-15,4.362728118896484
2010-06-16,4.371419906616211
2010-06-17,4.354039192199707
2010-06-18,4.432254791259766
2010-06-21,4.397491931915283
2010-06-22,4.206296920776367
2010-06-23,4.136772155761719
2010-06-24,4.171534538269043
2010-06-25,4.301894664764404
