Date,FRME
2010-01-04,4.074934005737305
2010-01-05,3.840252637863159
2010-01-06,3.740689754486084
2010-01-07,3.9327023029327393
2010-01-08,4.181605815887451
2010-01-11,3.9255905151367188
2010-01-12,3.96825909614563
2010-01-13,4.025153160095215
2010-01-14,4.444735527038574
2010-01-15,4.259834289550781
2010-01-19,4.572742938995361
2010-01-20,4.7078633308410645
2010-01-21,4.7505340576171875
2010-01-22,4.679417133331299
2010-01-25,4.722086429595947
2010-01-26,4.786091327667236
2010-01-27,4.942543983459473
2010-01-28,4.828760623931885
2010-01-29,4.807426452636719
2010-02-01,4.700751781463623
2010-02-02,4.458957672119141
2010-02-03,4.345173358917236
2010-02-04,4.24561071395874
2010-02-05,4.29539155960083
2010-02-08,4.025153160095215
2010-02-09,4.0464887619018555
2010-02-10,3.939814805984497
2010-02-11,3.9967055320739746
2010-02-12,4.089156627655029
2010-02-16,4.032265663146973
2010-02-17,4.025153160095215
2010-02-18,4.060709476470947
2010-02-19,3.9967055320739746
2010-02-22,4.039377212524414
2010-02-23,3.9255905151367188
2010-02-24,4.1389384269714355
2010-02-25,4.188719749450684
2010-02-26,4.117602825164795
2010-03-01,4.266945838928223
2010-03-02,4.3096137046813965
2010-03-03,4.281123161315918
2010-03-04,4.330986022949219
2010-03-05,4.59454870223999
2010-03-08,4.509068012237549
2010-03-09,4.601672649383545
2010-03-10,4.687151908874512
2010-03-11,4.737015247344971
2010-03-12,4.658660411834717
2010-03-15,4.772632598876953
2010-03-16,4.737015247344971
2010-03-17,4.765509128570557
2010-03-18,4.5233154296875
2010-03-19,4.452082633972168
2010-03-22,4.623042583465576
2010-03-23,4.580303192138672
2010-03-24,4.480574607849121
2010-03-25,4.309614181518555
2010-03-26,4.794001579284668
2010-03-29,4.544684410095215
2010-03-30,4.580303192138672
2010-03-31,4.9578375816345215
2010-04-01,5.0931830406188965
2010-04-05,5.050442218780518
2010-04-06,5.12167501449585
2010-04-07,5.164414882659912
2010-04-08,5.363868236541748
2010-04-09,5.164414882659912
2010-04-12,5.128798484802246
2010-04-13,5.370993137359619
2010-04-14,5.541952133178711
2010-04-15,5.5562005043029785
2010-04-16,5.449348449707031
2010-04-19,5.606061935424805
2010-04-20,5.677295684814453
2010-04-21,5.9337358474731445
2010-04-22,6.061954975128174
2010-04-23,6.069079399108887
2010-04-26,6.261407375335693
2010-04-27,6.247161388397217
2010-04-28,6.496478080749512
2010-04-29,6.553462028503418
2010-04-30,6.232915878295898
2010-05-03,6.418123245239258
2010-05-04,6.218668460845947
2010-05-05,6.31839656829834
2010-05-06,5.8625006675720215
2010-05-07,5.698663711547852
2010-05-10,6.268531322479248
2010-05-11,6.489356994628906
2010-05-12,6.710178852081299
2010-05-13,6.617575645446777
2010-05-14,6.617575645446777
2010-05-17,6.596207618713379
2010-05-18,6.553462028503418
2010-05-19,6.517848014831543
2010-05-20,6.161684036254883
2010-05-21,6.418123245239258
2010-05-24,6.183051109313965
2010-05-25,6.076200485229492
2010-05-26,6.076200485229492
2010-05-27,6.375380992889404
2010-05-28,6.147435188293457
2010-06-01,5.819760799407959
2010-06-02,6.1901750564575195
2010-06-03,6.140254974365234
2010-06-04,5.748018741607666
2010-06-07,5.683835983276367
2010-06-08,5.633914947509766
2010-06-09,5.512680530548096
2010-06-10,5.812203407287598
2010-06-11,6.0332818031311035
2010-06-14,5.862125873565674
2010-06-15,5.99049186706543
2010-06-16,6.147385597229004
2010-06-17,6.218702793121338
2010-06-18,6.290017604827881
2010-06-21,6.361330986022949
2010-06-22,6.247228145599365
2010-06-23,6.190173625946045
2010-06-24,6.061808109283447
2010-06-25,6.49683141708374
2010-06-28,6.439779281616211
2010-06-29,6.140254974365234
2010-06-30,6.047544956207275
2010-07-01,5.969095706939697
2010-07-02,6.0332818031311035
2010-07-06,6.00475549697876
2010-07-07,6.232964038848877
2010-07-08,6.368462085723877
2010-07-09,6.396988868713379
2010-07-12,6.211566925048828
2010-07-13,6.468306064605713
2010-07-14,6.396988868713379
2010-07-15,6.10459566116333
2010-07-16,5.712361812591553
2010-07-19,5.719493865966797
2010-07-20,5.6767048835754395
2010-07-21,5.405704498291016
2010-07-22,5.797940731048584
2010-07-23,6.00475549697876
2010-07-26,6.190173625946045
2010-07-27,6.0832014083862305
2010-07-28,6.068939685821533
2010-07-29,6.183045387268066
2010-07-30,6.190173625946045
2010-08-02,6.247228145599365
2010-08-03,6.16165018081665
2010-08-04,6.183045387268066
2010-08-05,6.190173625946045
2010-08-06,5.961966514587402
2010-08-09,5.940569877624512
2010-08-10,5.854991912841797
2010-08-11,5.583993911743164
2010-08-12,5.591126441955566
2010-08-13,5.3629150390625
2010-08-16,5.434231758117676
2010-08-17,5.612520217895508
2010-08-18,5.76228141784668
2010-08-19,5.448493957519531
2010-08-20,5.526941776275635
2010-08-23,5.3700480461120605
2010-08-24,5.255943775177002
2010-08-25,5.541204452514648
2010-08-26,5.391443252563477
2010-08-27,5.64818000793457
2010-08-30,5.405704498291016
2010-08-31,5.512680530548096
2010-09-01,5.748324394226074
2010-09-02,5.6554951667785645
2010-09-03,5.841154098510742
2010-09-07,5.705481052398682
2010-09-08,5.719761848449707
2010-09-09,5.78402853012085
2010-09-10,5.891138553619385
2010-09-13,6.162490367889404
2010-09-14,6.091081619262695
2010-09-15,6.083940505981445
2010-09-16,5.948266983032227
2010-09-17,5.869718551635742
2010-09-20,6.083940505981445
2010-09-21,5.891138553619385
2010-09-22,5.734042644500732
2010-09-23,5.6769185066223145
2010-09-24,5.562664031982422
