Date,KBR
2010-01-04,15.851181983947754
2010-01-05,15.802262306213379
2010-01-06,16.307815551757812
2010-01-07,16.805194854736328
2010-01-08,17.286273956298828
2010-01-11,16.8867244720459
2010-01-12,16.536113739013672
2010-01-13,17.10687828063965
2010-01-14,17.090579986572266
2010-01-15,16.960107803344727
2010-01-19,16.90304183959961
2010-01-20,16.47088050842285
2010-01-21,16.527963638305664
2010-01-22,16.218111038208008
2010-01-25,16.022422790527344
2010-01-26,15.785951614379883
2010-01-27,15.859342575073242
2010-01-28,15.467952728271484
2010-01-29,15.272256851196289
2010-02-01,15.288568496704102
2010-02-02,15.533185005187988
2010-02-03,15.321185111999512
2010-02-04,14.791179656982422
2010-02-05,14.636253356933594
2010-02-08,14.350866317749023
2010-02-09,14.53840446472168
2010-02-10,14.350866317749023
2010-02-11,14.831955909729004
2010-02-12,15.003178596496582
2010-02-16,15.671801567077637
2010-02-17,16.169193267822266
2010-02-18,16.348575592041016
2010-02-19,16.45456886291504
2010-02-22,16.878572463989258
2010-02-23,16.51165199279785
2010-02-24,16.560565948486328
2010-02-25,16.585037231445312
2010-02-26,16.8867244720459
2010-03-01,17.269968032836914
2010-03-02,17.147655487060547
2010-03-03,16.97642707824707
2010-03-04,16.960107803344727
2010-03-05,17.449357986450195
2010-03-08,17.669517517089844
2010-03-09,17.620586395263672
2010-03-10,17.278127670288086
2010-03-11,17.359853744506836
2010-03-12,17.359853744506836
2010-03-15,17.114660263061523
2010-03-16,17.72764015197754
2010-03-17,17.49062728881836
2010-03-18,17.425233840942383
2010-03-19,17.556007385253906
2010-03-22,17.531494140625
2010-03-23,18.23438262939453
2010-03-24,18.201698303222656
2010-03-25,18.21803855895996
2010-03-26,18.054574966430664
2010-03-29,18.17717170715332
2010-03-30,18.365148544311523
2010-03-31,18.11178207397461
2010-04-01,18.536788940429688
2010-04-05,18.651216506958008
2010-04-06,18.77381134033203
2010-04-07,18.2507266998291
2010-04-08,18.128129959106445
2010-04-09,18.73295021057129
2010-04-12,18.643043518066406
2010-04-13,18.822856903076172
2010-04-14,19.14160919189453
2010-04-15,18.87189292907715
2010-04-16,18.683914184570312
2010-04-19,18.544967651367188
2010-04-20,19.215164184570312
2010-04-21,19.288724899291992
2010-04-22,19.403156280517578
2010-04-23,19.566612243652344
2010-04-26,19.542097091674805
2010-04-27,19.14160919189453
2010-04-28,19.574783325195312
2010-04-29,18.9617919921875
2010-04-30,18.04640007019043
2010-05-03,18.021883010864258
2010-05-04,17.408893585205078
2010-05-05,17.466106414794922
2010-05-06,17.21272850036621
2010-05-07,16.518016815185547
2010-05-10,17.48244857788086
2010-05-11,17.645912170410156
2010-05-12,17.95649528503418
2010-05-13,18.781993865966797
2010-05-14,18.487747192382812
2010-05-17,18.561315536499023
2010-05-18,18.226219177246094
2010-05-19,17.776683807373047
2010-05-20,16.8122501373291
2010-05-21,16.975709915161133
2010-05-24,16.436283111572266
2010-05-25,16.485321044921875
2010-05-26,16.665122985839844
2010-05-27,17.678607940673828
