Date,LUNR
2021-11-17,9.649999618530273
2021-11-18,9.67300033569336
2021-11-19,9.65999984741211
2021-11-22,9.670000076293945
2021-11-23,9.65999984741211
2021-11-24,9.678999900817871
2021-11-26,9.670000076293945
2021-11-29,9.680000305175781
2021-11-30,9.710000038146973
2021-12-01,9.710000038146973
2021-12-02,9.699000358581543
2021-12-03,9.699999809265137
2021-12-06,9.680000305175781
2021-12-07,9.680000305175781
2021-12-08,9.65999984741211
2021-12-09,9.6899995803833
2021-12-10,9.65999984741211
2021-12-13,9.65999984741211
2021-12-14,9.6899995803833
2021-12-15,9.6899995803833
2021-12-16,9.6899995803833
2021-12-17,9.6899995803833
2021-12-20,9.649999618530273
2021-12-21,9.65999984741211
2021-12-22,9.65999984741211
2021-12-23,9.6899995803833
2021-12-27,9.6899995803833
2021-12-28,9.6899995803833
2021-12-29,9.6899995803833
2021-12-30,9.6899995803833
2021-12-31,9.640000343322754
2022-01-03,9.6899995803833
2022-01-04,9.6899995803833
2022-01-05,9.6899995803833
2022-01-06,9.6899995803833
2022-01-07,9.65999984741211
2022-01-10,9.65999984741211
2022-01-11,9.65999984741211
2022-01-12,9.65999984741211
2022-01-13,9.6899995803833
2022-01-14,9.6899995803833
2022-01-18,9.6899995803833
2022-01-19,9.6899995803833
2022-01-20,9.670000076293945
2022-01-21,9.6899995803833
2022-01-24,9.6899995803833
2022-01-25,9.6899995803833
2022-01-26,9.6899995803833
2022-01-27,9.649999618530273
2022-01-28,9.649999618530273
2022-01-31,9.649999618530273
2022-02-01,9.649999618530273
2022-02-02,9.649999618530273
2022-02-03,9.649999618530273
2022-02-04,9.614999771118164
2022-02-07,9.619999885559082
2022-02-08,9.619999885559082
2022-02-09,9.619999885559082
2022-02-10,9.619999885559082
2022-02-11,9.619999885559082
2022-02-14,9.619999885559082
2022-02-15,9.619999885559082
2022-02-16,9.619999885559082
2022-02-17,9.699999809265137
2022-02-18,9.699999809265137
2022-02-22,9.699999809265137
2022-02-23,9.640000343322754
2022-02-24,9.630000114440918
2022-02-25,9.630000114440918
2022-02-28,9.628000259399414
2022-03-01,9.628000259399414
2022-03-02,9.640000343322754
2022-03-03,9.649999618530273
2022-03-04,9.649999618530273
2022-03-07,9.649999618530273
2022-03-08,9.670000076293945
2022-03-09,9.6899995803833
2022-03-10,9.6899995803833
2022-03-11,9.6899995803833
2022-03-14,9.6899995803833
2022-03-15,9.6899995803833
2022-03-16,9.6899995803833
2022-03-17,9.649999618530273
2022-03-18,9.649999618530273
2022-03-21,9.6899995803833
2022-03-22,9.6899995803833
2022-03-23,9.6899995803833
2022-03-24,9.65999984741211
2022-03-25,9.680000305175781
2022-03-28,9.6899995803833
2022-03-29,9.664999961853027
2022-03-30,9.670000076293945
2022-03-31,9.670000076293945
2022-04-01,9.670000076293945
2022-04-04,9.65999984741211
2022-04-05,9.649999618530273
2022-04-06,9.640000343322754
2022-04-07,9.640000343322754
2022-04-08,9.649999618530273
2022-04-11,9.649999618530273
2022-04-12,9.649999618530273
2022-04-13,9.649999618530273
2022-04-14,9.649999618530273
2022-04-18,9.680000305175781
2022-04-19,9.680000305175781
2022-04-20,9.6899995803833
2022-04-21,9.6899995803833
2022-04-22,9.6899995803833
2022-04-25,9.699999809265137
2022-04-26,9.720000267028809
2022-04-27,9.710000038146973
2022-04-28,9.710000038146973
2022-04-29,9.710000038146973
2022-05-02,9.699999809265137
2022-05-03,9.699999809265137
2022-05-04,9.710000038146973
2022-05-05,9.699999809265137
2022-05-06,9.699999809265137
2022-05-09,9.699999809265137
2022-05-10,9.729999542236328
2022-05-11,9.670000076293945
2022-05-12,9.630000114440918
2022-05-13,9.630000114440918
2022-05-16,9.630000114440918
2022-05-17,9.640000343322754
2022-05-18,9.640000343322754
2022-05-19,9.640000343322754
2022-05-20,9.640000343322754
2022-05-23,9.640000343322754
2022-05-24,9.640000343322754
2022-05-25,9.630000114440918
2022-05-26,9.630000114440918
2022-05-27,9.630000114440918
2022-05-31,9.65999984741211
2022-06-01,9.65999984741211
2022-06-02,9.65999984741211
2022-06-03,9.65999984741211
2022-06-06,9.720000267028809
2022-06-07,9.720000267028809
2022-06-08,9.720000267028809
2022-06-09,9.720000267028809
2022-06-10,9.720000267028809
2022-06-13,9.720000267028809
2022-06-14,9.692999839782715
2022-06-15,9.710000038146973
2022-06-16,9.640000343322754
2022-06-17,9.6899995803833
2022-06-21,9.630000114440918
2022-06-22,9.6899995803833
2022-06-23,9.6899995803833
2022-06-24,9.6899995803833
2022-06-27,9.6899995803833
2022-06-28,9.6899995803833
2022-06-29,9.6899995803833
2022-06-30,9.6899995803833
2022-07-01,9.6899995803833
2022-07-05,9.6899995803833
2022-07-06,9.6899995803833
2022-07-07,9.6899995803833
2022-07-08,9.649999618530273
2022-07-11,9.6899995803833
2022-07-12,9.6899995803833
2022-07-13,9.6899995803833
2022-07-14,9.6899995803833
2022-07-15,9.6899995803833
2022-07-18,9.6899995803833
2022-07-19,9.6899995803833
2022-07-20,9.65999984741211
2022-07-21,9.699999809265137
2022-07-22,9.75
2022-07-25,9.75
2022-07-26,9.75
2022-07-27,9.75
2022-07-28,9.75
2022-07-29,9.75
2022-08-01,9.75
2022-08-02,9.75
2022-08-03,9.75
2022-08-04,9.75
2022-08-05,9.75
2022-08-08,9.75
2022-08-09,9.75
2022-08-10,9.710000038146973
2022-08-11,9.739999771118164
2022-08-12,9.739999771118164
2022-08-15,9.720000267028809
2022-08-16,9.729999542236328
2022-08-17,9.710000038146973
2022-08-18,9.739999771118164
