Date,SUI
2010-01-04,10.139657020568848
2010-01-05,10.08395004272461
2010-01-06,10.387833595275879
2010-01-07,10.392903327941895
2010-01-08,10.397964477539062
2010-01-11,10.397964477539062
2010-01-12,10.195368766784668
2010-01-13,10.289484024047852
2010-01-14,10.221513748168945
2010-01-15,10.1483154296875
2010-01-19,10.373138427734375
2010-01-20,10.08034610748291
2010-01-21,9.933954238891602
2010-01-22,9.750954627990723
2010-01-25,9.69344711303711
2010-01-26,9.468626976013184
2010-01-27,9.520909309387207
2010-01-28,9.442482948303223
2010-01-29,9.468626976013184
2010-02-01,9.494763374328613
2010-02-02,9.677762031555176
2010-02-03,9.588876724243164
2010-02-04,9.358827590942383
2010-02-05,9.442482948303223
2010-02-08,9.243804931640625
2010-02-09,9.238574028015137
2010-02-10,9.327458381652832
2010-02-11,9.49999713897705
2010-02-12,9.479080200195312
2010-02-16,9.803242683410645
2010-02-17,9.803242683410645
2010-02-18,10.043745994567871
2010-02-19,9.996695518493652
2010-02-22,10.116949081420898
2010-02-23,10.001920700073242
2010-02-24,10.08034610748291
2010-02-25,10.127399444580078
2010-02-26,10.075114250183105
2010-03-01,10.190142631530762
2010-03-02,10.336541175842285
2010-03-03,10.336541175842285
2010-03-04,10.42018985748291
2010-03-05,10.733898162841797
2010-03-08,10.770496368408203
2010-03-09,10.963946342468262
2010-03-10,11.089427947998047
2010-03-11,11.460643768310547
2010-03-12,11.52338695526123
2010-03-15,11.607041358947754
2010-03-16,11.94688606262207
2010-03-17,12.3599271774292
2010-03-18,12.511550903320312
2010-03-19,12.459273338317871
2010-03-22,12.74160099029541
2010-03-23,12.752058982849121
2010-03-24,12.689315795898438
2010-03-25,12.746826171875
2010-03-26,12.861856460571289
2010-03-29,13.008251190185547
2010-03-30,13.144186019897461
2010-03-31,13.175559043884277
2010-04-01,13.269671440124512
2010-04-05,13.693167686462402
2010-04-06,13.965041160583496
2010-04-07,13.92322063446045
2010-04-08,14.074840545654297
2010-04-09,14.2461576461792
