Date,NTAP
2010-01-04,25.460708618164062
2010-01-05,25.013900756835938
2010-01-06,24.835176467895508
2010-01-07,24.77559471130371
2010-01-08,24.976665496826172
2010-01-11,24.52984619140625
2010-01-12,24.16496467590332
2010-01-13,25.118146896362305
2010-01-14,25.058576583862305
2010-01-15,24.686248779296875
2010-01-19,24.797935485839844
2010-01-20,24.20220184326172
2010-01-21,23.6660213470459
2010-01-22,22.921337127685547
2010-01-25,23.033044815063477
2010-01-26,23.018150329589844
2010-01-27,23.033044815063477
2010-01-28,22.206436157226562
2010-01-29,21.69261360168457
2010-02-01,22.42240333557129
2010-02-02,23.062829971313477
2010-02-03,23.10006332397461
2010-02-04,22.258567810058594
2010-02-05,22.62346649169922
2010-02-08,22.727720260620117
2010-02-09,23.09261131286621
2010-02-10,22.90644645690918
2010-02-11,23.48729705810547
2010-02-12,23.427724838256836
2010-02-16,24.053260803222656
2010-02-17,23.889429092407227
2010-02-18,23.591548919677734
2010-02-19,23.301128387451172
2010-02-22,22.817089080810547
2010-02-23,22.266014099121094
2010-02-24,22.213890075683594
2010-02-25,22.34793472290039
2010-02-26,22.34793472290039
2010-03-01,23.427724838256836
2010-03-02,23.152196884155273
2010-03-03,23.263893127441406
2010-03-04,23.353254318237305
2010-03-05,23.86709213256836
2010-03-08,24.209638595581055
2010-03-09,24.23942756652832
2010-03-10,24.708580017089844
2010-03-11,24.812835693359375
2010-03-12,24.50750732421875
2010-03-15,24.440494537353516
2010-03-16,24.716020584106445
2010-03-17,24.604324340820312
2010-03-18,24.797935485839844
2010-03-19,24.172401428222656
2010-03-22,24.52984619140625
2010-03-23,24.380918502807617
2010-03-24,24.701122283935547
2010-03-25,24.291561126708984
2010-03-26,24.373470306396484
2010-03-29,24.23198127746582
2010-03-30,24.254322052001953
2010-03-31,24.23198127746582
2010-04-01,25.512836456298828
2010-04-05,25.892621994018555
2010-04-06,25.93730354309082
2010-04-07,26.153263092041016
2010-04-08,25.944747924804688
2010-04-09,26.45858383178711
2010-04-12,26.01921844482422
2010-04-13,25.833051681518555
2010-04-14,26.704326629638672
2010-04-15,26.562829971313477
2010-04-16,26.175601959228516
2010-04-19,25.907520294189453
2010-04-20,25.818153381347656
2010-04-21,26.205392837524414
2010-04-22,26.324541091918945
2010-04-23,26.9351749420166
2010-04-26,26.726661682128906
2010-04-27,25.95219612121582
2010-04-28,26.45858383178711
2010-04-29,26.689424514770508
2010-04-30,25.818153381347656
