Date,EOG
2010-01-04,35.971160888671875
2010-01-05,35.53037643432617
2010-01-06,35.64863967895508
2010-01-07,35.31538391113281
2010-01-08,35.49455261230469
2010-01-11,35.1684455871582
2010-01-12,34.1937370300293
2010-01-13,35.08559036254883
2010-01-14,35.17173385620117
2010-01-15,34.76616668701172
2010-01-19,34.938446044921875
2010-01-20,34.57238006591797
2010-01-21,34.66567611694336
2010-01-22,33.75410079956055
2010-01-25,34.08427429199219
2010-01-26,33.427490234375
2010-01-27,33.158321380615234
2010-01-28,32.842498779296875
2010-01-29,32.4513053894043
2010-02-01,34.292442321777344
2010-02-02,34.823604583740234
2010-02-03,34.884613037109375
2010-02-04,33.34135818481445
2010-02-05,33.32701873779297
2010-02-08,32.86762619018555
2010-02-09,33.92995834350586
2010-02-10,31.668926239013672
2010-02-11,32.68098449707031
2010-02-12,32.65227508544922
2010-02-16,33.31265640258789
2010-02-17,33.32701873779297
2010-02-18,33.85817337036133
2010-02-19,33.96584701538086
2010-02-22,33.057838439941406
2010-02-23,32.26827621459961
2010-02-24,33.262428283691406
2010-02-25,33.45618438720703
2010-02-26,33.75410079956055
2010-03-01,33.96943283081055
2010-03-02,34.03403091430664
2010-03-03,34.389339447021484
2010-03-04,34.166812896728516
2010-03-05,34.949214935302734
2010-03-08,34.94562530517578
2010-03-09,35.18968963623047
2010-03-10,35.47320556640625
2010-03-11,35.0927734375
2010-03-12,35.020992279052734
2010-03-15,34.773353576660156
2010-03-16,34.62621307373047
2010-03-17,34.3857536315918
2010-03-18,33.47774124145508
2010-03-19,32.91070556640625
2010-03-22,32.83891296386719
2010-03-23,33.786399841308594
2010-03-24,33.22293472290039
2010-03-25,32.0924186706543
2010-03-26,32.15341567993164
2010-03-29,33.36290740966797
2010-03-30,33.49928283691406
2010-03-31,33.3557243347168
2010-04-01,34.303192138671875
2010-04-05,35.08917999267578
2010-04-06,34.949214935302734
2010-04-07,37.231788635253906
2010-04-08,38.38744354248047
2010-04-09,37.6014404296875
2010-04-12,38.46638870239258
2010-04-13,38.53818130493164
2010-04-14,39.28035354614258
2010-04-15,39.71524429321289
2010-04-16,38.62622833251953
2010-04-19,38.813106536865234
2010-04-20,40.07826232910156
2010-04-21,40.20764923095703
2010-04-22,40.61738967895508
2010-04-23,40.8725471496582
2010-04-26,40.4268913269043
2010-04-27,39.04314041137695
2010-04-28,39.327064514160156
2010-04-29,39.988407135009766
2010-04-30,40.29750061035156
2010-05-03,40.81504440307617
2010-05-04,39.62179946899414
2010-05-05,37.7995719909668
2010-05-06,36.79319763183594
2010-05-07,36.243309020996094
2010-05-10,38.274009704589844
2010-05-11,37.64503860473633
2010-05-12,38.953285217285156
2010-05-13,38.84545135498047
2010-05-14,38.13022232055664
2010-05-17,37.10231018066406
2010-05-18,36.962127685546875
2010-05-19,36.742881774902344
2010-05-20,34.60797882080078
2010-05-21,36.153446197509766
2010-05-24,34.99256134033203
2010-05-25,35.477752685546875
2010-05-26,35.84794616699219
