Date,GFF
2010-01-04,8.687216758728027
2010-01-05,8.701180458068848
2010-01-06,8.596434593200684
2010-01-07,8.777999877929688
2010-01-08,8.798948287963867
2010-01-11,8.743081092834473
2010-01-12,8.51961898803711
2010-01-13,8.596434593200684
2010-01-14,8.561515808105469
2010-01-15,8.561515808105469
2010-01-19,8.833867073059082
2010-01-20,8.659281730651855
2010-01-21,8.512636184692383
2010-01-22,8.617382049560547
2010-01-25,8.764031410217285
2010-01-26,8.456769943237305
2010-01-27,8.442800521850586
2010-01-28,8.407882690429688
2010-01-29,8.247271537780762
2010-02-01,8.191400527954102
2010-02-02,8.359000205993652
2010-02-03,8.435818672180176
2010-02-04,8.170451164245605
2010-02-05,8.191400527954102
2010-02-08,7.9260382652282715
2010-02-09,8.002853393554688
2010-02-10,7.9679388999938965
2010-02-11,8.149502754211426
2010-02-12,8.491683006286621
2010-02-16,8.372971534729004
2010-02-17,8.372971534729004
2010-02-18,8.414870262145996
2010-02-19,8.722134590148926
2010-02-22,8.757050514221191
2010-02-23,8.63832950592041
2010-02-24,8.666268348693848
2010-02-25,8.694198608398438
2010-02-26,8.645318031311035
2010-03-01,8.847831726074219
2010-03-02,9.09922981262207
2010-03-03,9.0852632522583
2010-03-04,8.987497329711914
2010-03-05,9.134146690368652
2010-03-08,9.190013885498047
2010-03-09,9.38554573059082
2010-03-10,9.420463562011719
2010-03-11,9.406495094299316
2010-03-12,9.245878219604492
2010-03-15,9.29476547241211
2010-03-16,9.287778854370117
2010-03-17,9.3226957321167
2010-03-18,9.727727890014648
2010-03-19,9.357610702514648
2010-03-22,9.539175033569336
2010-03-23,9.539175033569336
2010-03-24,9.357610702514648
2010-03-25,9.266833305358887
2010-03-26,9.092249870300293
2010-03-29,9.071298599243164
2010-03-30,8.798948287963867
2010-03-31,8.701180458068848
2010-04-01,8.798948287963867
2010-04-05,9.162077903747559
2010-04-06,9.217947959899902
2010-04-07,9.141130447387695
2010-04-08,9.196995735168457
2010-04-09,9.141130447387695
2010-04-12,9.217947959899902
2010-04-13,9.280797958374023
2010-04-14,9.539175033569336
2010-04-15,9.567111015319824
2010-04-16,9.504262924194336
2010-04-19,9.5252103805542
2010-04-20,9.469341278076172
2010-04-21,9.462359428405762
2010-04-22,9.476327896118164
2010-04-23,9.5252103805542
2010-04-26,9.504262924194336
2010-04-27,9.469341278076172
2010-04-28,9.748675346374512
2010-04-29,10.167675971984863
2010-04-30,9.846441268920898
2010-05-03,10.069911003112793
2010-05-04,9.783594131469727
2010-05-05,9.776609420776367
2010-05-06,9.29476547241211
2010-05-07,9.106215476989746
2010-05-10,9.643928527832031
2010-05-11,9.650907516479492
2010-05-12,10.237504959106445
2010-05-13,10.132758140563965
2010-05-14,10.307342529296875
2010-05-17,10.2305269241333
2010-05-18,9.650907516479492
2010-05-19,9.266833305358887
2010-05-20,8.254250526428223
2010-05-21,8.365985870361328
2010-05-24,8.268219947814941
2010-05-25,8.240287780761719
2010-05-26,8.372971534729004
2010-05-27,8.71514892578125
2010-05-28,8.477723121643066
2010-06-01,8.100622177124023
2010-06-02,8.310117721557617
