Date,RVTY
2010-01-04,18.939273834228516
2010-01-05,19.168659210205078
2010-01-06,19.54487419128418
2010-01-07,19.48982810974121
2010-01-08,19.66417121887207
2010-01-11,19.691707611083984
2010-01-12,19.416425704956055
2010-01-13,19.645814895629883
2010-01-14,19.86603355407715
2010-01-15,19.645814895629883
2010-01-19,19.673336029052734
2010-01-20,19.480018615722656
2010-01-21,18.854007720947266
2010-01-22,18.75273895263672
2010-01-25,18.890825271606445
2010-01-26,18.936864852905273
2010-01-27,18.77115249633789
2010-01-28,18.4765567779541
2010-01-29,18.541000366210938
2010-02-01,18.587034225463867
2010-02-02,19.16701316833496
2010-02-03,19.03812026977539
2010-02-04,18.24640655517578
2010-02-05,18.890825271606445
2010-02-08,19.28668975830078
2010-02-09,19.231454849243164
2010-02-10,19.05654525756836
2010-02-11,19.213045120239258
2010-02-12,19.33272933959961
2010-02-16,19.875871658325195
2010-02-17,19.875871658325195
2010-02-18,20.179676055908203
2010-02-19,20.059995651245117
2010-02-22,20.6031551361084
2010-02-23,20.547922134399414
2010-02-24,20.575536727905273
2010-02-25,20.63077163696289
2010-02-26,20.4466552734375
2010-03-01,21.413284301757812
2010-03-02,21.569786071777344
2010-03-03,21.4869384765625
2010-03-04,21.284408569335938
2010-03-05,21.901206970214844
2010-03-08,21.799943923950195
2010-03-09,21.652652740478516
2010-03-10,21.634231567382812
2010-03-11,21.597408294677734
2010-03-12,21.514556884765625
2010-03-15,21.634231567382812
2010-03-16,21.75391387939453
2010-03-17,22.09453773498535
2010-03-18,22.195802688598633
2010-03-19,21.735502243041992
2010-03-22,22.1497745513916
2010-03-23,22.269458770751953
2010-03-24,22.076126098632812
2010-03-25,22.002477645874023
2010-03-26,22.09453773498535
2010-03-29,22.30626678466797
2010-03-30,22.379926681518555
2010-03-31,22.002477645874023
2010-04-01,22.232633590698242
2010-04-05,22.27866554260254
2010-04-06,22.103736877441406
2010-04-07,21.98406219482422
2010-04-08,21.790739059448242
2010-04-09,21.910411834716797
2010-04-12,21.87358283996582
2010-04-13,21.855175018310547
2010-04-14,21.993680953979492
2010-04-15,22.039846420288086
2010-04-16,21.698209762573242
2010-04-19,21.642810821533203
2010-04-20,22.1506404876709
