Date,BHB
2010-01-04,7.010100841522217
2010-01-05,7.022884845733643
2010-01-06,6.992206573486328
2010-01-07,7.0254411697387695
2010-01-08,7.0279974937438965
2010-01-11,7.020330429077148
2010-01-12,7.012655258178711
2010-01-13,7.010100841522217
2010-01-14,7.012655258178711
2010-01-15,7.117475509643555
2010-01-19,7.0561203956604
2010-01-20,7.012655258178711
2010-01-21,6.971752643585205
2010-01-22,7.012655258178711
2010-01-25,7.1200337409973145
2010-01-26,7.1711649894714355
2010-01-27,7.081686019897461
2010-01-28,7.186506271362305
2010-01-29,6.9052815437316895
2010-02-01,6.953858852386475
2010-02-02,6.935961723327637
2010-02-03,6.902723789215088
2010-02-04,6.8004631996154785
2010-02-05,6.810688495635986
2010-02-08,6.810688495635986
2010-02-09,6.879718780517578
2010-02-10,6.879718780517578
2010-02-11,6.9778151512146
2010-02-12,7.008793830871582
2010-02-16,7.137868404388428
2010-02-17,7.2282209396362305
2010-02-18,7.210150241851807
2010-02-19,7.09914493560791
2010-02-22,7.109471321105957
2010-02-23,7.09914493560791
2010-02-24,7.034609317779541
2010-02-25,7.034609317779541
2010-02-26,6.905533313751221
2010-03-01,7.073329925537109
2010-03-02,7.300501346588135
2010-03-03,7.2075700759887695
2010-03-04,7.254035949707031
2010-03-05,7.305666923522949
2010-03-08,7.305666923522949
2010-03-09,7.264359951019287
2010-03-10,7.235965251922607
2010-03-11,7.254035949707031
2010-03-12,7.254035949707031
2010-03-15,7.254035949707031
2010-03-16,7.315991401672363
2010-03-17,7.176588535308838
2010-03-18,7.243709087371826
2010-03-19,7.266944885253906
2010-03-22,7.408929824829102
2010-03-23,7.597377300262451
2010-03-24,7.734195709228516
2010-03-25,7.571564674377441
2010-03-26,7.476047039031982
2010-03-29,7.507021903991699
2010-03-30,7.522514343261719
2010-03-31,7.873597145080566
2010-04-01,7.56381893157959
2010-04-05,7.589630603790283
2010-04-06,7.589630603790283
2010-04-07,7.618027210235596
2010-04-08,7.615445613861084
2010-04-09,7.633516788482666
2010-04-12,7.623191833496094
2010-04-13,7.679983615875244
2010-04-14,7.6696577072143555
