Date,CTRI
2024-04-19,23.950000762939453
2024-04-22,24.299999237060547
2024-04-23,24.610000610351562
2024-04-24,25.010000228881836
2024-04-25,24.670000076293945
2024-04-26,25.059999465942383
2024-04-29,25.010000228881836
2024-04-30,24.75
2024-05-01,25.34000015258789
2024-05-02,24.280000686645508
2024-05-03,24.0
2024-05-06,24.93000030517578
2024-05-07,25.0
2024-05-08,24.959999084472656
2024-05-09,25.200000762939453
2024-05-10,25.389999389648438
2024-05-13,24.729999542236328
2024-05-14,24.790000915527344
2024-05-15,25.110000610351562
2024-05-16,25.940000534057617
2024-05-17,26.770000457763672
2024-05-20,27.25
2024-05-21,27.190000534057617
2024-05-22,26.309999465942383
2024-05-23,25.280000686645508
2024-05-24,26.399999618530273
2024-05-28,26.549999237060547
2024-05-29,26.56999969482422
2024-05-30,27.030000686645508
2024-05-31,27.450000762939453
2024-06-03,27.459999084472656
2024-06-04,26.149999618530273
2024-06-05,26.170000076293945
2024-06-06,25.989999771118164
2024-06-07,25.920000076293945
2024-06-10,25.969999313354492
2024-06-11,26.239999771118164
2024-06-12,26.049999237060547
2024-06-13,26.3799991607666
2024-06-14,25.889999389648438
2024-06-17,26.06999969482422
2024-06-18,26.350000381469727
2024-06-20,26.049999237060547
2024-06-21,25.579999923706055
2024-06-24,25.670000076293945
2024-06-25,25.25
2024-06-26,25.290000915527344
2024-06-27,21.329999923706055
2024-06-28,19.479999542236328
2024-07-01,19.0
2024-07-02,20.020000457763672
2024-07-03,19.989999771118164
2024-07-05,19.6299991607666
2024-07-08,19.100000381469727
2024-07-09,18.93000030517578
2024-07-10,18.8799991607666
2024-07-11,18.90999984741211
2024-07-12,19.139999389648438
2024-07-15,20.1299991607666
2024-07-16,21.450000762939453
2024-07-17,20.950000762939453
2024-07-18,20.760000228881836
2024-07-19,20.09000015258789
2024-07-22,19.780000686645508
2024-07-23,20.5
2024-07-24,20.239999771118164
2024-07-25,20.049999237060547
2024-07-26,20.25
2024-07-29,15.720000267028809
2024-07-30,15.779999732971191
2024-07-31,16.510000228881836
2024-08-01,16.350000381469727
2024-08-02,16.270000457763672
2024-08-05,15.25
2024-08-06,14.920000076293945
2024-08-07,14.920000076293945
2024-08-08,15.600000381469727
2024-08-09,15.329999923706055
2024-08-12,15.600000381469727
2024-08-13,16.15999984741211
2024-08-14,15.760000228881836
2024-08-15,15.819999694824219
2024-08-16,16.15999984741211
2024-08-19,16.1299991607666
2024-08-20,16.3799991607666
2024-08-21,16.420000076293945
2024-08-22,16.280000686645508
2024-08-23,17.329999923706055
2024-08-26,17.34000015258789
2024-08-27,16.979999542236328
2024-08-28,16.639999389648438
2024-08-29,16.899999618530273
2024-08-30,17.100000381469727
2024-09-03,16.229999542236328
2024-09-04,16.200000762939453
2024-09-05,16.559999465942383
2024-09-06,16.299999237060547
2024-09-09,16.56999969482422
2024-09-10,16.3700008392334
2024-09-11,16.8700008392334
2024-09-12,17.190000534057617
2024-09-13,17.8799991607666
2024-09-16,17.43000030517578
2024-09-17,17.100000381469727
2024-09-18,16.600000381469727
2024-09-19,16.719999313354492
2024-09-20,16.6200008392334
2024-09-23,16.530000686645508
2024-09-24,15.949999809265137
2024-09-25,15.420000076293945
2024-09-26,15.350000381469727
2024-09-27,15.359999656677246
2024-09-30,16.149999618530273
2024-10-01,15.65999984741211
2024-10-02,15.8100004196167
2024-10-03,15.510000228881836
2024-10-04,15.930000305175781
2024-10-07,15.729999542236328
2024-10-08,16.049999237060547
2024-10-09,16.940000534057617
2024-10-10,17.329999923706055
2024-10-11,18.059999465942383
2024-10-14,17.600000381469727
2024-10-15,17.780000686645508
2024-10-16,18.600000381469727
2024-10-17,18.709999084472656
2024-10-18,18.739999771118164
2024-10-21,18.479999542236328
2024-10-22,18.450000762939453
2024-10-23,18.1200008392334
2024-10-24,18.709999084472656
2024-10-25,17.8799991607666
2024-10-28,18.3799991607666
2024-10-29,18.239999771118164
2024-10-30,18.809999465942383
2024-10-31,18.770000457763672
2024-11-01,19.0
2024-11-04,18.950000762939453
2024-11-05,19.40999984741211
2024-11-06,19.020000457763672
2024-11-07,21.649999618530273
2024-11-08,20.3799991607666
2024-11-11,21.360000610351562
2024-11-12,20.6299991607666
2024-11-13,20.15999984741211
2024-11-14,20.31999969482422
2024-11-15,20.420000076293945
2024-11-18,20.56999969482422
2024-11-19,20.850000381469727
2024-11-20,21.06999969482422
2024-11-21,21.260000228881836
2024-11-22,20.790000915527344
2024-11-25,20.93000030517578
2024-11-26,20.709999084472656
2024-11-27,20.3700008392334
2024-11-29,19.809999465942383
2024-12-02,20.270000457763672
2024-12-03,20.549999237060547
2024-12-04,20.959999084472656
2024-12-05,21.709999084472656
2024-12-06,21.299999237060547
2024-12-09,21.389999389648438
2024-12-10,21.75
2024-12-11,21.469999313354492
2024-12-12,20.729999542236328
2024-12-13,21.030000686645508
2024-12-16,20.489999771118164
2024-12-17,20.360000610351562
2024-12-18,19.450000762939453
2024-12-19,19.850000381469727
2024-12-20,20.290000915527344
2024-12-23,20.200000762939453
2024-12-24,20.200000762939453
2024-12-26,20.3700008392334
2024-12-27,19.760000228881836
2024-12-30,19.219999313354492
2024-12-31,19.309999465942383
2025-01-02,19.209999084472656
2025-01-03,20.1299991607666
2025-01-06,19.950000762939453
2025-01-07,20.059999465942383
2025-01-08,19.739999771118164
2025-01-10,19.700000762939453
2025-01-13,20.059999465942383
2025-01-14,20.309999465942383
2025-01-15,21.709999084472656
2025-01-16,21.770000457763672
2025-01-17,21.860000610351562
2025-01-21,22.579999923706055
