Date,FIBK
2010-03-24,8.541316032409668
2010-03-25,8.737168312072754
2010-03-26,9.003746032714844
2010-03-29,9.079910278320312
2010-03-30,8.889495849609375
2010-03-31,8.902097702026367
2010-04-01,8.770625114440918
2010-04-05,8.781582832336426
2010-04-06,8.748710632324219
2010-04-07,8.682973861694336
2010-04-08,8.710367202758789
2010-04-09,8.754185676574707
2010-04-12,8.765148162841797
2010-04-13,8.606271743774414
2010-04-14,8.765148162841797
2010-04-15,8.819926261901855
2010-04-16,8.710367202758789
2010-04-19,8.677494049072266
2010-04-20,8.787055015563965
2010-04-21,8.825407028198242
2010-04-22,9.044532775878906
2010-04-23,9.126703262329102
2010-04-26,8.858272552490234
2010-04-27,8.754185676574707
2010-04-28,8.89661979675293
2010-04-29,8.934968948364258
2010-04-30,8.87470817565918
2010-05-03,8.852797508239746
2010-05-04,8.869230270385742
2010-05-05,8.863751411437988
2010-05-06,8.715839385986328
2010-05-07,8.639142990112305
2010-05-10,8.573407173156738
2010-05-11,8.633668899536133
2010-05-12,8.688447952270508
2010-05-13,8.721317291259766
2010-05-14,8.677494049072266
2010-05-17,8.6117525100708
2010-05-18,8.513143539428711
2010-05-19,8.420014381408691
2010-05-20,8.387147903442383
2010-05-21,8.4309720993042
2010-05-24,8.38166618347168
2010-05-25,8.255666732788086
2010-05-26,8.370713233947754
2010-05-27,8.6555814743042
2010-05-28,8.628188133239746
2010-06-01,8.858272552490234
2010-06-02,8.765148162841797
2010-06-03,8.699406623840332
2010-06-04,8.617234230041504
2010-06-07,8.567925453186035
2010-06-08,8.567925453186035
2010-06-09,8.409059524536133
2010-06-10,8.387147903442383
2010-06-11,8.436453819274902
2010-06-14,8.420014381408691
2010-06-15,8.556971549987793
2010-06-16,8.661060333251953
2010-06-17,8.573407173156738
2010-06-18,8.666535377502441
2010-06-21,8.606271743774414
2010-06-22,8.70488452911377
2010-06-23,8.825407028198242
2010-06-24,8.743229866027832
2010-06-25,8.8801851272583
2010-06-28,8.6555814743042
2010-06-29,8.668266296386719
2010-06-30,8.67930793762207
2010-07-01,8.530329704284668
2010-07-02,8.574466705322266
2010-07-06,8.695859909057617
2010-07-07,8.607575416564941
2010-07-08,8.607575416564941
2010-07-09,8.67930793762207
2010-07-12,8.386868476867676
2010-07-13,8.662755012512207
2010-07-14,8.546881675720215
2010-07-15,8.397902488708496
2010-07-16,8.248927116394043
2010-07-19,8.237890243530273
2010-07-20,8.248927116394043
2010-07-21,8.105466842651367
2010-07-22,8.259964942932129
2010-07-23,7.868206024169922
2010-07-26,7.261261463165283
2010-07-27,7.184015274047852
2010-07-28,7.244707107543945
2010-07-29,7.244707107543945
