Date,ALLE
2013-11-18,42.76502990722656
2013-11-19,40.40094757080078
2013-11-20,39.38652038574219
2013-11-21,38.627899169921875
2013-11-22,38.8043098449707
2013-11-25,38.97191619873047
2013-11-26,38.10744094848633
2013-11-27,38.142738342285156
2013-11-29,38.142738342285156
2013-12-02,38.05451965332031
2013-12-03,37.84281921386719
2013-12-04,36.89896774291992
2013-12-05,36.21089553833008
2013-12-06,35.90215301513672
2013-12-09,36.32556915283203
2013-12-10,37.542903900146484
2013-12-11,37.454681396484375
2013-12-12,37.90455627441406
2013-12-13,38.151554107666016
2013-12-16,38.5396842956543
2013-12-17,38.59261703491211
2013-12-18,39.05131530761719
2013-12-19,39.2100944519043
2013-12-20,39.042510986328125
2013-12-23,39.38652038574219
2013-12-24,39.32477569580078
2013-12-26,39.430633544921875
2013-12-27,39.377689361572266
2013-12-30,38.91900634765625
2013-12-31,38.98074722290039
2014-01-02,38.50438690185547
2014-01-03,38.77785110473633
2014-01-06,38.530853271484375
2014-01-07,38.698455810546875
2014-01-08,38.70729446411133
2014-01-09,38.927799224853516
2014-01-10,40.33920669555664
2014-01-13,41.4947624206543
2014-01-14,42.165191650390625
2014-01-15,41.90054702758789
2014-01-16,41.81234359741211
2014-01-17,42.341617584228516
2014-01-21,42.49155807495117
2014-01-22,42.7914924621582
2014-01-23,42.09461212158203
2014-01-24,41.31835174560547
2014-01-27,41.106651306152344
2014-01-28,42.10344314575195
2014-01-29,42.14753341674805
2014-01-30,43.594215393066406
2014-01-31,43.53246307373047
2014-02-03,41.84763717651367
2014-02-04,42.38571548461914
2014-02-05,41.98876190185547
2014-02-06,43.43544006347656
2014-02-07,44.05290985107422
2014-02-10,43.96470260620117
2014-02-11,44.008811950683594
2014-02-12,44.1058464050293
2014-02-13,44.21169662475586
2014-02-14,43.77946472167969
2014-02-18,44.20287322998047
2014-02-19,43.3648681640625
2014-02-20,45.4466552734375
2014-02-21,46.196449279785156
2014-02-24,46.62869644165039
2014-02-25,48.12830352783203
2014-02-26,48.21650695800781
2014-02-27,48.82517623901367
2014-02-28,47.943050384521484
2014-03-03,47.18443298339844
2014-03-04,47.63429641723633
2014-03-05,47.590206146240234
2014-03-06,46.919795989990234
2014-03-07,47.096214294433594
2014-03-10,47.00801086425781
2014-03-11,48.07536315917969
2014-03-12,47.88130187988281
2014-03-13,47.351253509521484
2014-03-14,47.08622741699219
2014-03-17,46.78586959838867
2014-03-18,47.06856918334961
2014-03-19,47.06856918334961
2014-03-20,47.854801177978516
2014-03-21,47.5367546081543
2014-03-24,47.23640060424805
2014-03-25,47.006717681884766
2014-03-26,45.97312927246094
2014-03-27,45.4518928527832
2014-03-28,46.079124450683594
2014-03-31,46.08795928955078
2014-04-01,47.63393783569336
2014-04-02,48.29650115966797
2014-04-03,48.543861389160156
2014-04-04,47.46609878540039
2014-04-07,45.60208511352539
2014-04-08,45.41655731201172
2014-04-09,45.49607467651367
2014-04-10,44.77165603637695
2014-04-11,44.179771423339844
2014-04-14,43.96775817871094
2014-04-15,44.135597229003906
2014-04-16,44.37413024902344
2014-04-17,44.30345153808594
2014-04-21,44.72749328613281
2014-04-22,45.05436706542969
2014-04-23,44.52431106567383
2014-04-24,44.382965087890625
2014-04-25,43.76457214355469
2014-04-28,43.12851333618164
2014-04-29,43.199188232421875
2014-04-30,43.596717834472656
2014-05-01,45.275211334228516
2014-05-02,44.78934097290039
2014-05-05,44.22394943237305
