Date,HP
2010-01-04,23.350305557250977
2010-01-05,24.71306037902832
2010-01-06,25.61414337158203
2010-01-07,25.775453567504883
2010-01-08,26.698780059814453
2010-01-11,25.842193603515625
2010-01-12,25.31377410888672
2010-01-13,26.27605628967285
2010-01-14,27.021392822265625
2010-01-15,26.41510772705078
2010-01-19,26.626474380493164
2010-01-20,26.29830551147461
2010-01-21,26.20929718017578
2010-01-22,24.729755401611328
2010-01-25,24.868806838989258
2010-01-26,25.074602127075195
2010-01-27,25.135787963867188
2010-01-28,24.523942947387695
2010-01-29,23.266878128051758
2010-02-01,23.834217071533203
2010-02-02,24.067840576171875
2010-02-03,23.889850616455078
2010-02-04,22.421411514282227
2010-02-05,22.438095092773438
2010-02-08,22.254549026489258
2010-02-09,22.62721824645996
2010-02-10,22.833276748657227
2010-02-11,23.250946044921875
2010-02-12,23.189695358276367
2010-02-16,23.902538299560547
2010-02-17,24.559690475463867
2010-02-18,24.67107582092285
2010-02-19,24.453887939453125
2010-02-22,23.24538803100586
2010-02-23,23.161848068237305
2010-02-24,22.961362838745117
2010-02-25,23.050464630126953
2010-02-26,22.565954208374023
2010-03-01,22.5993709564209
2010-03-02,22.710758209228516
2010-03-03,22.955801010131836
2010-03-04,22.34876823425293
2010-03-05,22.410018920898438
2010-03-08,22.053598403930664
2010-03-09,22.220670700073242
2010-03-10,22.643922805786133
2010-03-11,22.699617385864258
2010-03-12,22.76644515991211
2010-03-15,22.499126434326172
2010-03-16,22.76644515991211
2010-03-17,22.872255325317383
2010-03-18,21.65262794494629
2010-03-19,21.17926025390625
2010-03-22,21.619213104248047
2010-03-23,21.60250473022461
2010-03-24,21.212661743164062
2010-03-25,20.27149772644043
2010-03-26,20.32718276977539
2010-03-29,21.034452438354492
2010-03-30,20.87295913696289
2010-03-31,21.20709800720215
2010-04-01,21.596933364868164
2010-04-05,22.220670700073242
2010-04-06,22.081445693969727
2010-04-07,21.758434295654297
2010-04-08,21.6136417388916
2010-04-09,21.719451904296875
2010-04-12,21.6136417388916
2010-04-13,21.691612243652344
2010-04-14,22.24852180480957
2010-04-15,22.688480377197266
2010-04-16,22.137134552001953
2010-04-19,21.970060348510742
2010-04-20,22.62164306640625
2010-04-21,23.41245460510254
2010-04-22,23.81342887878418
2010-04-23,24.064041137695312
2010-04-26,24.114171981811523
2010-04-27,23.22311019897461
2010-04-28,23.7354679107666
2010-04-29,23.111724853515625
2010-04-30,22.62164306640625
2010-05-03,22.52696990966797
2010-05-04,22.131568908691406
2010-05-05,21.947786331176758
2010-05-06,20.794979095458984
2010-05-07,19.86495018005371
2010-05-10,20.588932037353516
2010-05-11,20.399581909179688
2010-05-12,21.06878089904785
2010-05-13,21.118967056274414
2010-05-14,20.946096420288086
2010-05-17,20.394010543823242
2010-05-18,20.299205780029297
2010-05-19,19.869792938232422
2010-05-20,18.637340545654297
2010-05-21,19.256359100341797
2010-05-24,18.704267501831055
2010-05-25,18.877138137817383
2010-05-26,18.877138137817383
2010-05-27,20.477651596069336
2010-05-28,21.013017654418945
2010-06-01,19.998050689697266
2010-06-02,21.241657257080078
2010-06-03,22.79198455810547
2010-06-04,21.604154586791992
2010-06-07,21.59856414794922
2010-06-08,21.754711151123047
2010-06-09,21.860679626464844
2010-06-10,23.51137924194336
2010-06-11,23.405426025390625
2010-06-14,23.081974029541016
2010-06-15,23.617341995239258
2010-06-16,23.628494262695312
2010-06-17,23.79021644592285
2010-06-18,23.70656967163086
2010-06-21,23.316200256347656
2010-06-22,22.479686737060547
2010-06-23,22.535457611083984
2010-06-24,21.765871047973633
2010-06-25,21.78818130493164
2010-06-28,21.18589973449707
2010-06-29,20.884761810302734
2010-06-30,20.36612319946289
2010-07-01,20.338245391845703
2010-07-02,20.371694564819336
2010-07-06,20.62822914123535
2010-07-07,22.178552627563477
2010-07-08,22.323545455932617
2010-07-09,22.55776596069336
2010-07-12,22.161819458007812
2010-07-13,22.401609420776367
2010-07-14,22.362579345703125
2010-07-15,22.32912254333496
2010-07-16,21.392234802246094
2010-07-19,21.542808532714844
2010-07-20,22.435075759887695
2010-07-21,22.34026527404785
2010-07-22,22.942550659179688
2010-07-23,22.864482879638672
2010-07-26,23.21024513244629
2010-07-27,22.82544708251953
2010-07-28,22.646995544433594
2010-07-29,22.552188873291016
2010-07-30,22.602373123168945
2010-08-02,23.070817947387695
2010-08-03,23.003902435302734
2010-08-04,23.08755874633789
2010-08-05,22.842174530029297
2010-08-06,22.652563095092773
2010-08-09,22.697189331054688
2010-08-10,22.40719223022461
2010-08-11,21.31252098083496
2010-08-12,21.22316551208496
2010-08-13,20.899229049682617
2010-08-16,20.832212448120117
2010-08-17,21.29576873779297
2010-08-18,21.189661026000977
2010-08-19,20.899229049682617
2010-08-20,20.290462493896484
2010-08-23,20.64231300354004
2010-08-24,20.871307373046875
2010-08-25,20.62556266784668
2010-08-26,20.396581649780273
2010-08-27,21.111461639404297
2010-08-30,21.13938331604004
2010-08-31,20.6870059967041
2010-09-01,21.66996192932129
2010-09-02,21.804014205932617
2010-09-03,21.999481201171875
2010-09-07,21.547100067138672
2010-09-08,21.904539108276367
2010-09-09,21.843107223510742
2010-09-10,22.49098014831543
2010-09-13,22.99361801147461
2010-09-14,22.747882843017578
2010-09-15,22.52448081970215
2010-09-16,21.51358413696289
2010-09-17,21.535932540893555
2010-09-20,21.9268798828125
2010-09-21,21.748153686523438
2010-09-22,21.798423767089844
2010-09-23,21.78724479675293
2010-09-24,22.28432273864746
2010-09-27,22.055334091186523
2010-09-28,22.16145133972168
