Date,JHG
2017-05-30,19.961963653564453
2017-05-31,20.405561447143555
2017-06-01,22.140810012817383
2017-06-02,21.716787338256836
2017-06-05,21.586313247680664
2017-06-06,20.614315032958984
2017-06-07,20.679546356201172
2017-06-08,20.73174285888672
2017-06-09,20.686071395874023
2017-06-12,21.06443977355957
2017-06-13,21.357999801635742
2017-06-14,22.173433303833008
2017-06-15,21.599367141723633
2017-06-16,21.155765533447266
2017-06-19,21.625463485717773
2017-06-20,21.45585060119629
2017-06-21,21.442800521850586
2017-06-22,21.586313247680664
2017-06-23,21.46237564086914
2017-06-26,21.6580753326416
2017-06-27,21.566749572753906
2017-06-28,21.95815658569336
2017-06-29,21.892925262451172
2017-06-30,21.599367141723633
2017-07-03,21.20142936706543
2017-07-05,21.299283981323242
2017-07-06,20.614315032958984
2017-07-07,21.19490623474121
2017-07-10,21.90597152709961
2017-07-11,21.68416976928711
2017-07-12,22.036439895629883
2017-07-13,22.232147216796875
2017-07-14,22.179954528808594
2017-07-17,22.062536239624023
2017-07-18,22.010347366333008
2017-07-19,21.866830825805664
2017-07-20,21.866830825805664
2017-07-21,21.59284210205078
2017-07-24,21.95815658569336
2017-07-25,22.421329498291016
2017-07-26,22.179954528808594
2017-07-27,21.651552200317383
2017-07-28,21.436277389526367
2017-07-31,21.847259521484375
2017-08-01,22.19300651550293
2017-08-02,21.873353958129883
2017-08-03,21.866830825805664
2017-08-04,22.264768600463867
2017-08-07,22.232147216796875
2017-08-08,23.145442962646484
2017-08-09,23.334619522094727
2017-08-10,23.028017044067383
2017-08-11,23.21719741821289
2017-08-14,23.28243064880371
2017-08-15,22.962783813476562
2017-08-16,23.193195343017578
2017-08-17,22.850860595703125
2017-08-18,22.587535858154297
2017-08-21,22.71261215209961
2017-08-22,22.71261215209961
2017-08-23,22.870616912841797
2017-08-24,22.923274993896484
2017-08-25,23.226116180419922
2017-08-28,23.12735939025879
2017-08-29,22.488773345947266
2017-08-30,22.495363235473633
2017-08-31,22.752111434936523
2017-09-01,22.903535842895508
2017-09-05,22.001611709594727
2017-09-06,22.001611709594727
2017-09-07,21.863357543945312
2017-09-08,21.981863021850586
2017-09-11,22.1135311126709
2017-09-12,22.38344383239746
2017-09-13,21.75144386291504
2017-09-14,21.869937896728516
2017-09-15,21.896276473999023
2017-09-18,22.06744384765625
2017-09-19,22.284692764282227
2017-09-20,22.38344383239746
2017-09-21,22.080608367919922
2017-09-22,22.35711669921875
2017-09-25,22.304447174072266
2017-09-26,22.26494598388672
2017-09-27,22.673112869262695
2017-09-28,22.620445251464844
2017-09-29,22.936450958251953
2017-10-02,23.173442840576172
2017-10-03,23.087862014770508
2017-10-04,23.239280700683594
2017-10-05,23.035198211669922
2017-10-06,22.903535842895508
2017-10-09,22.91011619567871
2017-10-10,23.04836654663086
2017-10-11,23.002283096313477
2017-10-12,23.166868209838867
2017-10-13,23.239280700683594
2017-10-16,23.186613082885742
2017-10-17,23.12735939025879
2017-10-18,23.226116180419922
2017-10-19,23.094451904296875
2017-10-20,23.219533920288086
2017-10-23,23.153697967529297
2017-10-24,23.206369400024414
2017-10-25,22.989116668701172
2017-10-26,23.074691772460938
2017-10-27,22.72578239440918
2017-10-30,22.850860595703125
2017-10-31,22.877197265625
2017-11-01,22.73236846923828
2017-11-02,22.995698928833008
2017-11-03,22.91011619567871
2017-11-06,23.087862014770508
2017-11-07,22.771867752075195
2017-11-08,22.811365127563477
2017-11-09,23.27878189086914
2017-11-10,23.976619720458984
2017-11-13,24.384788513183594
2017-11-14,24.239952087402344
2017-11-15,24.134624481201172
2017-11-16,23.956872940063477
2017-11-17,24.32880973815918
2017-11-20,23.92365837097168
2017-11-21,24.14948081970215
2017-11-22,24.182697296142578
2017-11-24,24.375301361083984
2017-11-27,23.99672508239746
2017-11-28,24.176048278808594
2017-11-29,24.235828399658203
2017-11-30,24.753883361816406
2017-12-01,24.58783721923828
2017-12-04,23.930301666259766
2017-12-05,23.810752868652344
2017-12-06,24.14948081970215
2017-12-07,23.990081787109375
2017-12-08,23.99672508239746
2017-12-11,24.455007553100586
2017-12-12,24.355369567871094
2017-12-13,24.288959503173828
2017-12-14,24.687458038330078
2017-12-15,24.674179077148438
2017-12-18,24.84686279296875
2017-12-19,25.318429946899414
2017-12-20,25.35164451599121
2017-12-21,25.44463539123535
2017-12-22,25.5508975982666
2017-12-26,25.537616729736328
2017-12-27,25.305145263671875
2017-12-28,25.39812660217285
2017-12-29,25.41141700744629
2018-01-02,25.630590438842773
2018-01-03,25.663808822631836
2018-01-04,25.8763427734375
2018-01-05,26.361196517944336
2018-01-08,26.055667877197266
2018-01-09,26.407682418823242
2018-01-10,26.394405364990234
2018-01-11,26.58701515197754
2018-01-12,26.925743103027344
2018-01-16,26.939023971557617
2018-01-17,27.231264114379883
2018-01-18,27.038654327392578
2018-01-19,27.257831573486328
2018-01-22,27.3043270111084
2018-01-23,27.20469093322754
2018-01-24,27.211339950561523
2018-01-25,27.191410064697266
2018-01-26,27.516860961914062
2018-01-29,27.191410064697266
2018-01-30,26.367830276489258
2018-01-31,26.155298233032227
2018-02-01,26.17521858215332
2018-02-02,25.524322509765625
2018-02-05,24.52806854248047
2018-02-06,24.614404678344727
2018-02-07,23.976795196533203
2018-02-08,22.661727905273438
2018-02-09,22.661727905273438
2018-02-12,22.867618560791016
2018-02-13,23.060230255126953
2018-02-14,23.59821319580078
2018-02-15,23.805978775024414
2018-02-16,23.745662689208984
2018-02-20,23.98023223876953
2018-02-21,23.792579650878906
2018-02-22,23.578109741210938
