Date,ASH
2010-01-04,16.05184555053711
2010-01-05,15.958251953125
2010-01-06,16.227344512939453
2010-01-07,15.872453689575195
2010-01-08,15.84124755859375
2010-01-11,16.19614028930664
2010-01-12,15.802255630493164
2010-01-13,16.055740356445312
2010-01-14,15.895853042602539
2010-01-15,15.696956634521484
2010-01-19,16.028440475463867
2010-01-20,15.958251953125
2010-01-21,15.552661895751953
2010-01-22,15.096372604370117
2010-01-25,15.455167770385742
2010-01-26,16.703125
2010-01-27,16.70701789855957
2010-01-28,16.34823226928711
2010-01-29,15.759357452392578
2010-02-01,16.859121322631836
2010-02-02,17.034610748291016
2010-02-03,17.026809692382812
2010-02-04,16.356033325195312
2010-02-05,16.242938995361328
2010-02-08,15.872453689575195
2010-02-09,16.184436798095703
2010-02-10,16.18834114074707
2010-02-11,16.78501319885254
2010-02-12,17.182802200317383
2010-02-16,17.557191848754883
2010-02-17,18.082597732543945
2010-02-18,18.152912139892578
2010-02-19,18.184160232543945
2010-02-22,18.016189575195312
2010-02-23,17.695871353149414
2010-02-24,18.46151351928711
2010-02-25,18.422452926635742
2010-02-26,18.391199111938477
2010-03-01,19.160757064819336
2010-03-02,19.367795944213867
2010-03-03,19.668582916259766
2010-03-04,19.567026138305664
2010-03-05,20.00061798095703
2010-03-08,19.852176666259766
2010-03-09,19.953750610351562
2010-03-10,20.125629425048828
2010-03-11,20.24673080444336
2010-03-12,20.40688133239746
2010-03-15,20.727209091186523
2010-03-16,20.418607711791992
2010-03-17,20.94206428527832
2010-03-18,20.63736343383789
2010-03-19,19.887338638305664
2010-03-22,20.51236343383789
2010-03-23,20.777997970581055
2010-03-24,20.871753692626953
2010-03-25,20.621736526489258
2010-03-26,20.856121063232422
2010-03-29,20.96940803527832
2010-03-30,20.91861915588379
2010-03-31,20.613933563232422
2010-04-01,21.508487701416016
2010-04-05,22.301481246948242
2010-04-06,22.863994598388672
2010-04-07,22.82883644104004
2010-04-08,23.1491641998291
2010-04-09,23.524179458618164
2010-04-12,23.426515579223633
2010-04-13,23.313222885131836
2010-04-14,24.293733596801758
2010-04-15,23.883563995361328
2010-04-16,23.438230514526367
2010-04-19,23.01243782043457
2010-04-20,23.3249454498291
2010-04-21,23.4812068939209
2010-04-22,23.68433380126953
2010-04-23,24.719524383544922
2010-04-26,24.340606689453125
2010-04-27,23.172597885131836
2010-04-28,23.864025115966797
2010-04-29,24.715618133544922
2010-04-30,23.2663516998291
2010-05-03,23.739025115966797
2010-05-04,23.0827579498291
2010-05-05,22.59446144104004
2010-05-06,21.403024673461914
2010-05-07,20.840499877929688
2010-05-10,22.352258682250977
2010-05-11,22.813213348388672
2010-05-12,23.6726131439209
2010-05-13,23.500741958618164
2010-05-14,22.242887496948242
2010-05-17,21.969440460205078
2010-05-18,21.500680923461914
2010-05-19,21.19988250732422
2010-05-20,19.668582916259766
2010-05-21,20.18813133239746
2010-05-24,20.305326461791992
2010-05-25,20.23891258239746
2010-05-26,20.125629425048828
2010-05-27,21.742874145507812
2010-05-28,20.998659133911133
2010-06-01,20.003761291503906
2010-06-02,20.5521240234375
2010-06-03,20.55603790283203
2010-06-04,19.706066131591797
2010-06-07,18.758176803588867
2010-06-08,19.247785568237305
2010-06-09,19.384878158569336
2010-06-10,20.336694717407227
2010-06-11,20.783222198486328
2010-06-14,20.91248321533203
2010-06-15,21.78595542907715
2010-06-16,21.268924713134766
2010-06-17,21.48827362060547
2010-06-18,22.091476440429688
2010-06-21,22.244232177734375
2010-06-22,21.217998504638672
2010-06-23,21.257171630859375
2010-06-24,19.98025131225586
2010-06-25,20.16826629638672
2010-06-28,20.035083770751953
2010-06-29,18.90310287475586
2010-06-30,18.182382583618164
2010-07-01,17.818111419677734
2010-07-02,17.37940788269043
2010-07-06,16.913297653198242
2010-07-07,17.892532348632812
2010-07-08,18.67591667175293
2010-07-09,18.82867431640625
2010-07-12,18.55841064453125
2010-07-13,18.95793342590332
2010-07-14,19.08719253540039
2010-07-15,19.044113159179688
2010-07-16,18.205888748168945
2010-07-19,18.362564086914062
2010-07-20,18.679832458496094
2010-07-21,18.570161819458008
2010-07-22,19.38096046447754
2010-07-23,20.074251174926758
2010-07-26,20.458118438720703
2010-07-27,20.24268341064453
2010-07-28,20.152597427368164
2010-07-29,20.254432678222656
2010-07-30,19.917579650878906
2010-08-02,20.610883712768555
2010-08-03,20.2387752532959
2010-08-04,20.618715286254883
2010-08-05,20.559959411621094
2010-08-06,20.274028778076172
2010-08-09,20.5482177734375
2010-08-10,20.152597427368164
2010-08-11,19.40054702758789
2010-08-12,19.333955764770508
2010-08-13,19.228199005126953
2010-08-16,19.42013168334961
2010-08-17,19.870580673217773
2010-08-18,19.7252197265625
2010-08-19,19.167373657226562
2010-08-20,18.935583114624023
2010-08-23,18.786300659179688
2010-08-24,17.94952392578125
2010-08-25,18.024160385131836
2010-08-26,17.839521408081055
2010-08-27,18.550579071044922
2010-08-30,18.25202178955078
2010-08-31,18.25202178955078
2010-09-01,19.194869995117188
2010-09-02,19.501296997070312
2010-09-03,19.980581283569336
2010-09-07,19.218441009521484
2010-09-08,19.324506759643555
2010-09-09,19.426651000976562
2010-09-10,19.206663131713867
2010-09-13,19.8980712890625
2010-09-14,19.430580139160156
2010-09-15,19.135942459106445
2010-09-16,18.990577697753906
2010-09-17,18.452377319335938
2010-09-20,18.597728729248047
2010-09-21,17.737380981445312
2010-09-22,17.874887466430664
2010-09-23,18.14987564086914
2010-09-24,18.817724227905273
2010-09-27,18.754867553710938
2010-09-28,19.399158477783203
