Date,VEL
2020-01-17,13.510000228881836
2020-01-21,14.109999656677246
2020-01-22,14.050000190734863
2020-01-23,13.890000343322754
2020-01-24,13.640000343322754
2020-01-27,13.989999771118164
2020-01-28,13.960000038146973
2020-01-29,14.119999885559082
2020-01-30,14.25
2020-01-31,14.210000038146973
2020-02-03,13.989999771118164
2020-02-04,14.069999694824219
2020-02-05,13.779999732971191
2020-02-06,13.989999771118164
2020-02-07,13.989999771118164
2020-02-10,13.850000381469727
2020-02-11,14.170000076293945
2020-02-12,14.260000228881836
2020-02-13,14.479999542236328
2020-02-14,14.430000305175781
2020-02-18,14.380000114440918
2020-02-19,14.430000305175781
2020-02-20,14.640000343322754
2020-02-21,14.390000343322754
2020-02-24,14.050000190734863
2020-02-25,14.180000305175781
2020-02-26,14.149999618530273
2020-02-27,13.619999885559082
2020-02-28,13.399999618530273
2020-03-02,13.800000190734863
2020-03-03,13.84000015258789
2020-03-04,13.869999885559082
2020-03-05,12.699999809265137
2020-03-06,12.779999732971191
2020-03-09,11.3100004196167
2020-03-10,10.75
2020-03-11,10.15999984741211
2020-03-12,9.0
2020-03-13,9.010000228881836
2020-03-16,4.539999961853027
2020-03-17,5.0
2020-03-18,4.400000095367432
2020-03-19,5.289999961853027
2020-03-20,5.510000228881836
2020-03-23,4.789999961853027
2020-03-24,3.450000047683716
2020-03-25,5.300000190734863
2020-03-26,8.199999809265137
2020-03-27,7.829999923706055
2020-03-30,7.949999809265137
2020-03-31,7.53000020980835
2020-04-01,4.820000171661377
2020-04-02,3.5999999046325684
2020-04-03,2.4700000286102295
2020-04-06,3.2200000286102295
2020-04-07,3.359999895095825
2020-04-08,3.450000047683716
2020-04-09,3.9000000953674316
2020-04-13,3.4200000762939453
2020-04-14,3.450000047683716
2020-04-15,3.2899999618530273
2020-04-16,3.1500000953674316
2020-04-17,3.0999999046325684
2020-04-20,3.4100000858306885
2020-04-21,3.1500000953674316
2020-04-22,3.1600000858306885
2020-04-23,3.140000104904175
2020-04-24,3.0899999141693115
2020-04-27,3.4000000953674316
2020-04-28,3.559999942779541
2020-04-29,4.119999885559082
2020-04-30,3.7899999618530273
2020-05-01,3.430000066757202
2020-05-04,3.3499999046325684
2020-05-05,3.2300000190734863
2020-05-06,3.200000047683716
2020-05-07,3.1600000858306885
2020-05-08,3.0399999618530273
2020-05-11,3.140000104904175
2020-05-12,2.9600000381469727
2020-05-13,2.9000000953674316
2020-05-14,2.7100000381469727
2020-05-15,2.5299999713897705
2020-05-18,2.5
2020-05-19,2.5999999046325684
2020-05-20,3.200000047683716
2020-05-21,3.1500000953674316
2020-05-22,3.1500000953674316
2020-05-26,3.4200000762939453
2020-05-27,3.75
2020-05-28,4.159999847412109
2020-05-29,3.890000104904175
2020-06-01,3.759999990463257
2020-06-02,4.03000020980835
2020-06-03,5.099999904632568
2020-06-04,5.090000152587891
2020-06-05,6.329999923706055
2020-06-08,6.159999847412109
2020-06-09,5.699999809265137
2020-06-10,5.099999904632568
2020-06-11,4.300000190734863
2020-06-12,4.659999847412109
2020-06-15,5.03000020980835
2020-06-16,4.659999847412109
2020-06-17,4.420000076293945
2020-06-18,4.550000190734863
2020-06-19,4.03000020980835
2020-06-22,4.119999885559082
2020-06-23,4.25
2020-06-24,4.090000152587891
2020-06-25,4.0
2020-06-26,4.050000190734863
2020-06-29,3.9700000286102295
2020-06-30,3.950000047683716
2020-07-01,3.799999952316284
2020-07-02,3.740000009536743
2020-07-06,3.700000047683716
2020-07-07,3.5
2020-07-08,3.7300000190734863
2020-07-09,3.6600000858306885
2020-07-10,3.5899999141693115
2020-07-13,3.5999999046325684
2020-07-14,3.6600000858306885
2020-07-15,3.8499999046325684
2020-07-16,3.9000000953674316
2020-07-17,3.9700000286102295
2020-07-20,3.809999942779541
2020-07-21,3.7899999618530273
2020-07-22,3.799999952316284
2020-07-23,3.7799999713897705
2020-07-24,3.75
2020-07-27,3.630000114440918
2020-07-28,3.75
2020-07-29,3.9000000953674316
2020-07-30,3.8499999046325684
2020-07-31,3.7100000381469727
2020-08-03,3.6500000953674316
2020-08-04,3.609999895095825
2020-08-05,3.6600000858306885
2020-08-06,3.759999990463257
2020-08-07,3.7699999809265137
2020-08-10,3.8299999237060547
2020-08-11,4.050000190734863
2020-08-12,3.9200000762939453
2020-08-13,4.309999942779541
2020-08-14,4.099999904632568
2020-08-17,4.409999847412109
2020-08-18,4.050000190734863
2020-08-19,4.079999923706055
2020-08-20,4.21999979019165
2020-08-21,5.269999980926514
2020-08-24,6.25
2020-08-25,5.400000095367432
2020-08-26,5.329999923706055
2020-08-27,5.25
2020-08-28,5.300000190734863
2020-08-31,5.309999942779541
2020-09-01,5.050000190734863
2020-09-02,4.949999809265137
2020-09-03,4.809999942779541
2020-09-04,4.909999847412109
2020-09-08,4.860000133514404
2020-09-09,5.03000020980835
2020-09-10,5.300000190734863
2020-09-11,5.25
2020-09-14,5.289999961853027
2020-09-15,5.25
2020-09-16,5.25
2020-09-17,5.429999828338623
2020-09-18,5.369999885559082
2020-09-21,5.25
2020-09-22,4.889999866485596
2020-09-23,4.78000020980835
2020-09-24,4.710000038146973
2020-09-25,4.789999961853027
2020-09-28,4.869999885559082
2020-09-29,4.940000057220459
2020-09-30,5.019999980926514
2020-10-01,4.920000076293945
2020-10-02,5.070000171661377
2020-10-05,4.940000057220459
2020-10-06,4.78000020980835
2020-10-07,4.849999904632568
2020-10-08,4.840000152587891
2020-10-09,4.889999866485596
2020-10-12,5.039999961853027
2020-10-13,4.980000019073486
