Date,AFCG
2021-03-19,8.847883224487305
2021-03-22,8.424723625183105
2021-03-23,8.155442237854004
2021-03-24,8.078503608703613
2021-03-25,7.809220314025879
2021-03-26,7.997716903686523
2021-03-29,8.174676895141602
2021-03-30,8.009259223937988
2021-03-31,8.078503608703613
2021-04-01,8.12851333618164
2021-04-05,8.309317588806152
2021-04-06,8.274696350097656
2021-04-07,8.324705123901367
2021-04-08,8.732478141784668
2021-04-09,8.6132230758667
2021-04-12,8.840192794799805
2021-04-13,8.747864723205566
2021-04-14,8.847883224487305
2021-04-15,8.66707992553711
2021-04-16,8.151595115661621
2021-04-19,8.07465648651123
2021-04-20,8.093891143798828
2021-04-21,8.236227035522461
2021-04-22,8.343940734863281
2021-04-23,8.867118835449219
2021-04-26,8.75171184539795
2021-04-27,8.778640747070312
2021-04-28,8.836343765258789
2021-04-29,8.832496643066406
2021-04-30,8.7401704788208
2021-05-03,8.578600883483887
2021-05-04,8.44395923614502
2021-05-05,9.3095121383667
2021-05-06,8.694008827209473
2021-05-07,8.955596923828125
2021-05-10,8.370867729187012
2021-05-11,8.632458686828613
2021-05-12,8.77094554901123
2021-05-13,8.697855949401855
2021-05-14,8.720937728881836
2021-05-17,8.767099380493164
2021-05-18,8.655539512634277
2021-05-19,8.701701164245605
2021-05-20,8.75171184539795
2021-05-21,8.75171184539795
2021-05-24,8.663232803344727
2021-05-25,8.77094554901123
2021-05-26,8.705550193786621
2021-05-27,8.847883224487305
2021-05-28,8.847883224487305
2021-06-01,9.090239524841309
2021-06-02,9.32874870300293
2021-06-03,9.347983360290527
2021-06-04,9.347983360290527
2021-06-07,9.232574462890625
2021-06-08,9.413379669189453
2021-06-09,9.232574462890625
2021-06-10,9.30566692352295
2021-06-11,9.26719856262207
2021-06-14,9.3883638381958
2021-06-15,9.106945991516113
2021-06-16,8.891974449157715
2021-06-17,8.931060791015625
2021-06-18,8.614468574523926
2021-06-21,8.83725643157959
2021-06-22,8.250971794128418
2021-06-23,8.211885452270508
2021-06-24,7.977371692657471
2021-06-25,7.965647220611572
2021-06-28,8.071178436279297
2021-06-29,8.0516357421875
2021-06-30,8.071178436279297
2021-07-01,8.141532897949219
2021-07-02,8.387770652770996
2021-07-06,8.458126068115234
2021-07-07,8.493302345275879
2021-07-08,8.24315357208252
