Date,AUB
2010-01-04,7.807490825653076
2010-01-05,7.459509372711182
2010-01-06,7.5670647621154785
2010-01-07,7.788511753082275
2010-01-08,7.946682929992676
2010-01-11,7.737894058227539
2010-01-12,7.712586879730225
2010-01-13,8.054244995117188
2010-01-14,8.06689739227295
2010-01-15,8.06689739227295
2010-01-19,8.256706237792969
2010-01-20,8.041590690612793
2010-01-21,8.06689739227295
2010-01-22,8.073223114013672
2010-01-25,8.193436622619629
2010-01-26,8.06689739227295
2010-01-27,8.098530769348145
2010-01-28,8.136494636535645
2010-01-29,8.130166053771973
2010-02-01,8.231398582458496
2010-02-02,8.26936149597168
2010-02-03,8.16812801361084
2010-02-04,7.915050506591797
2010-02-05,7.9213762283325195
2010-02-08,7.864432334899902
2010-02-09,8.047918319702148
2010-02-10,7.915050506591797
2010-02-11,8.328286170959473
2010-02-12,8.353719711303711
2010-02-16,8.340999603271484
2010-02-17,8.410933494567871
2010-02-18,8.33464241027832
2010-02-19,8.404574394226074
2010-02-22,8.391858100891113
2010-02-23,8.321927070617676
2010-02-24,8.156630516052246
2010-02-25,7.984980583190918
2010-02-26,7.9531965255737305
2010-03-01,8.042196273803711
2010-03-02,8.13755989074707
2010-03-03,8.150276184082031
2010-03-04,8.385504722595215
2010-03-05,8.468149185180664
2010-03-08,8.442723274230957
2010-03-09,8.506293296813965
2010-03-10,8.353719711303711
2010-03-11,8.391858100891113
2010-03-12,8.455434799194336
2010-03-15,8.506293296813965
2010-03-16,8.51900863647461
2010-03-17,8.576228141784668
2010-03-18,8.525369644165039
2010-03-19,9.21833324432373
2010-03-22,9.122968673706055
2010-03-23,9.161112785339355
2010-03-24,9.110257148742676
2010-03-25,8.868668556213379
2010-03-26,8.862313270568848
2010-03-29,9.091180801391602
2010-03-30,9.52984619140625
2010-03-31,9.599781036376953
2010-04-01,9.154760360717773
2010-04-05,9.561637878417969
2010-04-06,9.663354873657227
2010-04-07,9.752359390258789
2010-04-08,9.69514274597168
2010-04-09,9.523491859436035
2010-04-12,9.428125381469727
2010-04-13,9.739645004272461
2010-04-14,10.165592193603516
2010-04-15,10.4008207321167
2010-04-16,10.203740119934082
2010-04-19,10.337246894836426
2010-04-20,10.502541542053223
2010-04-21,10.597902297973633
2010-04-22,11.055641174316406
2010-04-23,11.360799789428711
2010-04-26,10.928491592407227
2010-04-27,10.59154224395752
2010-04-28,10.458039283752441
2010-04-29,11.017492294311523
2010-04-30,10.667835235595703
2010-05-03,11.087430000305176
2010-05-04,10.782265663146973
2010-05-05,10.705982208251953
2010-05-06,10.140165328979492
2010-05-07,9.542560577392578
2010-05-10,10.082948684692383
2010-05-11,10.60426139831543
2010-05-12,11.074711799621582
2010-05-13,10.839485168457031
2010-05-14,10.642406463623047
2010-05-17,10.859338760375977
2010-05-18,10.782772064208984
2010-05-19,10.425472259521484
2010-05-20,9.832101821899414
2010-05-21,10.15112018585205
2010-05-24,9.640692710876465
2010-05-25,9.698112487792969
2010-05-26,9.557748794555664
2010-05-27,10.131974220275879
2010-05-28,9.940566062927246
2010-06-01,9.455657958984375
2010-06-02,9.927809715270996
2010-06-03,9.7108736038208
2010-06-04,8.887812614440918
2010-06-07,8.792108535766602
2010-06-08,8.855912208557129
2010-06-09,8.88143253326416
2010-06-10,8.932470321655273
2010-06-11,9.060079574584961
2010-06-14,8.98351764678955
2010-06-15,9.181306838989258
2010-06-16,9.028181076049805
2010-06-17,9.117501258850098
2010-06-18,9.028181076049805
2010-06-21,8.798487663269043
2010-06-22,8.587930679321289
2010-06-23,8.383768081665039
2010-06-24,7.9818034172058105
2010-06-25,8.677260398864746
2010-06-28,8.332719802856445
