Date,ESAB
2022-03-29,49.436195373535156
2022-03-30,49.436195373535156
2022-03-31,49.436195373535156
2022-04-01,49.436195373535156
2022-04-04,49.436195373535156
2022-04-05,44.37392807006836
2022-04-06,44.54201126098633
2022-04-07,45.24399948120117
2022-04-08,46.38103485107422
2022-04-11,48.180519104003906
2022-04-12,51.81902313232422
2022-04-13,54.834625244140625
2022-04-14,54.280941009521484
2022-04-18,53.53940200805664
2022-04-19,52.916500091552734
2022-04-20,53.1142463684082
2022-04-21,51.097251892089844
2022-04-22,50.919281005859375
2022-04-25,49.574615478515625
2022-04-26,48.220069885253906
2022-04-27,46.50957489013672
2022-04-28,48.417808532714844
2022-04-29,46.47003173828125
2022-05-02,47.666378021240234
2022-05-03,49.55484390258789
2022-05-04,50.375492095947266
2022-05-05,48.31893539428711
2022-05-06,47.705928802490234
2022-05-09,45.60982894897461
2022-05-10,47.4587516784668
2022-05-11,44.9473876953125
2022-05-12,46.80619430541992
2022-05-13,49.68337631225586
2022-05-16,49.30765914916992
2022-05-17,50.35570526123047
2022-05-18,47.5872802734375
2022-05-19,46.262393951416016
2022-05-20,46.964385986328125
2022-05-23,48.78363800048828
2022-05-24,48.36836624145508
2022-05-25,48.299156188964844
2022-05-26,48.89239501953125
2022-05-27,49.50541305541992
2022-05-31,49.436195373535156
2022-06-01,49.27800369262695
2022-06-02,50.84018325805664
2022-06-03,48.62543869018555
2022-06-06,50.66222381591797
2022-06-07,49.643829345703125
2022-06-08,48.84296417236328
2022-06-09,47.8838996887207
2022-06-10,45.12535858154297
2022-06-13,43.96855163574219
2022-06-14,44.50245666503906
2022-06-15,44.7002067565918
2022-06-16,43.790584564208984
2022-06-17,42.940284729003906
2022-06-21,43.17757034301758
2022-06-22,42.979827880859375
2022-06-23,42.851287841796875
2022-06-24,45.12535858154297
2022-06-27,45.847129821777344
2022-06-28,43.17757034301758
2022-06-29,42.59422302246094
2022-06-30,43.30693817138672
2022-07-01,43.376216888427734
2022-07-05,40.9609375
2022-07-06,40.84215545654297
