Date,CR
2023-03-29,70.88707733154297
2023-03-30,72.85614776611328
2023-03-31,73.4468994140625
2023-04-03,73.52564239501953
2023-04-04,77.77887725830078
2023-04-05,76.5383529663086
2023-04-06,78.84220123291016
2023-04-10,77.12906646728516
2023-04-11,78.76339721679688
2023-04-12,78.93079376220703
2023-04-13,78.50743103027344
2023-04-14,78.80279541015625
2023-04-17,79.89564514160156
2023-04-18,77.42445373535156
2023-04-19,77.58196258544922
2023-04-20,76.07560729980469
2023-04-21,75.08123779296875
2023-04-24,72.64939880371094
2023-04-25,72.80693817138672
2023-04-26,70.29634857177734
2023-04-27,71.2808837890625
2023-04-28,70.95600891113281
2023-05-01,71.36949157714844
2023-05-02,70.12899780273438
2023-05-03,69.4594955444336
2023-05-04,67.41163635253906
2023-05-05,70.62124633789062
2023-05-08,73.7619400024414
2023-05-09,75.3273696899414
2023-05-10,74.83509063720703
2023-05-11,73.4665756225586
2023-05-12,74.03760528564453
2023-05-15,75.63256072998047
2023-05-16,74.19514465332031
2023-05-17,73.28935241699219
2023-05-18,73.49610900878906
2023-05-19,73.2992172241211
2023-05-22,73.4665756225586
2023-05-23,71.72392272949219
2023-05-24,73.30905151367188
2023-05-25,74.45111846923828
2023-05-26,74.31327819824219
2023-05-30,74.71791076660156
2023-05-31,71.70789337158203
2023-06-01,72.37897491455078
2023-06-02,76.0008773803711
2023-06-05,74.10603332519531
2023-06-06,76.95816802978516
2023-06-07,79.27739715576172
2023-06-08,78.82340240478516
2023-06-09,79.63265991210938
2023-06-12,78.18191528320312
2023-06-13,78.1523208618164
2023-06-14,76.87921905517578
2023-06-15,78.458251953125
2023-06-16,79.8695068359375
2023-06-20,79.11946868896484
2023-06-21,79.71161651611328
2023-06-22,79.67213439941406
2023-06-23,81.66565704345703
2023-06-26,81.08338928222656
2023-06-27,82.31702423095703
2023-06-28,83.4716796875
2023-06-29,85.8007583618164
2023-06-30,87.95217895507812
2023-07-03,86.9948959350586
2023-07-05,86.40277099609375
