Date,AGNC
2010-01-04,3.0943596363067627
2010-01-05,3.083932638168335
2010-01-06,3.046860933303833
2010-01-07,3.0318000316619873
2010-01-08,3.0700299739837646
2010-01-11,3.125641107559204
2010-01-12,3.114055871963501
2010-01-13,3.110579490661621
2010-01-14,3.087407350540161
2010-01-15,3.052652597427368
2010-01-19,3.0538108348846436
2010-01-20,3.044543981552124
2010-01-21,3.0086307525634766
2010-01-22,3.026007652282715
2010-01-25,3.045703172683716
2010-01-26,3.032958984375
2010-01-27,3.0630812644958496
2010-01-28,3.0885679721832275
2010-01-29,3.0920422077178955
2010-02-01,3.0491786003112793
2010-02-02,3.0885679721832275
2010-02-03,3.129117012023926
2010-02-04,3.076982259750366
2010-02-05,3.090886354446411
2010-02-08,3.153442859649658
2010-02-09,3.1210060119628906
2010-02-10,3.061923027038574
2010-02-11,2.9703996181488037
2010-02-12,2.9379632472991943
2010-02-16,2.9622890949249268
2010-02-17,2.8893043994903564
2010-02-18,2.8997321128845215
2010-02-19,2.8730859756469727
2010-02-22,2.8823540210723877
2010-02-23,2.891622543334961
2010-02-24,2.896256923675537
2010-02-25,2.868452548980713
2010-02-26,2.9333276748657227
2010-03-01,3.022531032562256
2010-03-02,3.068873643875122
2010-03-03,3.079299211502075
2010-03-04,3.1163723468780518
2010-03-05,3.17545485496521
2010-03-08,3.1221635341644287
2010-03-09,3.087407350540161
2010-03-10,3.0897254943847656
2010-03-11,3.0596048831939697
2010-03-12,3.052652597427368
2010-03-15,3.101311445236206
2010-03-16,3.163872003555298
2010-03-17,3.268137216567993
2010-03-18,3.2449657917022705
2010-03-19,3.220637559890747
2010-03-22,3.2889859676361084
2010-03-23,3.2553904056549072
2010-03-24,3.2577104568481445
2010-03-25,3.2588672637939453
2010-03-26,3.2090513706207275
2010-03-29,3.174886703491211
2010-03-30,3.1395022869110107
2010-03-31,3.1236379146575928
2010-04-01,3.1870880126953125
2010-04-05,3.1870880126953125
2010-04-06,3.2041702270507812
2010-04-07,3.212712526321411
2010-04-08,3.2053909301757812
2010-04-09,3.2041702270507812
2010-04-12,3.1858701705932617
2010-04-13,3.218813896179199
2010-04-14,3.207832098007202
2010-04-15,3.1822073459625244
2010-04-16,3.188309669494629
2010-04-19,3.184647798538208
2010-04-20,3.2200329303741455
2010-04-21,3.2444369792938232
2010-04-22,3.2554190158843994
2010-04-23,3.2944648265838623
2010-04-26,3.3188674449920654
2010-04-27,3.3371691703796387
2010-04-28,3.3713343143463135
2010-04-29,3.412821054458618
2010-04-30,3.3566927909851074
2010-05-03,3.3908581733703613
2010-05-04,3.346930503845215
2010-05-05,3.2969040870666504
2010-05-06,3.1639060974121094
2010-05-07,3.2371158599853516
2010-05-10,3.3554725646972656
2010-05-11,3.372553586959839
2010-05-12,3.40671968460083
2010-05-13,3.3603551387786865
2010-05-14,3.117537021636963
2010-05-17,3.154144048690796
2010-05-18,3.133399724960327
2010-05-19,3.0955755710601807
2010-05-20,3.039447546005249
2010-05-21,3.106558322906494
2010-05-24,3.117537021636963
2010-05-25,3.101677179336548
2010-05-26,3.0919158458709717
2010-05-27,3.1321794986724854
2010-05-28,3.2041702270507812
2010-06-01,3.2444369792938232
2010-06-02,3.315206289291382
2010-06-03,3.2688381671905518
2010-06-04,3.2334539890289307
2010-06-07,3.2261340618133545
2010-06-08,3.2432162761688232
2010-06-09,3.254197359085083
2010-06-10,3.3188674449920654
2010-06-11,3.3762154579162598
2010-06-14,3.4140398502349854
2010-06-15,3.4140398502349854
2010-06-16,3.429901123046875
2010-06-17,3.4567458629608154
2010-06-18,3.4530858993530273
2010-06-21,3.4738261699676514
2010-06-22,3.4567458629608154
2010-06-23,3.4677274227142334
2010-06-24,3.470167875289917
2010-06-25,3.534837245941162
2010-06-28,3.4579083919525146
2010-06-29,3.4091880321502686
2010-06-30,3.387392520904541
2010-07-01,3.304054021835327
2010-07-02,3.295079469680786
2010-07-06,3.3296945095062256
2010-07-07,3.439960241317749
2010-07-08,3.5053465366363525
2010-07-09,3.5181689262390137
2010-07-12,3.541248083114624
2010-07-13,3.5797107219696045
2010-07-14,3.487398624420166
2010-07-15,3.466883420944214
2010-07-16,3.4579083919525146
2010-07-19,3.4527812004089355
2010-07-20,3.529710054397583
2010-07-21,3.4938111305236816
2010-07-22,3.5156052112579346
2010-07-23,3.5668914318084717
2010-07-26,3.609201192855835
2010-07-27,3.602792263031006
2010-07-28,3.595097541809082
2010-07-29,3.4976541996002197
2010-07-30,3.528426170349121
2010-08-02,3.5540685653686523
2010-08-03,3.570737361907959
2010-08-04,3.5861237049102783
2010-08-05,3.5668914318084717
2010-08-06,3.600226879119873
2010-08-09,3.6438190937042236
2010-08-10,3.622022867202759
