Date,TER
2010-01-04,10.096114158630371
2010-01-05,10.132969856262207
2010-01-06,10.040847778320312
2010-01-07,10.096114158630371
2010-01-08,10.20665454864502
2010-01-11,10.611978530883789
2010-01-12,10.18823528289795
2010-01-13,10.050060272216797
2010-01-14,9.948728561401367
2010-01-15,9.515771865844727
2010-01-19,9.727646827697754
2010-01-20,9.580259323120117
2010-01-21,9.607890129089355
2010-01-22,8.990705490112305
2010-01-25,9.12887954711914
2010-01-26,9.322330474853516
2010-01-27,9.451288223266602
2010-01-28,8.741988182067871
2010-01-29,8.603808403015137
2010-02-01,8.88016128540039
2010-02-02,9.02755069732666
2010-02-03,8.861737251281738
2010-02-04,8.35508918762207
2010-02-05,8.566960334777832
2010-02-08,8.520902633666992
2010-02-09,8.585383415222168
2010-02-10,8.622230529785156
2010-02-11,8.953851699829102
2010-02-12,9.036760330200195
2010-02-16,9.322330474853516
2010-02-17,9.211785316467285
2010-02-18,9.184149742126465
2010-02-19,9.276268005371094
2010-02-22,9.248634338378906
2010-02-23,8.88016128540039
2010-02-24,9.193359375
2010-02-25,9.239418983459473
2010-02-26,9.202571868896484
2010-03-01,9.57104778289795
2010-03-02,9.755279541015625
2010-03-03,9.690799713134766
2010-03-04,9.727646827697754
2010-03-05,9.856607437133789
2010-03-08,9.792126655578613
2010-03-09,9.9579439163208
2010-03-10,10.031635284423828
2010-03-11,9.819764137268066
2010-03-12,9.663162231445312
2010-03-15,9.386809349060059
2010-03-16,9.782917976379395
2010-03-17,10.059270858764648
2010-03-18,9.9579439163208
2010-03-19,9.819764137268066
2010-03-22,10.234293937683105
2010-03-23,10.575132369995117
2010-03-24,10.215867042541504
2010-03-25,10.307989120483398
2010-03-26,10.243504524230957
2010-03-29,10.243504524230957
2010-03-30,10.354046821594238
2010-03-31,10.289565086364746
2010-04-01,10.354046821594238
2010-04-05,10.565917015075684
2010-04-06,10.5567045211792
2010-04-07,10.704094886779785
2010-04-08,10.280352592468262
2010-04-09,10.20665454864502
2010-04-12,10.492222785949707
2010-04-13,10.529068946838379
2010-04-14,11.330493927001953
2010-04-15,11.229167938232422
2010-04-16,11.100199699401855
2010-04-19,10.989660263061523
2010-04-20,11.183106422424316
2010-04-21,11.219956398010254
2010-04-22,12.030595779418945
2010-04-23,11.901627540588379
2010-04-26,12.067439079284668
2010-04-27,11.606846809387207
2010-04-28,11.570001602172852
2010-04-29,11.698966026306152
2010-04-30,11.266014099121094
2010-05-03,11.956899642944336
2010-05-04,11.155472755432129
2010-05-05,10.943602561950684
2010-05-06,10.409317970275879
2010-05-07,10.142176628112793
2010-05-10,10.934386253356934
2010-05-11,10.74094295501709
2010-05-12,11.229167938232422
2010-05-13,10.805425643920898
2010-05-14,10.307989120483398
2010-05-17,10.427739143371582
2010-05-18,9.985576629638672
2010-05-19,10.040847778320312
2010-05-20,9.709221839904785
2010-05-21,10.003999710083008
2010-05-24,9.865821838378906
2010-05-25,9.875033378601074
2010-05-26,9.875033378601074
2010-05-27,10.427739143371582
2010-05-28,10.114542007446289
2010-06-01,9.700008392333984
2010-06-02,10.040847778320312
2010-06-03,10.335625648498535
2010-06-04,9.681585311889648
2010-06-07,9.248634338378906
2010-06-08,9.156512260437012
2010-06-09,9.101240158081055
2010-06-10,9.469719886779785
2010-06-11,9.709221839904785
2010-06-14,9.810551643371582
2010-06-15,10.842272758483887
2010-06-16,10.823848724365234
2010-06-17,10.833057403564453
2010-06-18,10.869902610778809
2010-06-21,10.685672760009766
2010-06-22,10.436951637268066
2010-06-23,10.39089298248291
2010-06-24,9.911882400512695
2010-06-25,9.801342964172363
2010-06-28,9.930303573608398
2010-06-29,9.165722846984863
2010-06-30,8.981492042541504
2010-07-01,8.797255516052246
2010-07-02,8.732773780822754
2010-07-06,8.741988182067871
2010-07-07,9.147303581237793
2010-07-08,9.193359375
2010-07-09,9.42365550994873
2010-07-12,9.451288223266602
2010-07-13,9.847396850585938
2010-07-14,9.552619934082031
2010-07-15,9.442078590393066
2010-07-16,9.147303581237793
2010-07-19,9.248634338378906
2010-07-20,9.377594947814941
2010-07-21,8.999916076660156
2010-07-22,9.340749740600586
2010-07-23,9.34996223449707
2010-07-26,9.801342964172363
2010-07-27,9.67237663269043
2010-07-28,9.405232429504395
2010-07-29,10.197447776794434
2010-07-30,9.911882400512695
2010-08-02,10.363259315490723
2010-08-03,10.179022789001465
2010-08-04,10.234293937683105
2010-08-05,10.271142959594727
2010-08-06,9.985576629638672
2010-08-09,10.031635284423828
2010-08-10,9.626315116882324
2010-08-11,9.101240158081055
2010-08-12,8.806468963623047
2010-08-13,8.85252571105957
2010-08-16,8.751199722290039
2010-08-17,8.93542766571045
2010-08-18,9.0828218460083
2010-08-19,8.917008399963379
2010-08-20,8.741988182067871
2010-08-23,8.72356128692627
2010-08-24,8.437994003295898
2010-08-25,8.585383415222168
2010-08-26,8.345879554748535
2010-08-27,8.585383415222168
2010-08-30,8.585383415222168
2010-08-31,8.272183418273926
2010-09-01,8.530112266540527
2010-09-02,9.018339157104492
2010-09-03,9.193359375
2010-09-07,8.88016128540039
2010-09-08,8.566960334777832
2010-09-09,8.548538208007812
2010-09-10,8.788043022155762
2010-09-13,9.257844924926758
2010-09-14,9.156512260437012
2010-09-15,9.331543922424316
2010-09-16,9.57104778289795
2010-09-17,9.488139152526855
2010-09-20,9.607890129089355
2010-09-21,9.617104530334473
2010-09-22,9.589468002319336
2010-09-23,9.598681449890137
2010-09-24,10.179022789001465
2010-09-27,10.271142959594727
2010-09-28,10.501435279846191
