Date,LPG
2014-05-08,8.714138984680176
2014-05-09,8.882437705993652
2014-05-12,8.929187774658203
2014-05-13,8.910486221313477
2014-05-14,8.910486221313477
2014-05-15,8.672062873840332
2014-05-16,8.882437705993652
2014-05-19,8.915162086486816
2014-05-20,8.947885513305664
2014-05-21,8.91983699798584
2014-05-22,9.214359283447266
2014-05-23,9.186309814453125
2014-05-27,9.186309814453125
2014-05-28,9.209685325622559
2014-05-29,9.345259666442871
2014-05-30,9.494858741760254
2014-06-02,9.527584075927734
2014-06-03,9.64913272857666
2014-06-04,9.597708702087402
2014-06-05,9.62108325958252
2014-06-06,10.065205574035645
2014-06-09,9.737956047058105
2014-06-10,10.135329246520996
2014-06-11,10.191429138183594
2014-06-12,10.168052673339844
2014-06-13,10.111954689025879
2014-06-16,9.691205978393555
2014-06-17,9.887555122375488
2014-06-18,10.322327613830566
2014-06-19,10.448554039001465
2014-06-20,10.612174034118652
2014-06-23,10.715023040771484
2014-06-24,10.906698226928711
2014-06-25,10.542049407958984
2014-06-26,10.967473030090332
2014-06-27,10.794499397277832
2014-06-30,10.747748374938965
2014-07-01,10.841248512268066
2014-07-02,10.649575233459473
2014-07-03,10.972146987915039
2014-07-07,10.453226089477539
2014-07-08,10.602825164794922
2014-07-09,10.579451560974121
2014-07-10,10.682297706604004
2014-07-11,10.607501983642578
2014-07-14,10.602825164794922
2014-07-15,10.50932502746582
2014-07-16,10.406476020812988
2014-07-17,10.233502388000488
2014-07-18,10.294278144836426
2014-07-21,10.093255996704102
2014-07-22,10.219478607177734
2014-07-23,10.331679344177246
2014-07-24,10.378429412841797
2014-07-25,10.35037612915039
2014-07-28,10.079229354858398
2014-07-29,10.12597942352295
2014-07-30,9.766006469726562
2014-07-31,9.382658958435059
2014-08-01,9.597708702087402
2014-08-04,9.60705852508545
2014-08-05,9.452781677246094
2014-08-06,9.237735748291016
2014-08-07,9.13021183013916
2014-08-08,9.176961898803711
2014-08-11,9.176961898803711
2014-08-12,8.97593879699707
2014-08-13,9.158260345458984
2014-08-14,9.195661544799805
2014-08-15,9.251760482788086
2014-08-18,9.26578426361084
2014-08-19,9.24708366394043
2014-08-20,9.195661544799805
2014-08-21,9.228384971618652
2014-08-22,9.214359283447266
2014-08-25,9.074110984802246
2014-08-26,9.1348876953125
2014-08-27,9.13021183013916
2014-08-28,9.144234657287598
