Date,CFFN
2010-01-04,4.98468017578125
2010-01-05,4.9799418449401855
2010-01-06,4.96887731552124
2010-01-07,4.972039699554443
2010-01-08,4.964141368865967
2010-01-11,4.937280178070068
2010-01-12,4.897782325744629
2010-01-13,4.93254280090332
2010-01-14,5.027337551116943
2010-01-15,5.039977073669434
2010-01-19,5.081052780151367
2010-01-20,5.1316118240356445
2010-01-21,5.167949676513672
2010-01-22,5.134772777557373
2010-01-25,5.163211345672607
2010-01-26,5.160050392150879
2010-01-27,5.172689437866211
2010-01-28,5.1711106300354
2010-01-29,5.153731822967529
2010-02-01,5.153731822967529
2010-02-02,5.179010391235352
2010-02-03,5.22393274307251
2010-02-04,5.238375663757324
2010-02-05,5.360307693481445
2010-02-08,5.427692413330078
2010-02-09,5.382771015167236
2010-02-10,5.374748706817627
2010-02-11,5.402022838592529
2010-02-12,5.397206783294678
2010-02-16,5.454970359802246
2010-02-17,5.472615718841553
2010-02-18,5.507913112640381
2010-02-19,5.527163982391357
2010-02-22,5.564067363739014
2010-02-23,5.591341495513916
2010-02-24,5.607386589050293
2010-02-25,5.592944622039795
2010-02-26,5.554441928863525
2010-03-01,5.618617534637451
2010-03-02,5.666747570037842
2010-03-03,5.647496223449707
2010-03-04,5.60899019241333
2010-03-05,5.631453037261963
2010-03-08,5.658727645874023
2010-03-09,5.663538455963135
2010-03-10,5.674770832061768
2010-03-11,5.74376106262207
2010-03-12,5.788680553436279
2010-03-15,5.7934956550598145
2010-03-16,5.799915790557861
2010-03-17,5.907408237457275
2010-03-18,5.912223815917969
2010-03-19,5.990837574005127
2010-03-22,6.103146553039551
2010-03-23,6.091915130615234
2010-03-24,6.080684185028076
2010-03-25,6.075870513916016
2010-03-26,6.046994686126709
2010-03-29,6.038969039916992
2010-03-30,6.027740001678467
2010-03-31,6.010092258453369
2010-04-01,6.013300895690918
2010-04-05,6.083892345428467
2010-04-06,6.114376068115234
2010-04-07,6.106356620788574
2010-04-08,6.09512186050415
2010-04-09,6.096726894378662
2010-04-12,6.04538631439209
2010-04-13,6.04057502746582
2010-04-14,6.096726894378662
2010-04-15,6.091915130615234
2010-04-16,6.021320819854736
2010-04-19,6.058223247528076
2010-04-20,6.104752063751221
2010-04-21,6.124001979827881
2010-04-22,6.170529842376709
2010-04-23,6.132023334503174
2010-04-26,6.090312957763672
2010-04-27,6.011697769165039
2010-04-28,6.010092258453369
2010-04-29,6.099936485290527
2010-04-30,6.046994686126709
2010-05-03,6.146463871002197
2010-05-04,6.115981578826904
2010-05-05,6.028191566467285
2010-05-06,5.5112128257751465
2010-05-07,5.571362018585205
2010-05-10,5.572988986968994
2010-05-11,5.566483974456787
2010-05-12,5.563234806060791
2010-05-13,5.470568656921387
2010-05-14,5.428299903869629
2010-05-17,5.369773864746094
2010-05-18,5.3210015296936035
2010-05-19,5.325878143310547
2010-05-20,5.130792140960693
2010-05-21,5.294990062713623
2010-05-24,5.1893181800842285
2010-05-25,5.190945148468018
2010-05-26,5.182815074920654
2010-05-27,5.255972385406494
2010-05-28,5.2023234367370605
2010-06-01,5.103153705596924
2010-06-02,5.187691688537598
2010-06-03,5.156802177429199
2010-06-04,5.090146541595459
2010-06-07,5.072264671325684
2010-06-08,5.293363571166992
2010-06-09,5.382779598236084
2010-06-10,5.486824989318848
2010-06-11,5.546975135803223
2010-06-14,5.530720233917236
