Date,FCFS
2010-01-04,19.88035011291504
2010-01-05,19.161882400512695
2010-01-06,19.004173278808594
2010-01-07,19.310836791992188
2010-01-08,19.05674171447754
2010-01-11,19.231977462768555
2010-01-12,19.994247436523438
2010-01-13,20.0292911529541
2010-01-14,20.151960372924805
2010-01-15,20.143198013305664
2010-01-19,20.204526901245117
2010-01-20,20.143198013305664
2010-01-21,19.889110565185547
2010-01-22,19.22321891784668
2010-01-25,19.11806869506836
2010-01-26,19.10055160522461
2010-01-27,20.35347557067871
2010-01-28,19.941679000854492
2010-01-29,20.003007888793945
2010-02-01,19.72262954711914
2010-02-02,19.196924209594727
2010-02-03,18.811410903930664
2010-02-04,18.495988845825195
2010-02-05,18.30323028564453
2010-02-08,18.084190368652344
2010-02-09,18.452177047729492
2010-02-10,18.63617706298828
2010-02-11,18.88150978088379
2010-02-12,18.618656158447266
2010-02-16,18.618656158447266
2010-02-17,18.653701782226562
2010-02-18,18.986648559570312
2010-02-19,18.776365280151367
2010-02-22,18.75884437561035
2010-02-23,18.618656158447266
2010-02-24,18.67998695373535
2010-02-25,18.618656158447266
2010-02-26,18.592369079589844
2010-03-01,19.240739822387695
2010-03-02,19.337120056152344
2010-03-03,19.05674171447754
2010-03-04,19.258262634277344
2010-03-05,19.52987289428711
2010-03-08,19.468542098999023
2010-03-09,19.258262634277344
2010-03-10,19.240739822387695
2010-03-11,19.240739822387695
2010-03-12,19.170642852783203
2010-03-15,19.30207061767578
2010-03-16,19.363399505615234
2010-03-17,19.30207061767578
2010-03-18,19.486064910888672
2010-03-19,19.407209396362305
2010-03-22,19.083026885986328
2010-03-23,18.688745498657227
2010-03-24,18.54856300354004
2010-03-25,18.513517379760742
2010-03-26,18.75884437561035
2010-03-29,19.284543991088867
2010-03-30,18.820178985595703
2010-03-31,18.93408203125
2010-04-01,18.916553497314453
2010-04-05,19.231977462768555
2010-04-06,19.310836791992188
2010-04-07,18.750078201293945
2010-04-08,18.82893943786621
2010-04-09,19.205692291259766
2010-04-12,19.398448944091797
2010-04-13,19.486064910888672
2010-04-14,19.9504337310791
2010-04-15,20.204526901245117
2010-04-16,20.143198013305664
2010-04-19,20.248334884643555
2010-04-20,20.60756492614746
2010-04-21,20.703948974609375
2010-04-22,20.546234130859375
2010-04-23,20.581281661987305
2010-04-26,20.265851974487305
2010-04-27,20.011764526367188
2010-04-28,20.073104858398438
2010-04-29,20.151960372924805
2010-04-30,19.32836151123047
2010-05-03,19.801485061645508
2010-05-04,18.688745498657227
2010-05-05,18.627412796020508
2010-05-06,18.50475311279297
2010-05-07,17.99657440185547
2010-05-10,18.64494514465332
2010-05-11,18.977880477905273
2010-05-12,19.372159957885742
2010-05-13,19.21445655822754
2010-05-14,18.820178985595703
2010-05-17,19.14435577392578
2010-05-18,18.72378921508789
2010-05-19,18.942838668823242
2010-05-20,18.276948928833008
2010-05-21,18.329519271850586
2010-05-24,18.057905197143555
