Date,LMAT
2010-01-04,4.1838908195495605
2010-01-05,4.267905235290527
2010-01-06,4.293110370635986
2010-01-07,4.234299182891846
2010-01-08,4.2847065925598145
2010-01-11,4.2090959548950195
2010-01-12,4.192292213439941
2010-01-13,4.259504318237305
2010-01-14,4.251102447509766
2010-01-15,4.276305198669434
2010-01-19,4.141885757446289
2010-01-20,4.074673652648926
2010-01-21,4.066271781921387
2010-01-22,4.032667636871338
2010-01-25,4.015863418579102
2010-01-26,3.9822568893432617
2010-01-27,3.931849956512451
2010-01-28,3.898245096206665
2010-01-29,3.9066457748413086
2010-02-01,3.931849956512451
2010-02-02,3.9066457748413086
2010-02-03,3.940251111984253
2010-02-04,3.9906585216522217
2010-02-05,3.9822568893432617
2010-02-08,3.940251111984253
2010-02-09,4.066271781921387
2010-02-10,3.940251111984253
2010-02-11,3.9822568893432617
2010-02-12,4.007462978363037
2010-02-16,3.9906585216522217
2010-02-17,3.931849956512451
2010-02-18,3.931849956512451
2010-02-19,4.007462978363037
2010-02-22,3.931849956512451
2010-02-23,3.948652744293213
2010-02-24,3.9234485626220703
2010-02-25,3.948652744293213
2010-02-26,4.066271781921387
2010-03-01,4.116682052612305
2010-03-02,4.099874973297119
2010-03-03,4.175490856170654
2010-03-04,4.099874973297119
2010-03-05,4.158686637878418
2010-03-08,4.041067600250244
2010-03-09,3.948652744293213
2010-03-10,3.9570531845092773
2010-03-11,3.9234485626220703
2010-03-12,3.973856210708618
2010-03-15,3.9906585216522217
2010-03-16,3.9654552936553955
2010-03-17,3.898245096206665
2010-03-18,3.9066457748413086
2010-03-19,3.9066457748413086
2010-03-22,3.881441831588745
2010-03-23,3.948652744293213
2010-03-24,3.940251111984253
2010-03-25,3.915048360824585
2010-03-26,3.7470176219940186
2010-03-29,3.713414192199707
2010-03-30,3.8226311206817627
2010-03-31,3.780625820159912
2010-04-01,3.780625820159912
2010-04-05,3.915048360824585
2010-04-06,3.881441831588745
2010-04-07,3.873039960861206
2010-04-08,3.873039960861206
2010-04-09,3.873039960861206
2010-04-12,3.9570531845092773
2010-04-13,3.9654552936553955
2010-04-14,3.973856210708618
2010-04-15,3.9822568893432617
2010-04-16,3.9822568893432617
2010-04-19,3.9906585216522217
2010-04-20,3.9906585216522217
2010-04-21,3.973856210708618
2010-04-22,4.015863418579102
2010-04-23,4.041067600250244
2010-04-26,4.066271781921387
2010-04-27,4.074673652648926
2010-04-28,4.091476917266846
2010-04-29,4.1838908195495605
2010-04-30,4.150285243988037
2010-05-03,4.419130325317383
2010-05-04,4.3351149559021
2010-05-05,4.200695037841797
2010-05-06,4.309912204742432
