Date,HY
2012-10-01,30.108619689941406
2012-10-02,32.137176513671875
2012-10-03,31.238082885742188
2012-10-04,30.019474029541016
2012-10-05,30.168073654174805
2012-10-08,29.21696662902832
2012-10-09,28.303007125854492
2012-10-10,29.0609188079834
2012-10-11,28.971750259399414
2012-10-12,29.343280792236328
2012-10-15,30.316699981689453
2012-10-16,30.234962463378906
2012-10-17,31.05974578857422
2012-10-18,31.356958389282227
2012-10-19,30.561885833740234
2012-10-22,30.279541015625
2012-10-23,29.558774948120117
2012-10-24,29.37299919128418
2012-10-25,29.633079528808594
2012-10-26,29.358144760131836
2012-10-31,30.524744033813477
2012-11-01,31.847381591796875
2012-11-02,31.683914184570312
2012-11-05,32.48641586303711
2012-11-06,32.62015914916992
2012-11-07,31.6021671295166
2012-11-08,31.61704444885254
2012-11-09,31.4907169342041
2012-11-12,32.21146774291992
2012-11-13,32.09257507324219
2012-11-14,32.14461135864258
2012-11-15,31.000295639038086
2012-11-16,30.651063919067383
2012-11-19,30.83681869506836
2012-11-20,30.94085121154785
2012-11-21,30.524744033813477
2012-11-23,30.4504337310791
2012-11-26,30.3909969329834
2012-11-27,30.101198196411133
2012-11-28,30.131101608276367
2012-11-29,31.050750732421875
2012-11-30,31.01335334777832
2012-12-03,31.66383171081543
2012-12-04,31.843284606933594
2012-12-05,32.80028533935547
2012-12-06,32.508697509765625
2012-12-07,34.161041259765625
2012-12-10,34.676944732666016
2012-12-11,34.826473236083984
2012-12-12,34.078800201416016
2012-12-13,32.89748764038086
2012-12-14,32.77787780761719
2012-12-17,33.89936447143555
2012-12-18,34.12367248535156
2012-12-19,35.192832946777344
2012-12-20,35.02833938598633
2012-12-21,35.02833938598633
2012-12-24,35.790977478027344
2012-12-26,36.06761169433594
2012-12-27,36.105003356933594
2012-12-28,36.105003356933594
2012-12-31,36.48630142211914
2013-01-02,37.62275695800781
2013-01-03,38.205936431884766
2013-01-04,38.3480110168457
2013-01-07,37.076969146728516
2013-01-08,38.08633041381836
