Date,L
2010-01-04,34.18782043457031
2010-01-05,34.37174606323242
2010-01-06,34.610801696777344
2010-01-07,34.86827850341797
2010-01-08,34.8406982421875
2010-01-11,34.86827850341797
2010-01-12,34.592411041259766
2010-01-13,34.86827850341797
2010-01-14,34.859066009521484
2010-01-15,34.215415954589844
2010-01-19,35.088951110839844
2010-01-20,34.574031829833984
2010-01-21,34.197044372558594
2010-01-22,32.854530334472656
2010-01-25,33.18556594848633
2010-01-26,33.13957214355469
2010-01-27,33.452205657958984
2010-01-28,33.038448333740234
2010-01-29,32.89131164550781
2010-02-01,33.47981262207031
2010-02-02,34.07749938964844
2010-02-03,33.68209457397461
2010-02-04,32.48673629760742
2010-02-05,32.52348709106445
2010-02-08,31.962583541870117
2010-02-09,32.38555908203125
2010-02-10,32.21087646484375
2010-02-11,32.37638854980469
2010-02-12,32.33958435058594
2010-02-16,33.213138580322266
2010-02-17,33.259132385253906
2010-02-18,33.507389068603516
2010-02-19,33.608524322509766
2010-02-22,33.746456146240234
2010-02-23,33.15796661376953
2010-02-24,33.67287826538086
2010-02-25,33.76777267456055
2010-02-26,33.583553314208984
2010-03-01,34.09938430786133
2010-03-02,34.255943298339844
2010-03-03,34.12700271606445
2010-03-04,34.209896087646484
2010-03-05,34.541500091552734
2010-03-08,34.57835006713867
2010-03-09,34.486244201660156
2010-03-10,34.56913757324219
2010-03-11,34.725711822509766
2010-03-12,34.5967903137207
2010-03-15,34.449405670166016
2010-03-16,34.65201950073242
2010-03-17,34.633602142333984
2010-03-18,34.495452880859375
2010-03-19,34.23754119873047
2010-03-22,34.209896087646484
2010-03-23,34.51387023925781
2010-03-24,34.31123733520508
2010-03-25,34.17306137084961
2010-03-26,34.3020133972168
2010-03-29,34.41254806518555
2010-03-30,34.29280090332031
2010-03-31,34.33885955810547
2010-04-01,34.882320404052734
2010-04-05,35.407352447509766
2010-04-06,35.25996398925781
2010-04-07,35.057315826416016
2010-04-08,35.03889083862305
2010-04-09,35.407352447509766
2010-04-12,35.42576217651367
2010-04-13,35.462608337402344
2010-04-14,35.85865783691406
2010-04-15,35.74815368652344
2010-04-16,34.81784439086914
2010-04-19,35.18626403808594
2010-04-20,35.61918640136719
2010-04-21,35.52708435058594
2010-04-22,35.02969741821289
2010-04-23,35.34284591674805
2010-04-26,35.462608337402344
2010-04-27,34.43098068237305
2010-04-28,34.32042694091797
2010-04-29,34.836246490478516
2010-04-30,34.3020133972168
2010-05-03,34.486244201660156
2010-05-04,33.2150993347168
2010-05-05,33.00324630737305
2010-05-06,31.243932723999023
2010-05-07,30.949167251586914
2010-05-10,32.22031784057617
2010-05-11,32.165042877197266
2010-05-12,32.57032775878906
2010-05-13,32.137420654296875
2010-05-14,31.40972900390625
2010-05-17,31.26235580444336
2010-05-18,30.571521759033203
2010-05-19,30.50705909729004
2010-05-20,28.839855194091797
2010-05-21,29.447782516479492
2010-05-24,28.913537979125977
2010-05-25,29.005647659301758
2010-05-26,28.99643898010254
2010-05-27,30.429794311523438
2010-05-28,30.00522232055664
2010-06-01,29.41454315185547
2010-06-02,30.11599349975586
2010-06-03,30.04214859008789
2010-06-04,29.16533851623535
2010-06-07,28.925376892089844
2010-06-08,28.888452529907227
2010-06-09,28.722326278686523
2010-06-10,29.931396484375
2010-06-11,30.04214859008789
2010-06-14,30.21751594543457
2010-06-15,31.057395935058594
2010-06-16,31.094318389892578
2010-06-17,31.260438919067383
2010-06-18,31.288124084472656
2010-06-21,31.168161392211914
2010-06-22,31.158916473388672
2010-06-23,31.085079193115234
2010-06-24,30.7805118560791
2010-06-25,31.26966667175293
2010-06-28,31.094318389892578
2010-06-29,30.69744300842285
2010-06-30,30.743593215942383
2010-07-01,31.057395935058594
2010-07-02,30.98357391357422
2010-07-06,31.2512264251709
2010-07-07,32.28493118286133
2010-07-08,32.72795104980469
2010-07-09,32.94945526123047
2010-07-12,32.792545318603516
2010-07-13,33.29093551635742
2010-07-14,33.392478942871094
2010-07-15,33.632423400878906
2010-07-16,32.82024002075195
2010-07-19,32.88483810424805
2010-07-20,33.54013442993164
2010-07-21,33.217098236083984
2010-07-22,34.03853988647461
2010-07-23,34.306190490722656
2010-07-26,34.26927185058594
2010-07-27,34.306190490722656
2010-07-28,34.130836486816406
2010-07-29,34.324649810791016
2010-07-30,34.28773880004883
2010-08-02,34.68461608886719
2010-08-03,34.638450622558594
2010-08-04,35.118385314941406
2010-08-05,35.256839752197266
2010-08-06,35.05377960205078
2010-08-09,35.579856872558594
2010-08-10,35.02608871459961
2010-08-11,34.14929962158203
2010-08-12,34.0570068359375
2010-08-13,34.1954231262207
2010-08-16,34.03853988647461
2010-08-17,34.60154342651367
2010-08-18,34.232357025146484
2010-08-19,33.724727630615234
2010-08-20,33.49399185180664
2010-08-23,33.097110748291016
2010-08-24,32.62641525268555
2010-08-25,32.534114837646484
2010-08-26,32.23878479003906
2010-08-27,33.189430236816406
2010-08-30,32.49876022338867
2010-08-31,32.489524841308594
2010-09-01,33.46031951904297
2010-09-02,33.515804290771484
2010-09-03,34.116783142089844
2010-09-07,33.672969818115234
2010-09-08,33.645225524902344
2010-09-09,33.608253479003906
2010-09-10,33.756187438964844
2010-09-13,34.07978439331055
2010-09-14,33.86714172363281
2010-09-15,34.08903884887695
2010-09-16,34.22771072387695
2010-09-17,34.42185974121094
2010-09-20,35.013587951660156
2010-09-21,34.967369079589844
2010-09-22,34.662269592285156
2010-09-23,34.08903884887695
2010-09-24,34.78246307373047
2010-09-27,34.50509262084961
2010-09-28,34.88416290283203
2010-09-29,35.096805572509766
2010-09-30,35.04133605957031
2010-10-01,35.152278900146484
2010-10-04,34.819435119628906
2010-10-05,35.577606201171875
2010-10-06,35.83647918701172
2010-10-07,35.66080856323242
2010-10-08,35.97514724731445
2010-10-11,35.90121078491211
2010-10-12,36.50216293334961
2010-10-13,36.86275100708008
2010-10-14,36.798030853271484
2010-10-15,36.668582916259766
2010-10-18,36.82577896118164
2010-10-19,36.32649230957031
2010-10-20,36.742549896240234
2010-10-21,36.77029037475586
2010-10-22,36.705570220947266
2010-10-25,36.65935516357422
2010-10-26,36.77029037475586
2010-10-27,36.4559326171875
2010-10-28,36.49291229248047
2010-10-29,36.511409759521484
2010-11-01,36.53915023803711
2010-11-02,36.872013092041016
2010-11-03,36.77029037475586
2010-11-04,37.04765701293945
2010-11-05,37.05690002441406
2010-11-08,36.86275100708008
2010-11-09,36.308006286621094
2010-11-10,36.68708419799805
2010-11-11,36.363468170166016
2010-11-12,36.27103042602539
2010-11-15,36.29875564575195
2010-11-16,35.50363540649414
2010-11-17,35.20774459838867
2010-11-18,35.817989349365234
2010-11-19,35.41117858886719
2010-11-22,35.41117858886719
2010-11-23,34.773223876953125
2010-11-24,35.14303970336914
2010-11-26,34.76611328125
2010-11-29,34.87724685668945
2010-11-30,34.645729064941406
2010-12-01,35.10877990722656
2010-12-02,35.39586639404297
2010-12-03,35.312538146972656
2010-12-06,35.21992111206055
2010-12-07,35.127296447753906
2010-12-08,35.50701904296875
2010-12-09,35.62739944458008
2010-12-10,35.90523910522461
2010-12-13,35.84967041015625
2010-12-14,35.692222595214844
2010-12-15,35.581092834472656
2010-12-16,35.78482437133789
2010-12-17,35.79410171508789
2010-12-20,35.93302536010742
2010-12-21,36.09971618652344
2010-12-22,36.303436279296875
2010-12-23,36.09971618652344
2010-12-27,36.28493881225586
2010-12-28,36.127498626708984
2010-12-29,36.11824417114258
2010-12-30,36.06265640258789
2010-12-31,36.034873962402344
2011-01-03,36.488677978515625
2011-01-04,36.39606857299805
2011-01-05,36.692413330078125
2011-01-06,36.81281280517578
2011-01-07,37.025821685791016
2011-01-10,37.05359649658203
2011-01-11,37.14622116088867
2011-01-12,37.78523635864258
2011-01-13,37.4796257019043
2011-01-14,37.36851119995117
2011-01-18,37.45182418823242
2011-01-19,36.859127044677734
2011-01-20,37.08137893676758
2011-01-21,37.257362365722656
2011-01-24,37.49814224243164
2011-01-25,37.69261169433594
2011-01-26,37.40553665161133
2011-01-27,37.69261169433594
2011-01-28,37.00730514526367
2011-01-31,37.09064483642578
2011-02-01,38.22050476074219
2011-02-02,38.239036560058594
2011-02-03,38.229774475097656
2011-02-04,38.34090042114258
2011-02-07,40.07272720336914
2011-02-08,39.85044860839844
2011-02-09,39.822669982910156
2011-02-10,39.822669982910156
2011-02-11,39.85044860839844
2011-02-14,39.88749694824219
2011-02-15,39.822669982910156
2011-02-16,39.95233154296875
2011-02-17,40.044925689697266
2011-02-18,39.998634338378906
2011-02-22,39.70225524902344
2011-02-23,39.7115364074707
2011-02-24,39.665225982666016
2011-02-25,39.7978515625
2011-02-28,40.11320495605469
2011-03-01,39.56599807739258
2011-03-02,39.445411682128906
